# Time, Target, Prediction
1.822488236731958011e+01,-7.891516545540771740e-03,-7.098192349076271057e-03
2.206362914179779011e+01,2.747291693863609247e-02,2.837634645402431488e-02
5.153242600474271740e+00,1.169574909295324414e-02,1.106562279164791107e-02
1.071497394357912825e+01,3.344588022701962260e-02,3.361514955759048462e-02
1.697846799852583644e+01,3.423661388984923504e-02,3.520175069570541382e-02
2.911791550710733922e+00,-2.157004667197839065e-01,-2.166905254125595093e-01
1.605151277467502524e+01,2.646341930882040172e-02,2.756837569177150726e-02
1.052644067771116632e+01,2.267106513542028676e-02,2.282304130494594574e-02
1.578442398136208169e+01,1.676408099423414358e-02,1.789711974561214447e-02
1.780591955427966866e+01,9.000106406146669152e-03,9.845344349741935730e-03
2.508539843159816929e+00,-1.539075040346192247e-01,-1.549976021051406860e-01
1.239606223090178183e+01,2.175565509270769790e-02,2.197879366576671600e-02
1.595724614174104872e+01,2.334056831704583654e-02,2.445936016738414764e-02
5.074687073029288342e+00,2.302483092577321973e-04,-4.118774086236953735e-04
2.309008803374558028e+01,5.543534685756201091e-03,6.319528445601463318e-03
2.457740602003727304e+01,-2.486481288614277377e-02,-2.401074208319187164e-02
1.227037338698980840e+01,2.837699735629882480e-02,2.859292738139629364e-02
2.327338426445054154e+01,-2.334882703101538292e-04,5.420353263616561890e-04
1.794731950368063522e+01,3.251450139178089106e-03,4.071203991770744324e-03
2.213694763407977462e+01,2.696554008014938678e-02,2.786940895020961761e-02
5.483175815743204673e+00,5.211051299284223670e-02,5.152470618486404419e-02
2.262399190423867523e+01,1.880876538987154289e-02,1.966460607945919037e-02
1.818298608601558897e+01,-6.257190991111803019e-03,-5.462715402245521545e-03
7.939345307189697998e+00,-4.110424227289281168e-02,-4.151370376348495483e-02
2.533677611867211610e+01,-1.473803683397690786e-02,-1.372110284864902496e-02
1.759643814775970938e+01,1.715664901085719660e-02,1.804333738982677460e-02
1.810443055857060202e+01,-3.133233112186114590e-03,-2.333590760827064514e-03
2.363473969069746516e+01,-1.106981179789472136e-02,-1.024245657026767731e-02
2.144565899256391717e+01,2.330908910046887786e-02,2.426261268556118011e-02
1.154242549933295692e+01,5.199459436453167382e-02,5.217400938272476196e-02
1.041646293928818956e+01,1.558295091517491321e-02,1.571979187428951263e-02
2.068105185876607166e+01,1.186792882777914235e-03,2.288093790411949158e-03
2.407988767955237464e+01,-2.102653197324690082e-02,-2.015390433371067047e-02
1.131199595291100479e+00,3.339491613756308541e-01,3.328301012516021729e-01
2.547293903291008732e+01,-1.137607590185654542e-02,-1.034488715231418610e-02
1.466369845648031323e+01,-3.277993989519863149e-02,-3.193765878677368164e-02
2.208457728244978568e+01,2.734915395773005950e-02,2.825278602540493011e-02
1.870145256715248294e+01,-2.367284796161806329e-02,-2.281619049608707428e-02
2.046633341708311704e+01,-6.446694398754893029e-03,-5.357706919312477112e-03
2.477117632106823208e+01,-2.399262835678700467e-02,-2.312127687036991119e-02
1.134865519830199609e+01,5.231796349271634894e-02,5.249292403459548950e-02
1.163145509710393810e+01,5.089648817778809342e-02,5.107962340116500854e-02
6.137805211118069870e+00,8.651177332879278481e-02,8.603582531213760376e-02
2.454598380905927613e+01,-2.488129766245798791e-02,-2.402768470346927643e-02
7.478486212845793624e+00,-6.849593351632048740e-04,-1.123303547501564026e-03
1.109727751047804922e+01,4.839488471006740677e-02,4.857061058282852173e-02
1.022792967342022763e+01,2.428550288813555343e-03,2.532800659537315369e-03
1.538640930897416403e+01,-1.221852583208235012e-03,-1.309607177972793579e-04
2.522679838024913934e+01,-1.719616014973905649e-02,-1.620444096624851227e-02
2.436792461351731731e+01,-2.430640074796940400e-02,-2.344691194593906403e-02
2.160277004745388396e+01,2.578014575668706801e-02,2.670348249375820160e-02
1.051596660738516853e+01,2.201885810284258740e-02,2.216955833137035370e-02
2.352476195227448841e+01,-7.936399578110731393e-03,-7.128680124878883362e-03
1.758072704227071270e+01,1.773856339207420876e-02,1.862821541726589203e-02
1.054215178320016300e+01,2.363966832247128488e-02,2.379348687827587128e-02
4.844257525857336155e+00,-3.645121632672591871e-02,-3.713858872652053833e-02
2.238308828674072615e+01,2.380883916800365444e-02,2.470173500478267670e-02
2.599664254920998019e+01,3.143404672008338115e-03,4.015913233160972595e-03
8.693478370661543053e+00,-7.347306384067799068e-02,-7.372023910284042358e-02
1.259506956709573977e+01,1.057826307601181758e-02,1.081789098680019379e-02
1.929323754057136142e+01,-3.168427711843547351e-02,-3.068886138498783112e-02
1.164716620259293656e+01,5.064281928301812147e-02,5.082672089338302612e-02
2.446219124645129739e+01,-2.475226967265473782e-02,-2.389731444418430328e-02
2.317388059635356257e+01,2.907695701464408766e-03,3.680473193526268005e-03
2.472928003976424094e+01,-2.429193339016707046e-02,-2.342654205858707428e-02
1.841341563318754027e+01,-1.485271062738814304e-02,-1.405053772032260895e-02
2.487591702507821356e+00,-1.494758022456459112e-01,-1.505714356899261475e-01
1.895806729088942877e+00,2.068723110768610346e-02,1.947568915784358978e-02
6.326338476986030912e+00,8.463686192010025366e-02,8.416438847780227661e-02
2.460882823101526640e+01,-2.481308920396917833e-02,-2.395800687372684479e-02
6.745301290025944141e+00,6.460880591574394427e-02,6.414615362882614136e-02
2.105288135608899935e+00,-4.882255778749024916e-02,-5.000625550746917725e-02
2.188033291109282885e+01,2.781599142748189535e-02,2.871850691735744476e-02
7.881737920396711061e+00,-3.664537320543150706e-02,-3.706372529268264771e-02
2.117857019925097006e+01,1.717039574649204328e-02,1.819435320794582367e-02
2.325767315896154130e+01,2.616238180940519734e-04,1.036247238516807556e-03
2.075960738621105861e+01,3.946629048032630933e-03,5.046045407652854919e-03
1.824059347280857679e+01,-8.497564170280214393e-03,-7.704416289925575256e-03
2.607519807665496359e+01,5.305065648713152074e-03,6.147017702460289001e-03
2.227834758348074473e+01,2.541555672715093556e-02,2.631620131433010101e-02
9.232892992450432601e+00,-6.305236941426727026e-02,-6.317274272441864014e-02
9.107204148538457389e+00,-6.781119617444283931e-02,-6.796298176050186157e-02
