# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,2.100000000000000000e+01
6.284442295598705562e-03,6.999953923506860853e+00,2.097935535020795683e+01
1.256888449119741152e-02,6.999815695122223680e+00,2.095847986533555840e+01
1.885332668679612009e-02,6.999585318121607891e+00,2.093737371327743091e+01
2.513776888239482518e-02,6.999262797964107996e+00,2.091603706814894892e+01
3.142221107799353375e-02,6.998848142292245278e+00,2.089447011028007850e+01
3.770665327359223884e-02,6.998341360931742194e+00,2.087267302620925236e+01
4.399109546919094393e-02,6.997742465891256813e+00,2.085064600867686480e+01
5.027553766478964903e-02,6.997051471362031094e+00,2.082838925661874185e+01
5.655997986038835412e-02,6.996268393717505418e+00,2.080590297515936626e+01
6.284442205598705922e-02,6.995393251512843413e+00,2.078318737560496743e+01
6.912886425158576431e-02,6.994426065484416810e+00,2.076024267543635915e+01
7.541330644718446941e-02,6.993366858549217469e+00,2.073706909830182710e+01
8.169774864278317450e-02,6.992215655804209007e+00,2.071366687400949758e+01
8.798219083838187959e-02,6.990972484525627806e+00,2.069003623851986262e+01
9.426663303398058469e-02,6.989637374168196970e+00,2.066617743393793560e+01
1.005510752295792898e-01,6.988210356364314535e+00,2.064209070850534289e+01
1.068355174251779949e-01,6.986691464923146633e+00,2.061777631659217036e+01
1.131199596207767000e-01,6.985080735829680698e+00,2.059323451868870336e+01
1.194044018163754051e-01,6.983378207243709390e+00,2.056846558139693926e+01
1.256888440119741379e-01,6.981583919498754121e+00,2.054346977742197566e+01
1.319732862075728430e-01,6.979697915100925520e+00,2.051824738556321392e+01
1.382577284031715481e-01,6.977720238727727953e+00,2.049279869070538140e+01
1.445421705987702532e-01,6.975650937226797410e+00,2.046712398380941522e+01
1.508266127943689583e-01,6.973490059614578129e+00,2.044122356190316125e+01
1.571110549899676634e-01,6.971237657074946803e+00,2.041509772807184930e+01
1.633954971855663685e-01,6.968893782957758631e+00,2.038874679144857538e+01
1.696799393811650736e-01,6.966458492777354294e+00,2.036217106720432568e+01
1.759643815767637787e-01,6.963931844210985211e+00,2.033537087653818531e+01
1.822488237723624838e-01,6.961313897097190839e+00,2.030834654666707806e+01
1.885332659679611889e-01,6.958604713434112909e+00,2.028109841081544928e+01
1.948177081635598940e-01,6.955804357377740388e+00,2.025362680820493111e+01
2.011021503591585990e-01,6.952912895240110913e+00,2.022593208404352794e+01
2.073865925547573041e-01,6.949930395487427859e+00,2.019801458951495476e+01
2.136710347503560092e-01,6.946856928738141868e+00,2.016987468176757048e+01
2.199554769459547143e-01,6.943692567760954226e+00,2.014151272390332537e+01
2.262399191415534194e-01,6.940437387472758957e+00,2.011292908496638177e+01
2.325243613371521245e-01,6.937091464936543161e+00,2.008412413993169920e+01
2.388088035327508296e-01,6.933654879359204770e+00,2.005509826969343479e+01
2.450932457283495347e-01,6.930127712089322323e+00,2.002585186105305581e+01
2.513776879239482676e-01,6.926510046614863469e+00,1.999638530670750214e+01
2.576621301195469727e-01,6.922801968560824193e+00,1.996669900523696484e+01
2.639465723151456777e-01,6.919003565686824508e+00,1.993679336109269684e+01
2.702310145107443828e-01,6.915114927884627782e+00,1.990666878458449673e+01
2.765154567063430879e-01,6.911136147175608535e+00,1.987632569186816056e+01
2.827998989019417930e-01,6.907067317708159848e+00,1.984576450493265654e+01
2.890843410975404981e-01,6.902908535755036823e+00,1.981498565158726421e+01
2.953687832931392032e-01,6.898659899710646748e+00,1.978398956544845788e+01
3.016532254887379083e-01,6.894321510088269100e+00,1.975277668592663005e+01
3.079376676843366134e-01,6.889893469517232916e+00,1.972134745821273683e+01
3.142221098799353185e-01,6.885375882740015108e+00,1.968970233326467678e+01
3.205065520755340236e-01,6.880768856609289941e+00,1.965784176779360592e+01
