# Time, Target, Prediction
1.822488236731958011e+01,-9.586474942345799694e-03,-9.027258493006229401e-03
2.206362914179779011e+01,3.016497382420349135e-02,2.949386835098266602e-02
5.153242600474271740e+00,-3.828088388757305144e-02,-3.373774886131286621e-02
1.071497394357912825e+01,1.515099223600151722e-02,1.938874274492263794e-02
1.697846799852583644e+01,3.786714826393401678e-02,3.920716047286987305e-02
2.911791550710733922e+00,-2.294419768292939865e-01,-2.261214405298233032e-01
1.605151277467502524e+01,1.644833097836221475e-02,1.941458880901336670e-02
1.052644067771116632e+01,-1.110497310565571744e-03,3.131872974336147308e-03
1.578442398136208169e+01,1.621222386082638153e-03,4.743470810353755951e-03
1.780591955427966866e+01,1.205042564515873722e-02,1.292405929416418076e-02
2.508539843159816929e+00,-1.115221748054714551e-01,-1.083811223506927490e-01
1.239606223090178183e+01,2.717205442828006870e-02,2.956767380237579346e-02
1.595724614174104872e+01,1.151016366911522711e-02,1.456527318805456161e-02
5.074687073029288342e+00,-5.438334477145993773e-02,-4.971768334507942200e-02
2.309008803374558028e+01,8.520329631360882075e-03,6.954788230359554291e-03
2.457740602003727304e+01,-3.716463211423469415e-02,-3.902836143970489502e-02
1.227037338698980840e+01,3.461167422606210159e-02,3.719896078109741211e-02
2.327338426445054154e+01,1.258208846578107989e-03,-3.416994586586952209e-04
1.794731950368063522e+01,4.951785469229786317e-03,5.746229551732540131e-03
2.213694763407977462e+01,3.020194698439321312e-02,2.947758138179779053e-02
5.483175815743204673e+00,2.204122228072479678e-02,2.626905590295791626e-02
2.262399190423867523e+01,2.362358921608331136e-02,2.252176403999328613e-02
1.818298608601558897e+01,-7.388250220379973671e-03,-6.787330843508243561e-03
7.939345307189697998e+00,-5.039298057094229732e-02,-4.970286041498184204e-02
2.533677611867211610e+01,-2.902269139607223034e-02,-2.988177537918090820e-02
1.759643814775970938e+01,2.160792552149105872e-02,2.256013453006744385e-02
1.810443055857060202e+01,-3.251230541660479843e-03,-2.577559091150760651e-03
2.363473969069746516e+01,-1.334739126502331938e-02,-1.489658746868371964e-02
2.144565899256391717e+01,1.899033781094898801e-02,1.863384246826171875e-02
1.154242549933295692e+01,5.398777571806274989e-02,5.723026394844055176e-02
1.041646293928818956e+01,-1.131521655975755054e-02,-7.157356478273868561e-03
2.068105185876607166e+01,-1.356767098913542850e-02,-1.350788865238428116e-02
2.407988767955237464e+01,-2.850700117950312473e-02,-3.035221993923187256e-02
1.131199595291100479e+00,5.696862383847329792e-01,5.734267234802246094e-01
2.547293903291008732e+01,-2.519139894229019058e-02,-2.608992159366607666e-02
1.466369845648031323e+01,-6.075932037007819586e-02,-5.839526653289794922e-02
2.208457728244978568e+01,3.020434379004853509e-02,2.951791882514953613e-02
1.870145256715248294e+01,-3.239879805778442950e-02,-3.235091269016265869e-02
2.046633341708311704e+01,-2.343030358594214851e-02,-2.326315641403198242e-02
2.477117632106823208e+01,-3.751925172316799423e-02,-3.909628093242645264e-02
1.134865519830199609e+01,5.067436297791896860e-02,5.412620306015014648e-02
1.163145509710393810e+01,5.423484688424669298e-02,5.740168690681457520e-02
6.137805211118069870e+00,8.950210552369841643e-02,9.210414439439773560e-02
2.454598380905927613e+01,-3.694143096180977498e-02,-3.883826732635498047e-02
7.478486212845793624e+00,5.274334669829796977e-03,6.147629581391811371e-03
1.109727751047804922e+01,4.080584746183392453e-02,4.461035132408142090e-02
1.022792967342022763e+01,-2.948509646462590950e-02,-2.560523152351379395e-02
1.538640930897416403e+01,-2.325401267710626441e-02,-2.037701010704040527e-02
2.522679838024913934e+01,-3.167840311159576122e-02,-3.257970511913299561e-02
2.436792461351731731e+01,-3.482000932966006906e-02,-3.681185841560363770e-02
2.160277004745388396e+01,2.356474669100906694e-02,2.316433191299438477e-02
1.051596660738516853e+01,-2.063585101082293302e-03,2.173497341573238373e-03
2.352476195227448841e+01,-8.979793850370905439e-03,-1.053175423294305801e-02
1.758072704227071270e+01,2.226319517868463604e-02,2.322034537792205811e-02
1.054215178320016300e+01,3.106820740873063357e-04,4.559895955026149750e-03
4.844257525857336155e+00,-1.037897679799563988e-01,-9.868796169757843018e-02
2.238308828674072615e+01,2.829926929508034053e-02,2.740643918514251709e-02
2.599664254920998019e+01,-6.869646635942435083e-03,-8.361906744539737701e-03
8.693478370661543053e+00,-1.076304545039400845e-01,-1.054304763674736023e-01
1.259506956709573977e+01,1.388072618575220650e-02,1.593703031539916992e-02
1.929323754057136142e+01,-4.814111730407739237e-02,-4.834045469760894775e-02
1.164716620259293656e+01,5.419589100374815061e-02,5.735047161579132080e-02
2.446219124645129739e+01,-3.612271139347405374e-02,-3.808447718620300293e-02
2.317388059635356257e+01,5.250606114989128138e-03,3.656222485005855560e-03
2.472928003976424094e+01,-3.759169627135850594e-02,-3.923991322517395020e-02
1.841341563318754027e+01,-1.924031333917827422e-02,-1.888515055179595947e-02
2.487591702507821356e+00,-1.038959958694927327e-01,-1.007389873266220093e-01
1.895806729088942877e+00,1.607187840425724212e-01,1.650412231683731079e-01
6.326338476986030912e+00,9.378116661062030346e-02,9.576923400163650513e-02
2.460882823101526640e+01,-3.734173458334644896e-02,-3.916788101196289062e-02
6.745301290025944141e+00,8.046760462689821203e-02,8.178216218948364258e-02
2.105288135608899935e+00,5.757253855933686798e-02,6.140454113483428955e-02
2.188033291109282885e+01,2.883692290903126787e-02,2.829819917678833008e-02
7.881737920396711061e+00,-4.386515727724715069e-02,-4.320184141397476196e-02
2.117857019925097006e+01,9.060948399015800528e-03,8.795379661023616791e-03
2.325767315896154130e+01,1.894334691620427717e-03,2.934476360678672791e-04
2.075960738621105861e+01,-9.867562671707423919e-03,-9.860546328127384186e-03
1.824059347280857679e+01,-1.040778398831228128e-02,-9.864644147455692291e-03
2.607519807665496359e+01,-3.925539974075937556e-03,-5.435363389551639557e-03
2.227834758348074473e+01,2.948366337088356715e-02,2.866227924823760986e-02
9.232892992450432601e+00,-1.060470370248188937e-01,-1.033636108040809631e-01
9.107204148538457389e+00,-1.096956258349333080e-01,-1.070339456200599670e-01
9.164811536081446386e-01,6.781474769248913015e-01,6.814650893211364746e-01
