# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,2.100000000000000000e+01
6.284443195418670629e-04,6.999953923493666075e+00,2.090363770901021923e+01
1.256888539083734092e-03,6.999815695095838564e+00,2.080810331258068757e+01
1.885332758625601120e-03,6.999585318082040430e+00,2.071338441905926686e+01
2.513776978167468149e-03,6.999262797911364409e+00,2.061946879932473564e+01
3.142221197709335178e-03,6.998848142226330005e+00,2.052634438480641776e+01
3.770665417251202207e-03,6.998341360852665893e+00,2.043399926552856272e+01
4.399109636793068802e-03,6.997742465799021261e+00,2.034242168817885954e+01
5.027553856334935831e-03,6.997051471256648725e+00,2.025160005420086051e+01
5.655998075876802859e-03,6.996268393598979785e+00,2.016152291791005879e+01
6.284442295418669888e-03,6.995393251381186062e+00,2.007217898463314754e+01
6.912886514960536917e-03,6.994426065339634846e+00,1.998355710887044978e+01
7.541330734502403946e-03,6.993366858391318885e+00,1.989564629248096850e+01
8.169774954044270107e-03,6.992215655633203575e+00,1.980843568288994305e+01
8.798219173586138003e-03,6.990972484341524407e+00,1.972191457131852133e+01
9.426663393128005899e-03,6.989637373971005374e+00,1.963607239103527036e+01
1.005510761266987206e-02,6.988210356154046288e+00,1.955089871562950776e+01
1.068355183221173822e-02,6.986691464699809728e+00,1.946638325730566166e+01
1.131199605175360612e-02,6.985080735593286683e+00,1.938251586519890424e+01
1.194044027129547401e-02,6.983378206994268922e+00,1.929928652371160425e+01
1.256888449083734018e-02,6.981583919236278746e+00,1.921668535087014718e+01
1.319732871037920634e-02,6.979697914825426786e+00,1.913470259670223683e+01
1.382577292992107423e-02,6.977720238439216516e+00,1.905332864163411344e+01
1.445421714946294213e-02,6.975650936925285706e+00,1.897255399490755323e+01
1.508266136900480829e-02,6.973490059300080368e+00,1.889236929301644352e+01
1.571110558854667619e-02,6.971237656747472755e+00,1.881276529816266319e+01
1.633954980808854235e-02,6.968893782617322508e+00,1.873373289673088493e+01
1.696799402763041198e-02,6.966458492423970306e+00,1.865526309778232061e+01
1.759643824717227814e-02,6.963931843844665792e+00,1.857734703156696554e+01
1.822488246671414430e-02,6.961313896717950200e+00,1.849997594805420320e+01
1.885332668625601393e-02,6.958604713041966150e+00,1.842314121548145422e+01
1.948177090579788009e-02,6.955804356972701719e+00,1.834683431892078787e+01
2.011021512533974626e-02,6.952912894822193657e+00,1.827104685886315139e+01
2.073865934488161242e-02,6.949930395056648891e+00,1.819577054982000419e+01
2.136710356442347858e-02,6.946856928294517175e+00,1.812099721894217907e+01
2.199554778396534821e-02,6.943692567304496244e+00,1.804671880465578226e+01
2.262399200350721437e-02,6.940437387003486336e+00,1.797292735531482677e+01
2.325243622304908053e-02,6.937091464454471890e+00,1.789961502787041070e+01
2.388088044259095016e-02,6.933654878864349946e+00,1.782677408655635887e+01
2.450932466213281632e-02,6.930127711581703487e+00,1.775439690159091910e+01
2.513776888167468249e-02,6.926510046094494832e+00,1.768247594789449550e+01
2.576621310121654865e-02,6.922801968027725295e+00,1.761100380382302788e+01
2.639465732075841481e-02,6.919003565141012224e+00,1.753997314991709189e+01
2.702310154030028444e-02,6.915114927326120764e+00,1.746937676766619418e+01
2.765154575984215060e-02,6.911136146604425434e+00,1.739920753828832289e+01
2.827998997938401676e-02,6.907067317124319317e+00,1.732945844152448345e+01
2.890843419892588639e-02,6.902908535158558401e+00,1.726012255444798171e+01
2.953687841846775256e-02,6.898659899101547310e+00,1.719119305028829459e+01
3.016532263800961872e-02,6.894321509466571740e+00,1.712266319726948538e+01
3.079376685755148488e-02,6.889893468882954508e+00,1.705452635746267376e+01
3.142221107709335104e-02,6.885375882093176969e+00,1.698677598565272717e+01
3.205065529663522067e-02,6.880768855949911611e+00,1.691940562821871907e+01
3.267909951617708336e-02,6.876072499413027117e+00,1.685240892202815388e+01
3.330754373571895299e-02,6.871286923546506387e+00,1.678577959334477754e+01
3.393598795526082262e-02,6.866412241515317483e+00,1.671951145674959349e+01
3.456443217480268532e-02,6.861448568582233953e+00,1.665359841407527597e+01
3.519287639434455495e-02,6.856396022104576105e+00,1.658803445335344762e+01
3.582132061388642458e-02,6.851254721530912306e+00,1.652281364777495298e+01
3.644976483342828727e-02,6.846024788397688354e+00,1.645793015466275122e+01
3.707820905297015690e-02,6.840706346325808873e+00,1.639337821445739962e+01
3.770665327251202653e-02,6.835299521017149438e+00,1.632915214971490769e+01
3.833509749205388922e-02,6.829804440251019848e+00,1.626524636411683034e+01
3.896354171159575885e-02,6.824221233880560789e+00,1.620165534149245090e+01
3.959198593113762155e-02,6.818550033829092527e+00,1.613837364485290138e+01
4.022043015067949118e-02,6.812790974086394336e+00,1.607539591543701007e+01
4.084887437022136081e-02,6.806944190704926179e+00,1.601271687176883773e+01
4.147731858976322350e-02,6.801009821796012211e+00,1.595033130872666227e+01
4.210576280930509313e-02,6.794988007525935458e+00,1.588823409662331265e+01
4.273420702884695582e-02,6.788878890111999631e+00,1.582642018029770981e+01
4.336265124838882545e-02,6.782682613818524331e+00,1.576488457821746536e+01
4.399109546793069508e-02,6.776399324952777192e+00,1.570362238159234636e+01
4.461953968747255778e-02,6.770029171860865169e+00,1.564262875349861126e+01
4.524798390701442741e-02,6.763572304923545886e+00,1.558189892801389753e+01
4.587642812655629704e-02,6.757028876552004348e+00,1.552142820936271583e+01
4.650487234609815973e-02,6.750399041183557713e+00,1.546121197107216716e+01
4.713331656564002936e-02,6.743682955277310320e+00,1.540124565513815469e+01
4.776176078518189899e-02,6.736880777309748325e+00,1.534152477120145974e+01
4.839020500472376168e-02,6.729992667770277492e+00,1.528204489573392344e+01
4.901864922426563131e-02,6.723018789156715691e+00,1.522280167123455996e+01
4.964709344380749401e-02,6.715959305970709003e+00,1.516379080543530122e+01
5.027553766334936364e-02,6.708814384713111423e+00,1.510500807051637651e+01
5.090398188289123327e-02,6.701584193879292606e+00,1.504644930233125599e+01
5.153242610243309596e-02,6.694268903954404770e+00,1.498811039964092373e+01
5.216087032197496559e-02,6.686868687408583867e+00,1.492998732335743384e+01
5.278931454151682828e-02,6.679383718692093908e+00,1.487207609579657586e+01
5.341775876105869791e-02,6.671814174230424221e+00,1.481437279993959066e+01
5.404620298060056754e-02,6.664160232419328977e+00,1.475687357870386940e+01
5.467464720014243024e-02,6.656422073619802759e+00,1.469957463422228727e+01
5.530309141968429987e-02,6.648599880153016173e+00,1.464247222713143692e+01
5.593153563922616950e-02,6.640693836295184838e+00,1.458556267586829414e+01
5.655997985876803219e-02,6.632704128272385091e+00,1.452884235597542251e+01
5.718842407830990182e-02,6.624630944255325282e+00,1.447230769941453410e+01
5.781686829785177145e-02,6.616474474354050450e+00,1.441595519388832436e+01
5.844531251739363414e-02,6.608234910612599933e+00,1.435978138217045519e+01
5.907375673693550377e-02,6.599912447003605465e+00,1.430378286144360800e+01
5.970220095647736647e-02,6.591507279422847532e+00,1.424795628264547531e+01
6.033064517601923610e-02,6.583019605683736231e+00,1.419229834982260741e+01
6.095908939556110573e-02,6.574449625511769035e+00,1.413680581949209980e+01
6.158753361510296842e-02,6.565797540538903299e+00,1.408147550001073789e+01
6.221597783464483805e-02,6.557063554297899444e+00,1.402630425095198419e+01
6.284442205418669380e-02,6.548247872216601095e+00,1.397128898249020601e+01
6.347286627372857037e-02,6.539350701612161032e+00,1.391642665479232477e+01
6.410131049327043307e-02,6.530372251685219176e+00,1.386171427741690110e+01
6.472975471281229576e-02,6.521312733514030846e+00,1.380714890872016731e+01
6.535819893235415845e-02,6.512172360048529285e+00,1.375272765526936780e+01
6.598664315189603502e-02,6.502951346104354435e+00,1.369844767126297214e+01
6.661508737143789771e-02,6.493649908356815992e+00,1.364430615795790125e+01
6.724353159097976040e-02,6.484268265334810266e+00,1.359030036310354106e+01
6.787197581052163697e-02,6.474806637414682875e+00,1.353642758038252758e+01
6.850042003006349967e-02,6.465265246814047906e+00,1.348268514885814895e+01
6.912886424960536236e-02,6.455644317585543135e+00,1.342907045242841590e+01
6.975730846914723893e-02,6.445944075610549717e+00,1.337558091928655379e+01
7.038575268868910162e-02,6.436164748592841711e+00,1.332221402138793387e+01
7.101419690823096431e-02,6.426306566052206293e+00,1.326896727392338526e+01
7.164264112777284088e-02,6.416369759318000909e+00,1.321583823479867448e+01
7.227108534731470357e-02,6.406354561522658031e+00,1.316282450412023408e+01
7.289952956685656627e-02,6.396261207595152598e+00,1.310992372368696657e+01
7.352797378639844283e-02,6.386089934254402856e+00,1.305713357648808248e+01
7.415641800594030553e-02,6.375840980002643654e+00,1.300445178620686981e+01
7.478486222548216822e-02,6.365514585118724256e+00,1.295187611673034134e+01
7.541330644502404479e-02,6.355110991651378605e+00,1.289940437166469778e+01
7.604175066456590748e-02,6.344630443412435206e+00,1.284703439385647172e+01
