# Time, Target, Prediction
1.822488236754747604e+01,-6.739093049531156773e-03,-2.916567027568817139e-03
2.206362914191571889e+01,2.761802369684654077e-02,3.030572831630706787e-02
5.153242601076643226e+00,-1.041330963172330294e-02,-6.997086107730865479e-03
1.071497394402216585e+01,2.254308093766495963e-02,2.642574161291122437e-02
1.697846799878944068e+01,3.373925612205253000e-02,3.760405629873275757e-02
2.911791551377317155e+00,-1.955802560414584834e-01,-1.942498087882995605e-01
1.605151277496518958e+01,2.218197803147061928e-02,2.606941014528274536e-02
1.052644067815960760e+01,1.071775050033132309e-02,1.458715647459030151e-02
1.578442398165989502e+01,1.155808554239551485e-02,1.548237353563308716e-02
1.780591955451956920e+01,1.030384768211782542e-02,1.423121243715286255e-02
2.508539843837952699e+00,-1.196895840506971842e-01,-1.187360808253288269e-01
1.239606223129666063e+01,2.041836010478938895e-02,2.423050254583358765e-02
1.595724614203390956e+01,1.871014251958164065e-02,2.261471003293991089e-02
5.074687073633910472e+00,-2.211521558417708228e-02,-1.869750767946243286e-02
2.309008803383409614e+01,7.315836583847500768e-03,9.882062673568725586e-03
2.457740602008318831e+01,-2.559428095162642747e-02,-2.359036356210708618e-02
1.227037338738828787e+01,2.669371719751984992e-02,3.052800148725509644e-02
2.327338426453381359e+01,1.496664990416515274e-03,4.013270139694213867e-03
1.794731950391648567e+01,4.584700026014579093e-03,8.480750024318695068e-03
2.213694763419560019e+01,2.731008104333680978e-02,2.998744696378707886e-02
5.483175816336123276e+00,3.195296450855353299e-02,3.529887646436691284e-02
2.262399190434054574e+01,2.020228128209465221e-02,2.284492552280426025e-02
1.818298608624468926e+01,-5.058223846287755732e-03,-1.224704086780548096e-03
7.939345307712254218e+00,-4.732162879855481008e-02,-4.440537840127944946e-02
2.533677611869627455e+01,-1.682291177898543114e-02,-1.529061049222946167e-02
1.759643814800561046e+01,1.825952296293251870e-02,2.221219986677169800e-02
1.810443055880195473e+01,-1.864934659836947617e-03,1.989684998989105225e-03
2.363473969077038461e+01,-9.717648300241412199e-03,-7.304236292839050293e-03
2.144565899269954556e+01,2.164072644526990330e-02,2.451059967279434204e-02
