# Time, Target, Prediction
1.822488236731958011e+01,-7.891516545540771740e-03,-6.679985672235488892e-03
2.206362914179779011e+01,2.747291693863617573e-02,2.794179320335388184e-02
5.153242600474271740e+00,1.169574909295324414e-02,1.095265895128250122e-02
1.071497394357912825e+01,3.344588022701962260e-02,3.374762088060379028e-02
1.697846799852583644e+01,3.423661388984923504e-02,3.500279411673545837e-02
2.911791550710733922e+00,-2.157004667197839065e-01,-2.160219252109527588e-01
1.605151277467502524e+01,2.646341930882040172e-02,2.624268457293510437e-02
1.052644067771116632e+01,2.267106513542028676e-02,2.287159115076065063e-02
1.578442398136208169e+01,1.676408099423410195e-02,1.633421704173088074e-02
1.780591955427966866e+01,9.000106406146669152e-03,1.030658558011054993e-02
2.508539843159816929e+00,-1.539075040346190582e-01,-1.542413532733917236e-01
1.239606223090178183e+01,2.175565509270769790e-02,2.327451109886169434e-02
1.595724614174104872e+01,2.334056831704579490e-02,2.304070070385932922e-02
5.074687073029288342e+00,2.302483092577745083e-04,-5.362108349800109863e-04
2.309008803374558028e+01,5.543534685756201091e-03,6.265781819820404053e-03
2.457740602003727304e+01,-2.486481288614277377e-02,-2.457752078771591187e-02
1.227037338698980840e+01,2.837699735629882480e-02,2.986003831028938293e-02
2.327338426445054154e+01,-2.334882703101115453e-04,4.944428801536560059e-04
1.794731950368063522e+01,3.251450139178089106e-03,4.551768302917480469e-03
2.213694763407977462e+01,2.696554008014921677e-02,2.746561914682388306e-02
5.483175815743204673e+00,5.211051299284223670e-02,5.152126401662826538e-02
2.262399190423867523e+01,1.880876538987154289e-02,1.946271955966949463e-02
1.818298608601558897e+01,-6.257190991111718885e-03,-5.026586353778839111e-03
7.939345307189697998e+00,-4.110424227289289495e-02,-3.978130966424942017e-02
2.533677611867211610e+01,-1.473803683397690786e-02,-1.457174867391586304e-02
1.759643814775970938e+01,1.715664901085719660e-02,1.841633021831512451e-02
1.810443055857060202e+01,-3.133233112186072089e-03,-1.872010529041290283e-03
2.363473969069746516e+01,-1.106981179789480636e-02,-1.038003712892532349e-02
2.144565899256391717e+01,2.330908910046879459e-02,2.346750348806381226e-02
1.154242549933295692e+01,5.199459436453171546e-02,5.289477854967117310e-02
1.041646293928818956e+01,1.558295091517491321e-02,1.573406159877777100e-02
2.068105185876607166e+01,1.186792882777956519e-03,1.093387603759765625e-03
2.407988767955237464e+01,-2.102653197324690082e-02,-2.049262821674346924e-02
1.131199595291100479e+00,3.339491613756308541e-01,3.327416181564331055e-01
2.547293903291008732e+01,-1.137607590185654542e-02,-1.122085005044937134e-02
1.466369845648031323e+01,-3.277993989519863149e-02,-3.312358260154724121e-02
2.208457728244978568e+01,2.734915395773010113e-02,2.782710641622543335e-02
1.870145256715248294e+01,-2.367284796161806329e-02,-2.277170866727828979e-02
2.046633341708311704e+01,-6.446694398754893029e-03,-6.547145545482635498e-03
2.477117632106823208e+01,-2.399262835678700467e-02,-2.377516031265258789e-02
1.134865519830199609e+01,5.231796349271634894e-02,5.304943770170211792e-02
1.163145509710393810e+01,5.089648817778813505e-02,5.187959223985671997e-02
6.137805211118069870e+00,8.651177332879274318e-02,8.657154440879821777e-02
2.454598380905927613e+01,-2.488129766245798791e-02,-2.458015084266662598e-02
7.478486212845793624e+00,-6.849593351632894418e-04,6.620511412620544434e-04
1.109727751047804922e+01,4.839488471006736514e-02,4.893761128187179565e-02
1.022792967342022763e+01,2.428550288813555343e-03,2.520918846130371094e-03
1.538640930897416403e+01,-1.221852583208277295e-03,-1.848794519901275635e-03
2.522679838024913934e+01,-1.719616014973905649e-02,-1.702782511711120605e-02
2.436792461351731731e+01,-2.430640074796940400e-02,-2.391836047172546387e-02
2.160277004745388396e+01,2.578014575668698127e-02,2.601939439773559570e-02
1.051596660738516853e+01,2.201885810284258740e-02,2.221431583166122437e-02
2.352476195227448841e+01,-7.936399578110731393e-03,-7.227018475532531738e-03
1.758072704227071270e+01,1.773856339207420876e-02,1.899192854762077332e-02
1.054215178320016300e+01,2.363966832247128488e-02,2.384796738624572754e-02
4.844257525857336155e+00,-3.645121632672583545e-02,-3.725585341453552246e-02
2.238308828674072615e+01,2.380883916800361280e-02,2.439825236797332764e-02
2.599664254920998019e+01,3.143404672008422683e-03,3.120385110378265381e-03
8.693478370661543053e+00,-7.347306384067799068e-02,-7.260963320732116699e-02
1.259506956709573977e+01,1.057826307601177594e-02,1.209780946373939514e-02
