# Time, Target, Prediction
1.822488236731958011e+01,-5.753696373933927209e-03,-5.053633823990821838e-03
2.206362914179779011e+01,3.565728745316263520e-02,3.660561889410018921e-02
5.153242600474271740e+00,-1.923490286363242069e-02,-1.999890245497226715e-02
1.071497394357912825e+01,3.552296306158360395e-02,3.594666719436645508e-02
1.697846799852583644e+01,4.535280267553169764e-02,4.586110264062881470e-02
2.911791550710733922e+00,-2.907103071959716845e-01,-2.912598550319671631e-01
1.605151277467502524e+01,3.015067116302862921e-02,3.094001673161983490e-02
1.052644067771116632e+01,2.046624534033061188e-02,2.083136700093746185e-02
1.578442398136208169e+01,1.666370709985191823e-02,1.741728745400905609e-02
1.780591955427966866e+01,1.597336179152224547e-02,1.666232012212276459e-02
2.508539843159816929e+00,-1.942217684541052980e-01,-1.947788149118423462e-01
1.239606223090178183e+01,3.361087621003745751e-02,3.424201160669326782e-02
1.595724614174104872e+01,2.573137712493979434e-02,2.651925943791866302e-02
5.074687073029288342e+00,-3.552284470754794865e-02,-3.631280362606048584e-02
2.309008803374558028e+01,1.053116008213450527e-02,1.162218116223812103e-02
2.457740602003727304e+01,-3.184484768085105860e-02,-3.026049770414829254e-02
1.227037338698980840e+01,4.161908996017253670e-02,4.220979660749435425e-02
2.327338426445054154e+01,3.181613803499873210e-03,4.037609323859214783e-03
1.794731950368063522e+01,8.707270754065167540e-03,9.424036368727684021e-03
2.213694763407977462e+01,3.532354777680439539e-02,3.635665029287338257e-02
5.483175815743204673e+00,4.014321321940346465e-02,3.952778875827789307e-02
2.262399190423867523e+01,2.666222758515106664e-02,2.806857787072658539e-02
1.818298608601558897e+01,-3.600564840190434695e-03,-2.892116084694862366e-03
7.939345307189697998e+00,-4.688909799941037154e-02,-4.672945290803909302e-02
2.533677611867211610e+01,-2.139000372554189511e-02,-2.031333185732364655e-02
1.759643814775970938e+01,2.603734085763318926e-02,2.665922604501247406e-02
1.810443055857060202e+01,4.833432813458366666e-04,1.202410086989402771e-03
2.363473969069746516e+01,-1.108017386309100363e-02,-1.053873635828495026e-02
2.144565899256391717e+01,2.766892788774174411e-02,2.831617556512355804e-02
1.154242549933295692e+01,6.670250240502133277e-02,6.713629513978958130e-02
1.041646293928818956e+01,1.079910644262713736e-02,1.113366894423961639e-02
2.068105185876607166e+01,-2.433011189466107414e-03,-1.167902722954750061e-03
2.407988767955237464e+01,-2.504309119151319762e-02,-2.422978915274143219e-02
1.131199595291100479e+00,4.713636884315232645e-01,4.706697762012481689e-01
2.547293903291008732e+01,-1.735289552851046121e-02,-1.660599745810031891e-02
1.466369845648031323e+01,-4.582700030395040619e-02,-4.510072618722915649e-02
2.208457728244978568e+01,3.558979643009879679e-02,3.656219691038131714e-02
1.870145256715248294e+01,-2.733169521201303867e-02,-2.666082419455051422e-02
2.046633341708311704e+01,-1.216876216323055718e-02,-1.090858317911624908e-02
2.477117632106823208e+01,-3.147825535282571668e-02,-2.974402345716953278e-02
1.134865519830199609e+01,6.530779392184858645e-02,6.576659530401229858e-02
1.163145509710393810e+01,6.609379470683576785e-02,6.652262061834335327e-02
6.137805211118069870e+00,1.005500675126925064e-01,1.002484932541847229e-01
2.454598380905927613e+01,-3.174202151207157485e-02,-3.019637800753116608e-02
7.478486212845793624e+00,6.339577544273430898e-03,6.400359794497489929e-03
1.109727751047804922e+01,5.791058281767342414e-02,5.839376896619796753e-02
1.022792967342022763e+01,-6.771847706247692382e-03,-6.470041349530220032e-03
1.538640930897416403e+01,-7.107857956756427967e-03,-6.491104140877723694e-03
2.522679838024913934e+01,-2.426960592484805196e-02,-2.295082248747348785e-02
2.436792461351731731e+01,-3.030563716149765191e-02,-2.902751602232456207e-02
2.160277004745388396e+01,3.146676056585240994e-02,3.208550065755844116e-02
1.051596660738516853e+01,1.956993106933716323e-02,1.993188075721263885e-02
2.352476195227448841e+01,-6.885859745852762615e-03,-6.289193406701087952e-03
1.758072704227071270e+01,2.674273405621173036e-02,2.735916338860988617e-02
1.054215178320016300e+01,2.180014160556768138e-02,2.216996811330318451e-02
4.844257525857336155e+00,-8.655031885191286078e-02,-8.738445490598678589e-02
2.238308828674072615e+01,3.226807625077286051e-02,3.355828672647476196e-02
2.599664254920998019e+01,9.505772397932196532e-04,1.163637265563011169e-03
8.693478370661543053e+00,-9.556634575374696461e-02,-9.541963785886764526e-02
1.259506956709573977e+01,1.973454707192798252e-02,2.039585076272487640e-02
1.929323754057136142e+01,-4.040089310873654083e-02,-3.934573382139205933e-02
1.164716620259293656e+01,6.590654200067365409e-02,6.633514910936355591e-02
2.446219124645129739e+01,-3.124598472200270857e-02,-2.981785871088504791e-02
2.317388059635356257e+01,7.198782907557646146e-03,8.182963356375694275e-03
2.472928003976424094e+01,-3.170241685899996553e-02,-2.998592890799045563e-02
1.841341563318754027e+01,-1.506801953167651552e-02,-1.441348530352115631e-02
2.487591702507821356e+00,-1.876017507913892990e-01,-1.881637275218963623e-01
1.895806729088942877e+00,5.626967038123582149e-02,5.565664917230606079e-02
6.326338476986030912e+00,1.023935803704917741e-01,1.021892055869102478e-01
