# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,2.800000000000000000e+01
6.284442295598705562e-03,6.999953923506860853e+00,2.793393275945177123e+01
1.256888449119741152e-02,6.999815695122223680e+00,2.786770447273107365e+01
1.885332668679612009e-02,6.999585318121607891e+00,2.780131536906757006e+01
2.513776888239482518e-02,6.999262797964107996e+00,2.773476568570611533e+01
3.142221107799353375e-02,6.998848142292245278e+00,2.766805566788769610e+01
3.770665327359223884e-02,6.998341360931742194e+00,2.760118556883053031e+01
4.399109546919094393e-02,6.997742465891256813e+00,2.753415564971061968e+01
5.027553766478964903e-02,6.997051471362031094e+00,2.746696617964236609e+01
5.655997986038835412e-02,6.996268393717505418e+00,2.739961743565890728e+01
6.284442205598705922e-02,6.995393251512843413e+00,2.733210970269223594e+01
6.912886425158576431e-02,6.994426065484416810e+00,2.726444327355315878e+01
7.541330644718446941e-02,6.993366858549217469e+00,2.719661844891123792e+01
8.169774864278317450e-02,6.992215655804209007e+00,2.712863553727415322e+01
8.798219083838187959e-02,6.990972484525627806e+00,2.706049485496729545e+01
9.426663303398058469e-02,6.989637374168196970e+00,2.699219672611296872e+01
1.005510752295792898e-01,6.988210356364314535e+00,2.692374148260939748e+01
1.068355174251779949e-01,6.986691464923146633e+00,2.685512946410964119e+01
1.131199596207767000e-01,6.985080735829680698e+00,2.678636101800029579e+01
1.194044018163754051e-01,6.983378207243709390e+00,2.671743649937995713e+01
1.256888440119741379e-01,6.981583919498754121e+00,2.664835627103754945e+01
1.319732862075728430e-01,6.979697915100925520e+00,2.657912070343054012e+01
1.382577284031715481e-01,6.977720238727727953e+00,2.650973017466282045e+01
1.445421705987702532e-01,6.975650937226797410e+00,2.644018507046255451e+01
1.508266127943689583e-01,6.973490059614578129e+00,2.637048578415979350e+01
1.571110549899676634e-01,6.971237657074946803e+00,2.630063271666380587e+01
1.633954971855663685e-01,6.968893782957758631e+00,2.623062627644052114e+01
1.696799393811650736e-01,6.966458492777354294e+00,2.616046687948936977e+01
1.759643815767637787e-01,6.963931844210985211e+00,2.609015494932042500e+01
1.822488237723624838e-01,6.961313897097190839e+00,2.601969091693093716e+01
1.885332659679611889e-01,6.958604713434112909e+00,2.594907522078192486e+01
1.948177081635598940e-01,6.955804357377740388e+00,2.587830830677470217e+01
2.011021503591585990e-01,6.952912895240110913e+00,2.580739062822682683e+01
2.073865925547573041e-01,6.949930395487427859e+00,2.573632264584832541e+01
2.136710347503560092e-01,6.946856928738141868e+00,2.566510482771744250e+01
2.199554769459547143e-01,6.943692567760954226e+00,2.559373764925639350e+01
2.262399191415534194e-01,6.940437387472758957e+00,2.552222159320677619e+01
2.325243613371521245e-01,6.937091464936543161e+00,2.545055714960499316e+01
2.388088035327508296e-01,6.933654879359204770e+00,2.537874481575741470e+01
2.450932457283495347e-01,6.930127712089322323e+00,2.530678509621529315e+01
2.513776879239482676e-01,6.926510046614862581e+00,2.523467850274968782e+01
2.576621301195469727e-01,6.922801968560824193e+00,2.516242555432604533e+01
2.639465723151456777e-01,6.919003565686824508e+00,2.509002677707876217e+01
2.702310145107443828e-01,6.915114927884627782e+00,2.501748270428543819e+01
2.765154567063430879e-01,6.911136147175608535e+00,2.494479387634107326e+01
2.827998989019417930e-01,6.907067317708159848e+00,2.487196084073201163e+01
2.890843410975404981e-01,6.902908535755036823e+00,2.479898415200983663e+01
2.953687832931392032e-01,6.898659899710646748e+00,2.472586437176497398e+01
3.016532254887379083e-01,6.894321510088269100e+00,2.465260206860017433e+01
3.079376676843366134e-01,6.889893469517232916e+00,2.457919781810389637e+01
3.142221098799353185e-01,6.885375882740015108e+00,2.450565220282341983e+01
3.205065520755340236e-01,6.880768856609289941e+00,2.443196581223788044e+01
3.267909942711327287e-01,6.876072500084924322e+00,2.435813924273111652e+01
3.330754364667314338e-01,6.871286924230901150e+00,2.428417309756431663e+01
3.393598786623301389e-01,6.866412242212190264e+00,2.421006798684856065e+01
3.456443208579288440e-01,6.861448569291562549e+00,2.413582452751720808e+01
3.519287630535275491e-01,6.856396022826336534e+00,2.406144334329804479e+01
3.582132052491262542e-01,6.851254722265084141e+00,2.398692506468537289e+01
3.644976474447249593e-01,6.846024789144247613e+00,2.391227032891189808e+01
3.707820896403236643e-01,6.840706347084735128e+00,2.383747977992040390e+01
3.770665318359223694e-01,6.835299521788418708e+00,2.376255406833542594e+01
3.833509740315210745e-01,6.829804441034608153e+00,2.368749385143453523e+01
3.896354162271197796e-01,6.824221234676445036e+00,2.361229979311973892e+01
3.959198584227184847e-01,6.818550034637249624e+00,2.353697256388850789e+01
4.022043006183171898e-01,6.812790974906797636e+00,2.346151284080476884e+01
4.084887428139158949e-01,6.806944191537555255e+00,2.338592130746967612e+01
4.147731850095146000e-01,6.801009822640839531e+00,2.331019865399230895e+01
4.210576272051133051e-01,6.794988008382936151e+00,2.323434557696017322e+01
4.273420694007120102e-01,6.788878890981149716e+00,2.315836277940946530e+01
4.336265115963107153e-01,6.782682614699797163e+00,2.308225097079541399e+01
4.399109537919094204e-01,6.776399325846147903e+00,2.300601086696224939e+01
4.461953959875081255e-01,6.770029172766307113e+00,2.292964319011310437e+01
4.524798381831068306e-01,6.763572305841032417e+00,2.285314866877984485e+01
4.587642803787055357e-01,6.757028877481509710e+00,2.277652803779259472e+01
4.650487225743042408e-01,6.750399042125055260e+00,2.269978203824928187e+01
4.713331647699029459e-01,6.743682956230772518e+00,2.262291141748490375e+01
4.776176069655016510e-01,6.736880778275146753e+00,2.254591692904078926e+01
4.839020491611003560e-01,6.729992668747586393e+00,2.246879933263350893e+01
4.901864913566990611e-01,6.723018790145905754e+00,2.239155939412389884e+01
4.964709335522977662e-01,6.715959306971752696e+00,2.231419788548579319e+01
5.027553757478965268e-01,6.708814385725977658e+00,2.223671558477453658e+01
5.090398179434951764e-01,6.701584194903955627e+00,2.215911327609559578e+01
5.153242601390939370e-01,6.694268904990834379e+00,2.208139174957279138e+01
5.216087023346925866e-01,6.686868688456750753e+00,2.200355180131657562e+01
5.278931445302913472e-01,6.679383719751967874e+00,2.192559423339205082e+01
5.341775867258899968e-01,6.671814175301978622e+00,2.184751985378685646e+01
5.404620289214887574e-01,6.664160233502529174e+00,2.176932947637911298e+01
5.467464711170874070e-01,6.656422074714621218e+00,2.169102392090483633e+01
5.530309133126861676e-01,6.648599881259422695e+00,2.161260401292570066e+01
5.593153555082848172e-01,6.640693837413145673e+00,2.153407058379627514e+01
5.655997977038835778e-01,6.632704129401871818e+00,2.145542447063133906e+01
5.718842398994822274e-01,6.624630945396305925e+00,2.137666651627297654e+01
5.781686820950809880e-01,6.616474475506493924e+00,2.129779756925762157e+01
5.844531242906796376e-01,6.608234911776472487e+00,2.121881848378290059e+01
5.907375664862783982e-01,6.599912448178876900e+00,2.113973011967435767e+01
5.970220086818770477e-01,6.591507280609482322e+00,2.106053334235205554e+01
6.033064508774758083e-01,6.583019606881705954e+00,2.098122902279712676e+01
6.095908930730744579e-01,6.574449626721038165e+00,2.090181803751805845e+01
6.158753352686732185e-01,6.565797541759440747e+00,2.082230126851694862e+01
6.221597774642718681e-01,6.557063555529669685e+00,2.074267960325566307e+01
6.284442196598706287e-01,6.548247873459569490e+00,2.066295393462176477e+01
6.347286618554692783e-01,6.539350702866296494e+00,2.058312516089439725e+01
6.410131040510680389e-01,6.530372252950486178e+00,2.050319418571004348e+01
6.472975462466666885e-01,6.521312734790392973e+00,2.042316191802812142e+01
6.535819884422654491e-01,6.512172361335955451e+00,2.034302927209652267e+01
6.598664306378640987e-01,6.502951347402809112e+00,2.026279716741701264e+01
6.661508728334628593e-01,6.493649909666263653e+00,2.018246652871042457e+01
6.724353150290615089e-01,6.484268266655214497e+00,2.010203828588188912e+01
6.787197572246602695e-01,6.474806638746009035e+00,2.002151337398585085e+01
6.850041994202589191e-01,6.465265248156260469e+00,1.994089273319097089e+01
6.912886416158576797e-01,6.455644318938605686e+00,1.986017730874496579e+01
6.975730838114563293e-01,6.445944076974425840e+00,1.977936805093930417e+01
7.038575260070550899e-01,6.436164749967494991e+00,1.969846591507374711e+01
7.101419682026537394e-01,6.426306567437600314e+00,1.961747186142088850e+01
7.164264103982525000e-01,6.416369760714098369e+00,1.953638685519047513e+01
7.227108525938511496e-01,6.406354562929420737e+00,1.945521186649369128e+01
7.289952947894499102e-01,6.396261209012542359e+00,1.937394787030727983e+01
7.352797369850485598e-01,6.386089935682385921e+00,1.929259584643763503e+01
7.415641791806473204e-01,6.375840981441178279e+00,1.921115677948464651e+01
7.478486213762459700e-01,6.365514586567773136e+00,1.912963165880564631e+01
7.541330635718447306e-01,6.355110993110904438e+00,1.904802147847904692e+01
7.604175057674433802e-01,6.344630444882398024e+00,1.896632723726802894e+01
7.667019479630421408e-01,6.334073187450345088e+00,1.888454993858401210e+01
7.729863901586407904e-01,6.323439468132209917e+00,1.880269059045011559e+01
7.792708323542395510e-01,6.312729535987896767e+00,1.872075020546446922e+01
7.855552745498382006e-01,6.301943641812782104e+00,1.863872980076344632e+01
7.918397167454369612e-01,6.291082038130668685e+00,1.855663039798472980e+01
7.981241589410356108e-01,6.280144979186720988e+00,1.847445302323048466e+01
8.044086011366343714e-01,6.269132720940338466e+00,1.839219870703012205e+01
8.106930433322331320e-01,6.258045521057987948e+00,1.830986848430327640e+01
8.169774855278317816e-01,6.246883638905980973e+00,1.822746339432244511e+01
8.232619277234305422e-01,6.235647335543212044e+00,1.814498448067571701e+01
8.295463699190291917e-01,6.224336873713851581e+00,1.806243279122931256e+01
8.358308121146279523e-01,6.212952517839975819e+00,1.797980937809003166e+01
8.421152543102266019e-01,6.201494534014183380e+00,1.789711529756768016e+01
8.483996965058253625e-01,6.189963189992127468e+00,1.781435161013731161e+01
8.546841387014240121e-01,6.178358755185033857e+00,1.773151938040147257e+01
8.609685808970227727e-01,6.166681500652149595e+00,1.764861967705228807e+01
8.672530230926214223e-01,6.154931699093170394e+00,1.756565357283355411e+01
8.735374652882201829e-01,6.143109624840598748e+00,1.748262214450259222e+01
8.798219074838188325e-01,6.131215553852074507e+00,1.739952647279224252e+01
8.861063496794175931e-01,6.119249763702652167e+00,1.731636764237251214e+01
8.923907918750162427e-01,6.107212533577044411e+00,1.723314674181235873e+01
8.986752340706150033e-01,6.095104144261803469e+00,1.714986486354134954e+01
9.049596762662136529e-01,6.082924878137475844e+00,1.706652310381107540e+01
9.112441184618124135e-01,6.070675019170707287e+00,1.698312256265674947e+01
9.175285606574110631e-01,6.058354852906302490e+00,1.689966434385852878e+01
9.238130028530098237e-01,6.045964666459243908e+00,1.681614955490282526e+01
