# Time, Target, Prediction
1.822488236731958011e+01,-9.358484889237119950e-03,-9.409848600625991821e-03
2.206362914179779011e+01,3.418354305495310830e-02,3.324311599135398865e-02
5.153242600474271740e+00,4.218292704470747584e-03,4.128392785787582397e-03
1.071497394357912825e+01,4.179741988250259416e-02,4.089226201176643372e-02
1.697846799852583644e+01,4.284844749881910886e-02,4.247940704226493835e-02
2.911791550710733922e+00,-3.150630760060132984e-01,-3.146085739135742188e-01
1.605151277467502524e+01,3.269605603165826047e-02,3.185283765196800232e-02
1.052644067771116632e+01,2.819847645367119099e-02,2.719919010996818542e-02
1.578442398136208169e+01,2.051810518972747160e-02,1.958760246634483337e-02
1.780591955427966866e+01,1.168313503451948523e-02,1.177197322249412537e-02
2.508539843159816929e+00,-2.390518049572323278e-01,-2.384737432003021240e-01
1.239606223090178183e+01,2.828291627763333468e-02,2.861326932907104492e-02
1.595724614174104872e+01,2.876829891325763736e-02,2.789687737822532654e-02
5.074687073029288342e+00,-1.121994249609979330e-02,-1.130500808358192444e-02
2.309008803374558028e+01,7.200065279547893798e-03,6.743576377630233765e-03
2.457740602003727304e+01,-3.086770976171328285e-02,-3.151595965027809143e-02
1.227037338698980840e+01,3.653265066668032190e-02,3.682018443942070007e-02
2.327338426445054154e+01,2.832602357681425395e-05,-4.968382418155670166e-04
1.794731950368063522e+01,4.533418280033364549e-03,4.592355340719223022e-03
2.213694763407977462e+01,3.358097378325228949e-02,3.266065940260887146e-02
5.483175815743204673e+00,5.887737025807112529e-02,5.877875909209251404e-02
2.262399190423867523e+01,2.360385733372738493e-02,2.298950776457786560e-02
1.818298608601558897e+01,-7.318131298710600814e-03,-7.351372390985488892e-03
7.939345307189697998e+00,-4.955595580236973885e-02,-4.905155673623085022e-02
2.533677611867211610e+01,-1.851489175668672924e-02,-1.926431432366371155e-02
1.759643814775970938e+01,2.180603276707441043e-02,2.187770232558250427e-02
1.810443055857060202e+01,-3.420877640797189735e-03,-3.420475870370864868e-03
2.363473969069746516e+01,-1.346482727978773677e-02,-1.426172628998756409e-02
2.144565899256391717e+01,2.877426360848362591e-02,2.796715125441551208e-02
1.154242549933295692e+01,6.565962204214192965e-02,6.532241404056549072e-02
1.041646293928818956e+01,1.927338418197889480e-02,1.822420582175254822e-02
2.068105185876607166e+01,1.120873035191927158e-03,2.676807343959808350e-04
2.407988767955237464e+01,-2.593647434784921227e-02,-2.690044417977333069e-02
1.131199595291100479e+00,3.922689499606879515e-01,3.929414749145507812e-01
2.547293903291008732e+01,-1.436489262356034809e-02,-1.531356945633888245e-02
1.466369845648031323e+01,-4.109187710176714220e-02,-4.194827750325202942e-02
2.208457728244978568e+01,3.403778741774684397e-02,3.310209140181541443e-02
1.870145256715248294e+01,-2.913114086329028629e-02,-2.932203188538551331e-02
2.046633341708311704e+01,-8.364331230709913870e-03,-9.280059486627578735e-03
2.477117632106823208e+01,-2.985032515540805148e-02,-3.036517277359962463e-02
1.134865519830199609e+01,6.590939382649756151e-02,6.539973616600036621e-02
1.163145509710393810e+01,6.435312098380663315e-02,6.410279870033264160e-02
6.137805211118069870e+00,1.075590826680327267e-01,1.076564341783523560e-01
2.454598380905927613e+01,-3.087735033967721476e-02,-3.155163303017616272e-02
7.478486212845793624e+00,1.498849088601967357e-03,2.124156802892684937e-03
1.109727751047804922e+01,6.079372287651042817e-02,6.010256335139274597e-02
1.022792967342022763e+01,2.743038477953207988e-03,1.628313213586807251e-03
1.538640930897416403e+01,-1.952286341805997694e-03,-3.026176244020462036e-03
2.522679838024913934e+01,-2.154301273788445520e-02,-2.216172590851783752e-02
2.436792461351731731e+01,-3.010230275994861190e-02,-3.092295303940773010e-02
2.160277004745388396e+01,3.190123767579131769e-02,3.103285655379295349e-02
1.051596660738516853e+01,2.737664023259119700e-02,2.637238427996635437e-02
2.352476195227448841e+01,-9.557149425793743172e-03,-1.026553288102149963e-02
1.758072704227071270e+01,2.252712697755291163e-02,2.259409055113792419e-02
1.054215178320016300e+01,2.941924180606528619e-02,2.842744067311286926e-02
4.844257525857336155e+00,-6.056046015881756672e-02,-6.062186136841773987e-02
2.238308828674072615e+01,2.974579114009788181e-02,2.895652875304222107e-02
2.599664254920998019e+01,3.631711412463449820e-03,2.229716628789901733e-03
8.693478370661543053e+00,-9.123261704561066998e-02,-9.129568934440612793e-02
1.259506956709573977e+01,1.432532750701400077e-02,1.466659829020500183e-02
1.929323754057136142e+01,-3.936434763194959080e-02,-3.966969624161720276e-02
1.164716620259293656e+01,6.404731466115497207e-02,6.381262838840484619e-02
2.446219124645129739e+01,-3.068823139180925155e-02,-3.143290057778358459e-02
2.317388059635356257e+01,3.929660991610533019e-03,3.450926393270492554e-03
2.472928003976424094e+01,-3.020804597364747102e-02,-3.074610605835914612e-02
1.841341563318754027e+01,-1.806188196012135580e-02,-1.818716898560523987e-02
2.487591702507821356e+00,-2.334717102662110522e-01,-2.328870147466659546e-01
1.895806729088942877e+00,-1.481288930345168661e-02,-1.410669460892677307e-02
6.326338476986030912e+00,1.062485514447527035e-01,1.064584851264953613e-01
2.460882823101526640e+01,-3.081428465767237571e-02,-3.143728151917457581e-02
