# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,2.100000000000000000e+01
6.284443195418670629e-04,6.999953923493666075e+00,2.056469699612865298e+01
1.256888539083734092e-03,6.999815695095838564e+00,2.015510484984410766e+01
1.885332758625601120e-03,6.999585318082040430e+00,1.976964706682123563e+01
2.513776978167468149e-03,6.999262797911364409e+00,1.940684319063743857e+01
3.142221197709335178e-03,6.998848142226330005e+00,1.906530295331684144e+01
3.770665417251202207e-03,6.998341360852665893e+00,1.874372078216725512e+01
4.399109636793068802e-03,6.997742465799021261e+00,1.844087064120764197e+01
5.027553856334935831e-03,6.997051471256648725e+00,1.815560118680613400e+01
5.655998075876802859e-03,6.996268393598979785e+00,1.788683121838990786e+01
6.284442295418669888e-03,6.995393251381186062e+00,1.763354540625380196e+01
6.912886514960536917e-03,6.994426065339634846e+00,1.739479027958975976e+01
7.541330734502403946e-03,6.993366858391318885e+00,1.716967045888658916e+01
8.169774954044270107e-03,6.992215655633203575e+00,1.695734511781563469e+01
8.798219173586138003e-03,6.990972484341524407e+00,1.675702466062396567e+01
9.426663393128005899e-03,6.989637373971005374e+00,1.656796760190866280e+01
1.005510761266987206e-02,6.988210356154046288e+00,1.638947763644508271e+01
1.068355183221173822e-02,6.986691464699809728e+00,1.622090088749249759e+01
1.131199605175360612e-02,6.985080735593286683e+00,1.606162332270637449e+01
1.194044027129547401e-02,6.983378206994268922e+00,1.591106832744810262e+01
1.256888449083734018e-02,6.981583919236278746e+00,1.576869442590492376e+01
1.319732871037920634e-02,6.979697914825426786e+00,1.563399314101709336e+01
1.382577292992107423e-02,6.977720238439216516e+00,1.550648698475728615e+01
1.445421714946294213e-02,6.975650936925285706e+00,1.538572757082249254e+01
1.508266136900480829e-02,6.973490059300080368e+00,1.527129384228216047e+01
1.571110558854667619e-02,6.971237656747472755e+00,1.516279040718067783e+01
1.633954980808854235e-02,6.968893782617322508e+00,1.505984597551838888e+01
1.696799402763041198e-02,6.966458492423970306e+00,1.496211189143637910e+01
1.759643824717227814e-02,6.963931843844665792e+00,1.486926075480599962e+01
1.822488246671414430e-02,6.961313896717950200e+00,1.478098512677741283e+01
1.885332668625601393e-02,6.958604713041966150e+00,1.469699631417324426e+01
1.948177090579788009e-02,6.955804356972701719e+00,1.461702322792484843e+01
2.011021512533974626e-02,6.952912894822193657e+00,1.454081131104111257e+01
2.073865934488161242e-02,6.949930395056648891e+00,1.446812153187465810e+01
2.136710356442347858e-02,6.946856928294517175e+00,1.439872943870804889e+01
2.199554778396534821e-02,6.943692567304496244e+00,1.433242427192504387e+01
2.262399200350721437e-02,6.940437387003486336e+00,1.426900813025930326e+01
2.325243622304908053e-02,6.937091464454471890e+00,1.420829518782663392e+01
2.388088044259095016e-02,6.933654878864349946e+00,1.415011095884765346e+01
2.450932466213281632e-02,6.930127711581703487e+00,1.409429160715584217e+01
2.513776888167468249e-02,6.926510046094494832e+00,1.404068329776324298e+01
2.576621310121654865e-02,6.922801968027725295e+00,1.398914158792190676e+01
2.639465732075841481e-02,6.919003565141012224e+00,1.393953085527549796e+01
2.702310154030028444e-02,6.915114927326120764e+00,1.389172376084181870e+01
2.765154575984215060e-02,6.911136146604425434e+00,1.384560074470463320e+01
2.827998997938401676e-02,6.907067317124318429e+00,1.380104955242257780e+01
2.890843419892588639e-02,6.902908535158558401e+00,1.375796479028398167e+01
2.953687841846775256e-02,6.898659899101547310e+00,1.371624750765075973e+01
3.016532263800961872e-02,6.894321509466571740e+00,1.367580480474123128e+01
