# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,2.100000000000000000e+01
6.284442295598705562e-03,6.999953923506860853e+00,2.090949826295989311e+01
1.256888449119741152e-02,6.999815695122223680e+00,2.081981452704160063e+01
1.885332668679612009e-02,6.999585318121607891e+00,2.073093633693023818e+01
2.513776888239482518e-02,6.999262797964107996e+00,2.064285139995724094e+01
3.142221107799353375e-02,6.998848142292245278e+00,2.055554758412176142e+01
3.770665327359223884e-02,6.998341360931742194e+00,2.046901291613674090e+01
4.399109546919094393e-02,6.997742465891256813e+00,2.038323557949903986e+01
5.027553766478964903e-02,6.997051471362031094e+00,2.029820391258352075e+01
5.655997986038835412e-02,6.996268393717505418e+00,2.021390640676078831e+01
6.284442205598705922e-02,6.995393251512843413e+00,2.013033170453813625e+01
6.912886425158576431e-02,6.994426065484416810e+00,2.004746859772352963e+01
7.541330644718446941e-02,6.993366858549217469e+00,1.996530602561248102e+01
8.169774864278317450e-02,6.992215655804209007e+00,1.988383307319701743e+01
8.798219083838187959e-02,6.990972484525627806e+00,1.980303896939715358e+01
9.426663303398058469e-02,6.989637374168196970e+00,1.972291308531405107e+01
1.005510752295792898e-01,6.988210356364314535e+00,1.964344493250482770e+01
1.068355174251779949e-01,6.986691464923146633e+00,1.956462416127870085e+01
1.131199596207767000e-01,6.985080735829680698e+00,1.948644055901421979e+01
1.194044018163754051e-01,6.983378207243709390e+00,1.940888404849724225e+01
1.256888440119741379e-01,6.981583919498754121e+00,1.933194468627948126e+01
1.319732862075728430e-01,6.979697915100925520e+00,1.925561266105738056e+01
1.382577284031715481e-01,6.977720238727727953e+00,1.917987829207090655e+01
1.445421705987702532e-01,6.975650937226797410e+00,1.910473202752223543e+01
1.508266127943689583e-01,6.973490059614578129e+00,1.903016444301389853e+01
1.571110549899676634e-01,6.971237657074946803e+00,1.895616624000616923e+01
1.633954971855663685e-01,6.968893782957758631e+00,1.888272824429364505e+01
1.696799393811650736e-01,6.966458492777354294e+00,1.880984140450039988e+01
1.759643815767637787e-01,6.963931844210985211e+00,1.873749679059396200e+01
1.822488237723624838e-01,6.961313897097190839e+00,1.866568559241737191e+01
1.885332659679611889e-01,6.958604713434112909e+00,1.859439911823949387e+01
1.948177081635598940e-01,6.955804357377740388e+00,1.852362879332323331e+01
2.011021503591585990e-01,6.952912895240110913e+00,1.845336615851121209e+01
2.073865925547573041e-01,6.949930395487427859e+00,1.838360286882908667e+01
2.136710347503560092e-01,6.946856928738141868e+00,1.831433069210591569e+01
2.199554769459547143e-01,6.943692567760954226e+00,1.824554150761164451e+01
2.262399191415534194e-01,6.940437387472758957e+00,1.817722730471123782e+01
2.325243613371521245e-01,6.937091464936543161e+00,1.810938018153547091e+01
2.388088035327508296e-01,6.933654879359204770e+00,1.804199234366811666e+01
2.450932457283495347e-01,6.930127712089322323e+00,1.797505610284909494e+01
2.513776879239482676e-01,6.926510046614863469e+00,1.790856387569385078e+01
2.576621301195469727e-01,6.922801968560824193e+00,1.784250818242819392e+01
2.639465723151456777e-01,6.919003565686824508e+00,1.777688164563895157e+01
2.702310145107443828e-01,6.915114927884627782e+00,1.771167698903977694e+01
2.765154567063430879e-01,6.911136147175608535e+00,1.764688703625223098e+01
2.827998989019417930e-01,6.907067317708159848e+00,1.758250470960178191e+01
2.890843410975404981e-01,6.902908535755036823e+00,1.751852302892865509e+01
2.953687832931392032e-01,6.898659899710646748e+00,1.745493511041322421e+01
3.016532254887379083e-01,6.894321510088269100e+00,1.739173416541579087e+01
3.079376676843366134e-01,6.889893469517232916e+00,1.732891349933071012e+01
3.142221098799353185e-01,6.885375882740015108e+00,1.726646651045445324e+01
3.205065520755340236e-01,6.880768856609289941e+00,1.720438668886760425e+01
3.267909942711327287e-01,6.876072500084924322e+00,1.714266761533059125e+01
3.330754364667314338e-01,6.871286924230901150e+00,1.708130296019283989e+01
3.393598786623301389e-01,6.866412242212190264e+00,1.702028648231541652e+01
3.456443208579288440e-01,6.861448569291562549e+00,1.695961202800679146e+01
3.519287630535275491e-01,6.856396022826336534e+00,1.689927352997163368e+01
3.582132052491262542e-01,6.851254722265084141e+00,1.683926500627249467e+01
3.644976474447249593e-01,6.846024789144247613e+00,1.677958055930417203e+01
3.707820896403236643e-01,6.840706347084735128e+00,1.672021437478061756e+01
3.770665318359223694e-01,6.835299521788418708e+00,1.666116072073425869e+01
3.833509740315210745e-01,6.829804441034608153e+00,1.660241394652746294e+01
3.896354162271197796e-01,6.824221234676445036e+00,1.654396848187621671e+01
3.959198584227184847e-01,6.818550034637249624e+00,1.648581883588558838e+01
4.022043006183171898e-01,6.812790974906797636e+00,1.642795959609705747e+01
4.084887428139158949e-01,6.806944191537555255e+00,1.637038542754741499e+01
4.147731850095146000e-01,6.801009822640839531e+00,1.631309107183915685e+01
4.210576272051133051e-01,6.794988008382936151e+00,1.625607134622224592e+01
4.273420694007120102e-01,6.788878890981149716e+00,1.619932114268698342e+01
4.336265115963107153e-01,6.782682614699797163e+00,1.614283542706803587e+01
4.399109537919094204e-01,6.776399325846147903e+00,1.608660923815928712e+01
4.461953959875081255e-01,6.770029172766307113e+00,1.603063768683950130e+01
4.524798381831068306e-01,6.763572305841032417e+00,1.597491595520864216e+01
4.587642803787055357e-01,6.757028877481509710e+00,1.591943929573462313e+01
4.650487225743042408e-01,6.750399042125055260e+00,1.586420303041054325e+01
4.713331647699029459e-01,6.743682956230772518e+00,1.580920254992205365e+01
4.776176069655016510e-01,6.736880778275146753e+00,1.575443331282493453e+01
4.839020491611003560e-01,6.729992668747586393e+00,1.569989084473254337e+01
4.901864913566990611e-01,6.723018790145905754e+00,1.564557073751324623e+01
4.964709335522977662e-01,6.715959306971752696e+00,1.559146864849754976e+01
5.027553757478965268e-01,6.708814385725977658e+00,1.553758029969472432e+01
5.090398179434951764e-01,6.701584194903955627e+00,1.548390147701912589e+01
5.153242601390939370e-01,6.694268904990834379e+00,1.543042802952571968e+01
5.216087023346925866e-01,6.686868688456750753e+00,1.537715586865497031e+01
5.278931445302913472e-01,6.679383719751967874e+00,1.532408096748678616e+01
5.341775867258899968e-01,6.671814175301978622e+00,1.527119936000353029e+01
5.404620289214887574e-01,6.664160233502529174e+00,1.521850714036201069e+01
5.467464711170874070e-01,6.656422074714621218e+00,1.516600046217405051e+01
5.530309133126861676e-01,6.648599881259422695e+00,1.511367553779602879e+01
5.593153555082848172e-01,6.640693837413145673e+00,1.506152863762678606e+01
5.655997977038835778e-01,6.632704129401871818e+00,1.500955608941409558e+01
5.718842398994822274e-01,6.624630945396305925e+00,1.495775427756944254e+01
5.781686820950809880e-01,6.616474475506493924e+00,1.490611964249114862e+01
5.844531242906796376e-01,6.608234911776472487e+00,1.485464867989557014e+01
5.907375664862783982e-01,6.599912448178876900e+00,1.480333794015634119e+01
5.970220086818770477e-01,6.591507280609482322e+00,1.475218402765163184e+01
6.033064508774758083e-01,6.583019606881705954e+00,1.470118360011923109e+01
6.095908930730744579e-01,6.574449626721038165e+00,1.465033336801932862e+01
6.158753352686732185e-01,6.565797541759440747e+00,1.459963009390502187e+01
6.221597774642718681e-01,6.557063555529669685e+00,1.454907059180036910e+01
6.284442196598706287e-01,6.548247873459569490e+00,1.449865172658584456e+01
6.347286618554692783e-01,6.539350702866296494e+00,1.444837041339122052e+01
