# Time, Target, Prediction
1.822488236731958011e+01,-1.172429511395260172e-02,-1.272412016987800598e-02
2.206362914179779011e+01,2.198060330967682371e-02,2.166312560439109802e-02
5.153242600474271740e+00,-7.350231930987388348e-03,-7.187914103269577026e-03
1.071497394357912825e+01,1.307390940143762087e-02,1.277705654501914978e-02
1.697846799852583644e+01,2.675095947825168255e-02,2.557687088847160339e-02
2.911791550710733922e+00,-1.544321363531060420e-01,-1.544285267591476440e-01
1.605151277467502524e+01,1.276107912415394910e-02,1.215594634413719177e-02
1.052644067771116632e+01,1.094322484524144984e-03,9.225644171237945557e-04
1.578442398136208169e+01,1.721596280464780674e-03,1.256693154573440552e-03
1.780591955427966866e+01,5.077170259783159167e-03,3.973823040723800659e-03
2.508539843159816929e+00,-7.120791038598528466e-02,-7.124158740043640137e-02
1.239606223090178183e+01,1.531683331095005408e-02,1.405015215277671814e-02
1.595724614174104872e+01,9.119354861221479203e-03,8.573751896619796753e-03
5.074687073029288342e+00,-1.863025175465421110e-02,-1.841153576970100403e-02
2.309008803374558028e+01,3.532704234982662894e-03,3.097530454397201538e-03
2.457740602003727304e+01,-3.018459731952602768e-02,-3.014137223362922668e-02
1.227037338698980840e+01,2.136958162218843479e-02,2.010400220751762390e-02
2.327338426445054154e+01,-2.156893227231834916e-03,-2.544354647397994995e-03
1.794731950368063522e+01,-5.040351456572910328e-04,-1.581255346536636353e-03
2.213694763407977462e+01,2.184393928773812124e-02,2.151048555970191956e-02
5.483175815743204673e+00,3.400852205416357577e-02,3.387218341231346130e-02
2.262399190423867523e+01,1.577012702080370435e-02,1.533793285489082336e-02
1.818298608601558897e+01,-1.004487637130155320e-02,-1.105973497033119202e-02
7.939345307189697998e+00,-4.460812484442486237e-02,-4.557408019900321960e-02
2.533677611867211610e+01,-2.237072450450724309e-02,-2.216316387057304382e-02
1.759643814775970938e+01,1.272723367471489606e-02,1.158991083502769470e-02
1.810443055857060202e+01,-6.867806935192516046e-03,-7.907319813966751099e-03
2.363473969069746516e+01,-1.333702919982724874e-02,-1.359189674258232117e-02
2.144565899256391717e+01,1.463049902367620676e-02,1.451322063803672791e-02
1.154242549933295692e+01,3.927986767757329911e-02,3.822415694594383240e-02
1.041646293928818956e+01,-6.531372087209689689e-03,-6.645347923040390015e-03
2.068105185876607166e+01,-9.947866916891407937e-03,-9.821165353059768677e-03
2.407988767955237464e+01,-2.449044196123683140e-02,-2.460462227463722229e-02
1.131199595291100479e+00,4.322717113288406798e-01,4.332763254642486572e-01
2.547293903291008732e+01,-1.921457931563640489e-02,-1.902010664343833923e-02
1.466369845648031323e+01,-4.771225996132642116e-02,-4.816381260752677917e-02
2.208457728244978568e+01,2.196370131767979780e-02,2.164156362414360046e-02
1.870145256715248294e+01,-2.873995080738949229e-02,-2.945831790566444397e-02
2.046633341708311704e+01,-1.770823582146652600e-02,-1.758988574147224426e-02
2.477117632106823208e+01,-3.003362472712915732e-02,-2.992322668433189392e-02
1.134865519830199609e+01,3.768453254878659925e-02,3.678957000374794006e-02
1.163145509710393810e+01,3.903754035519881732e-02,3.792321309447288513e-02
6.137805211118069870e+00,7.546381133979865319e-02,7.465292513370513916e-02
2.454598380905927613e+01,-3.008070711219619151e-02,-3.004849329590797424e-02
7.478486212845793624e+00,-1.750202209607093148e-03,-2.990614622831344604e-03
1.109727751047804922e+01,3.129014935422795574e-02,3.064386919140815735e-02
1.022792967342022763e+01,-2.028469846956479014e-02,-2.031961455941200256e-02
1.538640930897416403e+01,-1.736800730355828395e-02,-1.778860762715339661e-02
2.522679838024913934e+01,-2.460495733648685249e-02,-2.439787611365318298e-02
2.436792461351731731e+01,-2.882077291613165115e-02,-2.884891256690025330e-02
2.160277004745388396e+01,1.787813188184351684e-02,1.769563183188438416e-02
1.051596660738516853e+01,3.853419324231750569e-04,2.195350825786590576e-04
2.352476195227448841e+01,-1.003033368262879095e-02,-1.032636687159538269e-02
1.758072704227071270e+01,1.325902451454720118e-02,1.211920008063316345e-02
1.054215178320016300e+01,2.150208790990994732e-03,1.969341188669204712e-03
4.844257525857336155e+00,-5.369066545476929020e-02,-5.334068462252616882e-02
2.238308828674072615e+01,1.984003221231100261e-02,1.945457234978675842e-02
2.599664254920998019e+01,-4.676819203727528365e-03,-4.639696329832077026e-03
8.693478370661543053e+00,-8.553717259087119384e-02,-8.594001829624176025e-02
1.259506956709573977e+01,4.724442189835999055e-03,3.457758575677871704e-03
1.929323754057136142e+01,-3.942450131377619321e-02,-3.968467190861701965e-02
1.164716620259293656e+01,3.893216828609245145e-02,3.780857101082801819e-02
2.446219124645129739e+01,-2.962899634412599278e-02,-2.962582185864448547e-02
2.317388059635356257e+01,9.595189088959747833e-04,5.430988967418670654e-04
2.472928003976424094e+01,-3.018121280252548597e-02,-3.008488193154335022e-02
1.841341563318754027e+01,-1.902500443488981674e-02,-1.993768289685249329e-02
2.487591702507821356e+00,-6.577004732374952534e-02,-6.579931080341339111e-02
1.895806729088942877e+00,1.251363447690225228e-01,1.255158185958862305e-01
6.326338476986030912e+00,7.602444816022864427e-02,7.506352663040161133e-02
2.460882823101526640e+01,-3.025261145557014281e-02,-3.019831702113151550e-02
6.745301290025944141e+00,6.069756404711175446e-02,5.951171740889549255e-02
2.105288135608899935e+00,5.025972565931582231e-02,5.043854936957359314e-02
2.188033291109282885e+01,2.136697590679458719e-02,2.109388634562492371e-02
7.881737920396711061e+00,-3.968621245855445678e-02,-4.069276526570320129e-02
2.117857019925097006e+01,7.334280564885783428e-03,7.334958761930465698e-03
2.325767315896154130e+01,-1.662131344095926734e-03,-2.054553478956222534e-03
2.075960738621105861e+01,-7.072606566546586933e-03,-6.952170282602310181e-03
1.824059347280857679e+01,-1.235019648673813669e-02,-1.334394887089729309e-02
2.607519807665496359e+01,-2.400330227365314942e-03,-2.396058291196823120e-03
2.227834758348074473e+01,2.097665277110216664e-02,2.061333134770393372e-02
9.232892992450432601e+00,-8.146653129233484558e-02,-8.146511018276214600e-02
