# Time, Target, Prediction
1.822488236731958011e+01,-9.586474942345799694e-03,-1.048240438103675842e-02
2.206362914179779011e+01,3.016497382420349135e-02,2.973721548914909363e-02
5.153242600474271740e+00,-3.828088388757305144e-02,-3.743529692292213440e-02
1.071497394357912825e+01,1.515099223600151722e-02,1.583252474665641785e-02
1.697846799852583644e+01,3.786714826393401678e-02,3.751155361533164978e-02
2.911791550710733922e+00,-2.294419768292939865e-01,-2.291417270898818970e-01
1.605151277467502524e+01,1.644833097836221475e-02,1.629081740975379944e-02
1.052644067771116632e+01,-1.110497310565571744e-03,-5.642659962177276611e-04
1.578442398136208169e+01,1.621222386082638153e-03,1.440543681383132935e-03
1.780591955427966866e+01,1.205042564515873722e-02,1.122520491480827332e-02
2.508539843159816929e+00,-1.115221748054714551e-01,-1.123396754264831543e-01
1.239606223090178183e+01,2.717205442828006870e-02,2.688768133521080017e-02
1.595724614174104872e+01,1.151016366911522711e-02,1.135336980223655701e-02
5.074687073029288342e+00,-5.438334477145993773e-02,-5.341272428631782532e-02
2.309008803374558028e+01,8.520329631360882075e-03,7.851075381040573120e-03
2.457740602003727304e+01,-3.716463211423469415e-02,-3.767922893166542053e-02
1.227037338698980840e+01,3.461167422606210159e-02,3.442294523119926453e-02
2.327338426445054154e+01,1.258208846578107989e-03,6.361119449138641357e-04
1.794731950368063522e+01,4.951785469229786317e-03,4.075836390256881714e-03
2.213694763407977462e+01,3.020194698439321312e-02,2.971012517809867859e-02
5.483175815743204673e+00,2.204122228072479678e-02,2.253917977213859558e-02
2.262399190423867523e+01,2.362358921608331136e-02,2.287645265460014343e-02
1.818298608601558897e+01,-7.388250220379973671e-03,-8.286688476800918579e-03
7.939345307189697998e+00,-5.039298057094229732e-02,-5.344966426491737366e-02
2.533677611867211610e+01,-2.902269139607223034e-02,-2.850823476910591125e-02
1.759643814775970938e+01,2.160792552149105872e-02,2.090145274996757507e-02
1.810443055857060202e+01,-3.251230541660479843e-03,-4.149917513132095337e-03
2.363473969069746516e+01,-1.334739126502331938e-02,-1.396404579281806946e-02
2.144565899256391717e+01,1.899033781094898801e-02,1.894805952906608582e-02
1.154242549933295692e+01,5.398777571806274989e-02,5.431907996535301208e-02
1.041646293928818956e+01,-1.131521655975755054e-02,-1.088713482022285461e-02
2.068105185876607166e+01,-1.356767098913542850e-02,-1.373844221234321594e-02
2.407988767955237464e+01,-2.850700117950312473e-02,-2.922286465764045715e-02
1.131199595291100479e+00,5.696862383847329792e-01,5.686687827110290527e-01
2.547293903291008732e+01,-2.519139894229019058e-02,-2.457844093441963196e-02
1.466369845648031323e+01,-6.075932037007819586e-02,-6.155301257967948914e-02
2.208457728244978568e+01,3.020434379004853509e-02,2.975798770785331726e-02
1.870145256715248294e+01,-3.239879805778442950e-02,-3.327872231602668762e-02
2.046633341708311704e+01,-2.343030358594214851e-02,-2.360092476010322571e-02
2.477117632106823208e+01,-3.751925172316799423e-02,-3.779620304703712463e-02
1.134865519830199609e+01,5.067436297791896860e-02,5.116481706500053406e-02
1.163145509710393810e+01,5.423484688424669298e-02,5.449442192912101746e-02
6.137805211118069870e+00,8.950210552369841643e-02,8.829768002033233643e-02
2.454598380905927613e+01,-3.694143096180977498e-02,-3.748667612671852112e-02
7.478486212845793624e+00,5.274334669829796977e-03,2.466004341840744019e-03
1.109727751047804922e+01,4.080584746183392453e-02,4.146718606352806091e-02
1.022792967342022763e+01,-2.948509646462590950e-02,-2.930347993969917297e-02
1.538640930897416403e+01,-2.325401267710626441e-02,-2.362375333905220032e-02
2.522679838024913934e+01,-3.167840311159576122e-02,-3.128429129719734192e-02
2.436792461351731731e+01,-3.482000932966006906e-02,-3.549097850918769836e-02
2.160277004745388396e+01,2.356474669100906694e-02,2.348132058978080750e-02
1.051596660738516853e+01,-2.063585101082293302e-03,-1.527506858110427856e-03
2.352476195227448841e+01,-8.979793850370905439e-03,-9.583491832017898560e-03
1.758072704227071270e+01,2.226319517868463604e-02,2.156693860888481140e-02
1.054215178320016300e+01,3.106820740873063357e-04,8.715800940990447998e-04
4.844257525857336155e+00,-1.037897679799563988e-01,-1.023412048816680908e-01
2.238308828674072615e+01,2.829926929508034053e-02,2.763066813349723816e-02
2.599664254920998019e+01,-6.869646635942435083e-03,-6.364468485116958618e-03
8.693478370661543053e+00,-1.076304545039400845e-01,-1.092417091131210327e-01
1.259506956709573977e+01,1.388072618575220650e-02,1.342793181538581848e-02
1.929323754057136142e+01,-4.814111730407739237e-02,-4.917724803090095520e-02
1.164716620259293656e+01,5.419589100374815061e-02,5.444308742880821228e-02
2.446219124645129739e+01,-3.612271139347405374e-02,-3.673735633492469788e-02
2.317388059635356257e+01,5.250606114989128138e-03,4.605036228895187378e-03
2.472928003976424094e+01,-3.759169627135850594e-02,-3.792633488774299622e-02
1.841341563318754027e+01,-1.924031333917827422e-02,-2.011625841259956360e-02
2.487591702507821356e+00,-1.038959958694927327e-01,-1.047634929418563843e-01
