# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,2.100000000000000000e+01
6.284442205616708188e-02,6.999953923508178910e+00,2.081144271421211656e+01
1.256888440123341832e-01,6.999815695124861570e+00,2.062695587374031447e+01
1.885332659685012846e-01,6.999585318125563838e+00,2.044643476061345311e+01
2.513776879246683582e-01,6.999262797969382888e+00,2.026977726601913687e+01
3.142221098808354318e-01,6.998848142298836450e+00,2.009688382562997333e+01
3.770665318370025609e-01,6.998341360939651423e+00,1.992765735653484427e+01
4.399109537931696345e-01,6.997742465900479658e+00,1.976200319573568720e+01
5.027553757493367081e-01,6.997051471372570219e+00,1.959982904017069671e+01
5.655997977055038373e-01,6.996268393729357271e+00,1.944104488822611643e+01
6.284442196616708554e-01,6.995393251526008882e+00,1.928556298269975144e+01
6.912886416178379845e-01,6.994426065498894118e+00,1.913329775517997788e+01
7.541330635740051136e-01,6.993366858565006616e+00,1.898416577180532983e+01
8.169774855301721317e-01,6.992215655821309994e+00,1.883808568037014552e+01
8.798219074863392608e-01,6.990972484544037080e+00,1.869497815874315449e+01
9.426663294425062789e-01,6.989637374187917196e+00,1.855476586456603627e+01
1.005510751398673408e+00,6.988210356385341271e+00,1.841737338620052356e+01
1.068355173354840426e+00,6.986691464945480767e+00,1.828272719489286402e+01
1.131199595311007666e+00,6.985080735853320455e+00,1.815075559812544981e+01
1.194044017267174684e+00,6.983378207268652993e+00,1.802138869412613786e+01
1.256888439223341702e+00,6.981583919525001569e+00,1.789455832750655162e+01
1.319732861179508943e+00,6.979697915128475927e+00,1.777019804600134734e+01
1.382577283135675961e+00,6.977720238756579541e+00,1.764824305828098616e+01
1.445421705091842979e+00,6.975650937256948403e+00,1.752863019281157975e+01
1.508266127048010219e+00,6.973490059646029415e+00,1.741129785773556904e+01
1.571110549004177237e+00,6.971237657107694830e+00,1.729618600174805465e+01
1.633954970960344255e+00,6.968893782991804287e+00,1.718323607594412650e+01
1.696799392916511273e+00,6.966458492812692249e+00,1.707239099661271098e+01
1.759643814872678513e+00,6.963931844247617242e+00,1.696359510895401357e+01
1.822488236828845531e+00,6.961313897135114281e+00,1.685679415169707340e+01
1.885332658785012550e+00,6.958604713473326875e+00,1.675193522259544920e+01
1.948177080741179790e+00,6.955804357418243988e+00,1.664896674477905592e+01
2.011021502697346808e+00,6.952912895281902372e+00,1.654783843394099208e+01
2.073865924653513826e+00,6.949930395530506289e+00,1.644850126633853549e+01
2.136710346609680844e+00,6.946856928782504603e+00,1.635090744758817749e+01
2.199554768565847862e+00,6.943692567806599492e+00,1.625501038223490369e+01
2.262399190522015324e+00,6.940437387519685863e+00,1.616076464407660040e+01
2.325243612478182342e+00,6.937091464984749933e+00,1.606812594722475396e+01
2.388088034434349360e+00,6.933654879408690519e+00,1.597705111788317822e+01
2.450932456390516379e+00,6.930127712140084384e+00,1.588749806682694299e+01
2.513776878346683397e+00,6.926510046666900067e+00,1.579942576256414632e+01
2.576621300302850415e+00,6.922801968614132662e+00,1.571279420516358805e+01
2.639465722259017877e+00,6.919003565741404849e+00,1.562756440073172470e+01
2.702310144215184895e+00,6.915114927940478218e+00,1.554369833652288158e+01
2.765154566171351913e+00,6.911136147232727289e+00,1.546115895666694762e+01
2.827998988127518931e+00,6.907067317766542480e+00,1.537991013849926780e+01
2.890843410083685949e+00,6.902908535814685109e+00,1.529991666947768891e+01
2.953687832039852967e+00,6.898659899771556248e+00,1.522114422467227790e+01
3.016532253996020430e+00,6.894321510150438925e+00,1.514355934481346821e+01
3.079376675952187448e+00,6.889893469580660401e+00,1.506712941488478918e+01
3.142221097908354466e+00,6.885375882804699366e+00,1.499182264324650404e+01
3.205065519864521484e+00,6.880768856675228307e+00,1.491760804127720874e+01
3.267909941820688502e+00,6.876072500152115907e+00,1.484445540352043480e+01
3.330754363776855520e+00,6.871286924299339738e+00,1.477233528832359077e+01
3.393598785733022538e+00,6.866412242281876743e+00,1.470121899895723772e+01
3.456443207689190000e+00,6.861448569362493366e+00,1.463107856520261407e+01
3.519287629645357018e+00,6.856396022898511688e+00,1.456188672539583706e+01
3.582132051601524036e+00,6.851254722338501857e+00,1.449361690891747934e+01
3.644976473557691055e+00,6.846024789218904338e+00,1.442624321911632279e+01
3.707820895513858073e+00,6.840706347160628198e+00,1.435974041665675927e+01
3.770665317470025091e+00,6.835299521865544570e+00,1.429408390327901124e+01
3.833509739426192553e+00,6.829804441112965918e+00,1.422924970596220717e+01
3.896354161382359571e+00,6.824221234756033816e+00,1.416521446148010455e+01
3.959198583338526589e+00,6.818550034718065866e+00,1.410195540133979186e+01
4.022043005294693607e+00,6.812790974988839565e+00,1.403945033709390700e+01
4.084887427250860625e+00,6.806944191620818430e+00,1.397767764601701934e+01
4.147731849207027643e+00,6.801009822725323062e+00,1.391661625713711281e+01
4.210576271163194662e+00,6.794988008468636487e+00,1.385624563761350281e+01
4.273420693119361680e+00,6.788878891068065080e+00,1.379654577945236404e+01
4.336265115075528698e+00,6.782682614787924003e+00,1.373749718655172281e+01
4.399109537031695716e+00,6.776399325935485329e+00,1.367908086206751506e+01
4.461953958987863622e+00,6.770029172856851574e+00,1.362127829609289975e+01
4.524798380944030640e+00,6.763572305932782136e+00,1.356407145364297406e+01
4.587642802900197658e+00,6.757028877574461134e+00,1.350744276293728419e+01
