# Time, Target, Prediction
1.822488236729678945e+01,-4.817164957696208442e-03,-5.700240377336740494e-03
2.206362914178599866e+01,2.556576621798330867e-02,2.705796621739864349e-02
5.153242600414035479e+00,-6.609724556215408782e-03,-7.762531284242868423e-03
1.071497394353482058e+01,2.553800840205434908e-02,2.462925575673580170e-02
1.697846799849947530e+01,3.223118898061541615e-02,3.129680082201957703e-02
2.911791550644075688e+00,-1.832074873700538509e-01,-1.837246567010879517e-01
1.605151277464601023e+01,2.197107007304551982e-02,2.178636752068996429e-02
1.052644067766632219e+01,1.490712332855389025e-02,1.404215954244136810e-02
1.578442398133229929e+01,1.241572198005852154e-02,1.236901246011257172e-02
1.780591955425567718e+01,1.076657948260059151e-02,9.715555235743522644e-03
2.508539843092003174e+00,-1.137432598382925875e-01,-1.140054687857627869e-01
1.239606223086228987e+01,2.271075617740192856e-02,2.124970220029354095e-02
1.595724614171176015e+01,1.884912830035899087e-02,1.872534118592739105e-02
5.074687072968826484e+00,-1.760999115970461257e-02,-1.879245974123477936e-02
2.309008803373672691e+01,7.094350117717418414e-03,8.478602394461631775e-03
2.457740602003267938e+01,-2.293134090594464020e-02,-2.113106288015842438e-02
1.227037338694995761e+01,2.848776411448417437e-02,2.705996297299861908e-02
2.327338426444221042e+01,1.800035621810128520e-03,3.168394323438405991e-03
1.794731950365705231e+01,5.538365187330090630e-03,4.520771559327840805e-03
2.213694763406818922e+01,2.528356268317669478e-02,2.674475871026515961e-02
5.483175815683912546e+00,3.332277428988155571e-02,3.233538940548896790e-02
2.262399190422848605e+01,1.881438733724863713e-02,2.020517550408840179e-02
1.818298608599267752e+01,-3.279463995077354539e-03,-4.189918283373117447e-03
7.939345307137443797e+00,-3.536245143510152039e-02,-3.663335368037223816e-02
2.533677611866969670e+01,-1.506228116369475248e-02,-1.300526596605777740e-02
1.759643814773511750e+01,1.803998134023878513e-02,1.696990244090557098e-02
1.810443055854747030e+01,-3.588034478601221300e-04,-1.313368324190378189e-03
2.363473969069017500e+01,-8.409567861032052685e-03,-7.051805499941110611e-03
2.144565899255035291e+01,2.017265280626429763e-02,2.208498679101467133e-02
1.154242549929102246e+01,4.700412441196911983e-02,4.576628282666206360e-02
1.041646293924302924e+01,8.056314547223155861e-03,7.202436681836843491e-03
2.068105185875031893e+01,-1.246566377098655637e-03,7.771304808557033539e-04
2.407988767954635634e+01,-1.829282359052475729e-02,-1.680102385580539703e-02
1.131199595219340992e+00,3.464522753767662056e-01,3.462482094764709473e-01
2.547293903290806227e+01,-1.211913378103349030e-02,-1.006277836859226227e-02
1.466369845644732095e+01,-3.263969168476924670e-02,-3.298316523432731628e-02
2.208457728243805107e+01,2.550508788072421498e-02,2.698779664933681488e-02
1.870145256713105653e+01,-2.012549491763508669e-02,-2.048254571855068207e-02
2.046633341706674969e+01,-8.255962317500559200e-03,-6.341184023767709732e-03
2.477117632106419620e+01,-2.256521621064646460e-02,-2.065558172762393951e-02
1.134865519825950564e+01,4.621083485596764323e-02,4.504175856709480286e-02
1.163145509706225944e+01,4.647874901246593082e-02,4.521401599049568176e-02
6.137805211060652688e+00,7.262204492179986925e-02,7.170110195875167847e-02
2.454598380905459720e+01,-2.287421226203330965e-02,-2.109357155859470367e-02
7.478486212792217813e+00,2.412171994428283055e-03,1.213004346936941147e-03
1.109727751043483934e+01,4.118766456059528430e-02,4.012562707066535950e-02
1.022792967337452730e+01,-4.436418298706678448e-03,-5.296597722917795181e-03
1.538640930894324299e+01,-4.573837976566497675e-03,-4.620695952326059341e-03
2.522679838024640375e+01,-1.717199890359629930e-02,-1.512309350073337555e-02
2.436792461351212324e+01,-2.193572296057436435e-02,-2.027064003050327301e-02
2.160277004744077445e+01,2.282047249465477684e-02,2.461921237409114838e-02
1.051596660734029420e+01,1.427267621430192666e-02,1.340927742421627045e-02
2.352476195226688205e+01,-5.416155786156136472e-03,-4.062602762132883072e-03
1.758072704224607818e+01,1.855145376109054722e-02,1.748116128146648407e-02
1.054215178315536328e+01,1.585100921245035169e-02,1.498358510434627533e-02
4.844257525796213493e+00,-5.212085611791844597e-02,-5.335417017340660095e-02
2.238308828672984774e+01,2.295380959859224038e-02,2.435508929193019867e-02
2.599664254920945083e+01,1.099519749695772233e-03,3.075455781072378159e-03
8.693478370611448014e+00,-6.911770822405208237e-02,-7.017759233713150024e-02
1.259506956705682157e+01,1.274548171156096241e-02,1.124047301709651947e-02
1.929323754055162965e+01,-2.912637818875076640e-02,-2.846779860556125641e-02
1.164716620255130053e+01,4.632930016625069064e-02,4.506020620465278625e-02
2.446219124644637333e+01,-2.256223887731005975e-02,-2.083545364439487457e-02
2.317388059634494724e+01,4.691029205157710470e-03,6.068428512662649155e-03
2.472928003976008071e+01,-2.274826009598901119e-02,-2.086017467081546783e-02
1.841341563316528962e+01,-1.145071442062378306e-02,-1.217350177466869354e-02
2.487591702439947650e+00,-1.090348163511784818e-01,-1.092863753437995911e-01
1.895806729019374082e+00,6.209616691980938963e-02,6.209226325154304504e-02
6.326338476929153742e+00,7.312911556525339418e-02,7.217731326818466187e-02
2.460882823101076511e+01,-2.295579182162468465e-02,-2.113627828657627106e-02
6.745301289970268677e+00,5.895353373810600928e-02,5.797984078526496887e-02
2.105288135539930661e+00,-6.065937266278184810e-03,-6.130660418421030045e-03
2.188033291108050804e+01,2.540660158170209015e-02,2.700263820588588715e-02
7.881737920344289883e+00,-3.108394051547206521e-02,-3.236092254519462585e-02
2.117857019923664197e+01,1.398348225098286490e-02,1.603510044515132904e-02
2.325767315895317111e+01,2.257641748627494099e-03,3.627469297498464584e-03
2.075960738619552970e+01,1.325554086058473770e-03,3.377487417310476303e-03
1.824059347278583232e+01,-5.389152340192443144e-03,-6.261190865188837051e-03
2.607519807665466161e+01,3.128536868987011159e-03,5.081807728856801987e-03
2.227834758346956434e+01,2.419783945863574967e-02,2.561681531369686127e-02
9.232892992401882992e+00,-6.271031234939079824e-02,-6.374860554933547974e-02
9.107204148489548956e+00,-6.642053022933391837e-02,-6.746036559343338013e-02
9.164811535357700878e-01,4.275071175005268342e-01,4.271391630172729492e-01
1.348012850960617470e+01,-2.935359319711900589e-02,-3.053534962236881256e-02
5.603627624508232818e-01,5.631506051215308117e-01,5.624822974205017090e-01
2.169703668037502453e+01,2.400881009121941245e-02,2.573599480092525482e-02
3.859694915149596284e+00,-1.896686471684158326e-01,-1.908104121685028076e-01
2.397514697628607649e+01,-1.637502682170687354e-02,-1.493243314325809479e-02
1.564302403193092417e+01,6.619940810087997923e-03,6.600131746381521225e-03
1.143244776086772951e+01,4.688332191526174697e-02,4.568274691700935364e-02
1.942940045486499123e+00,4.616185116553865597e-02,4.614921286702156067e-02
1.969648924810370261e+01,-2.708841361893516569e-02,-2.583570219576358795e-02
1.224418821113488676e+01,2.962401486679347787e-02,2.820312045514583588e-02
6.897175309697672674e+00,4.957009964872764740e-02,4.858188703656196594e-02
3.047954464882437708e+00,-1.972835609905609355e-01,-1.979037225246429443e-01
2.164990336390789949e+01,2.345349210530620759e-02,2.521645091474056244e-02
2.423176169927375767e+01,-2.052798989529887666e-02,-1.894978620111942291e-02
1.481557247617472406e+01,-2.789132635908721930e-02,-2.816868759691715240e-02
8.080745256538818921e+00,-4.504007032946168165e-02,-4.628027603030204773e-02
1.874858588367318113e+00,6.927806650033414837e-02,6.927708536386489868e-02
9.086256007837492987e+00,-6.691612858287608601e-02,-6.795594841241836548e-02
1.393051353370037271e+00,2.463704185178530182e-01,2.463160306215286255e-01
8.117404502679915979e+00,-4.733581294848217269e-02,-4.856527969241142273e-02
2.367663597199428338e+01,-9.507047797813226314e-03,-8.145028725266456604e-03
9.751359473540260225e+00,-3.651566489539843224e-02,-3.748045489192008972e-02
9.814203895496428132e+00,-3.249223375905569561e-02,-3.344107791781425476e-02
1.344346926346507765e+01,-2.805381115442609138e-02,-2.926770783960819244e-02
1.979599291627596624e+00,3.399529397250546786e-02,3.397383168339729309e-02
1.493078724976103189e+01,-2.374703287427254450e-02,-2.397347427904605865e-02
2.324719908862714490e+01,2.562616862104006004e-03,3.933375235646963120e-03
2.340954717875557645e+00,-7.323244917085737493e-02,-7.341030985116958618e-02
1.239082519569927676e+01,2.296103877339472632e-02,2.150132320821285248e-02
2.402228029275320154e+01,-1.727395872976552130e-02,-1.581042446196079254e-02
2.201125879015585696e+01,2.564703012672277238e-02,2.716528438031673431e-02
