# Time, Target, Prediction
1.822488236731958011e+01,-9.211075062516642029e-03,-8.037058636546134949e-03
2.206362914179779011e+01,2.895021986488924629e-02,2.949395962059497833e-02
5.153242600474271740e+00,-3.042976819900094707e-02,-3.077797405421733856e-02
1.071497394357912825e+01,1.816210483433158482e-02,1.749114878475666046e-02
1.697846799852583644e+01,3.818714267548323910e-02,3.872632980346679688e-02
2.911791550710733922e+00,-2.135560727927585667e-01,-2.139136195182800293e-01
1.605151277467502524e+01,1.662852572999700893e-02,1.668387837707996368e-02
1.052644067771116632e+01,1.993228013051303628e-03,1.020187512040138245e-03
1.578442398136208169e+01,1.854252039147532248e-03,1.693399623036384583e-03
1.780591955427966866e+01,1.249982825336298960e-02,1.374690420925617218e-02
2.508539843159816929e+00,-9.462637215477205654e-02,-9.520883858203887939e-02
1.239606223090178183e+01,3.033300511776053712e-02,3.144238889217376709e-02
1.595724614174104872e+01,1.170236234565459783e-02,1.169420965015888214e-02
5.074687073029288342e+00,-4.641731350290272118e-02,-4.675477743148803711e-02
2.309008803374558028e+01,7.531133980384973475e-03,9.022081270813941956e-03
2.457740602003727304e+01,-3.863344665427686370e-02,-3.792015463113784790e-02
1.227037338698980840e+01,3.777214658349144216e-02,3.890801966190338135e-02
2.327338426445054154e+01,2.678289002358743014e-04,1.861402764916419983e-03
1.794731950368063522e+01,5.389441146933293680e-03,6.649302318692207336e-03
2.213694763407977462e+01,2.900912083890521895e-02,2.958485670387744904e-02
5.483175815743204673e+00,2.958789586419531201e-02,2.919489331543445587e-02
2.262399190423867523e+01,2.256708563683977944e-02,2.355711348354816437e-02
1.818298608601558897e+01,-7.000040470524213250e-03,-5.805654451251029968e-03
7.939345307189697998e+00,-4.293647797305774616e-02,-4.441842436790466309e-02
2.533677611867211610e+01,-3.091235457290119476e-02,-2.988444082438945770e-02
1.759643814775970938e+01,2.205217873966491132e-02,2.319991774857044220e-02
1.810443055857060202e+01,-2.842287172670173064e-03,-1.615880057215690613e-03
2.363473969069746516e+01,-1.439291925179257171e-02,-1.287441514432430267e-02
2.144565899256391717e+01,1.763568417699648908e-02,1.802110113203525543e-02
1.154242549933295692e+01,5.700237756251270993e-02,5.753478407859802246e-02
1.041646293928818956e+01,-8.136056995067992431e-03,-9.278779849410057068e-03
2.068105185876607166e+01,-1.483705923323620952e-02,-1.494390331208705902e-02
2.407988767955237464e+01,-2.971228497182404338e-02,-2.865506522357463837e-02
1.131199595291100479e+00,5.823685611451175914e-01,5.814512372016906738e-01
2.547293903291008732e+01,-2.714178605169717887e-02,-2.610716037452220917e-02
1.466369845648031323e+01,-5.963801667906867832e-02,-6.027765572071075439e-02
2.208457728244978568e+01,2.899582239695478597e-02,2.954802848398685455e-02
1.870145256715248294e+01,-3.225150709609519301e-02,-3.137652575969696045e-02
2.046633341708311704e+01,-2.460725417125016537e-02,-2.478948049247264862e-02
2.477117632106823208e+01,-3.910123385515770073e-02,-3.835844248533248901e-02
1.134865519830199609e+01,5.364743680060417991e-02,5.390904843807220459e-02
1.163145509710393810e+01,5.727175350855331221e-02,5.792433023452758789e-02
6.137805211118069870e+00,9.708838699519532767e-02,9.631945192813873291e-02
2.454598380905927613e+01,-3.839210979106519317e-02,-3.767474740743637085e-02
7.478486212845793624e+00,1.316164977809371021e-02,1.187442429363727570e-02
1.109727751047804922e+01,4.375311218452782730e-02,4.365885257720947266e-02
1.022792967342022763e+01,-2.613809610655066715e-02,-2.753235213458538055e-02
1.538640930897416403e+01,-2.282645897604665061e-02,-2.343305759131908417e-02
2.522679838024913934e+01,-3.351414976646675120e-02,-3.252300620079040527e-02
2.436792461351731731e+01,-3.617064816793574833e-02,-3.538030385971069336e-02
2.160277004745388396e+01,2.223364251810520595e-02,2.266774512827396393e-02
1.051596660738516853e+01,1.046626712492226829e-03,5.697645246982574463e-05
2.352476195227448841e+01,-1.000105093583592009e-02,-8.420435711741447449e-03
1.758072704227071270e+01,2.270607397054215382e-02,2.384267933666706085e-02
1.054215178320016300e+01,3.404949197718345165e-03,2.456778660416603088e-03
4.844257525857336155e+00,-9.538511942920067932e-02,-9.566710144281387329e-02
2.238308828674072615e+01,2.717956586068067185e-02,2.792235650122165680e-02
2.599664254920998019e+01,-8.975051445401522471e-03,-8.250443264842033386e-03
