# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,2.100000000000000000e+01
6.284442295598705562e-03,6.999953923506860853e+00,2.098082125614594773e+01
1.256888449119741152e-02,6.999815695122223680e+00,2.096141073683302025e+01
1.885332668679612009e-02,6.999585318121607891e+00,2.094176859112036126e+01
2.513776888239482518e-02,6.999262797964107996e+00,2.092189497430069522e+01
3.142221107799353375e-02,6.998848142292245278e+00,2.090179004789462525e+01
3.770665327359223884e-02,6.998341360931742194e+00,2.088145397964495231e+01
4.399109546919094393e-02,6.997742465891256813e+00,2.086088694351062145e+01
5.027553766478964903e-02,6.997051471362031094e+00,2.084008911966063948e+01
5.655997986038835412e-02,6.996268393717505418e+00,2.081906069446776897e+01
6.284442205598705922e-02,6.995393251512843413e+00,2.079780186050202673e+01
6.912886425158576431e-02,6.994426065484416810e+00,2.077631281652401185e+01
7.541330644718446941e-02,6.993366858549217469e+00,2.075459376747822660e+01
8.169774864278317450e-02,6.992215655804209007e+00,2.073264492448587148e+01
8.798219083838187959e-02,6.990972484525627806e+00,2.071046650483785356e+01
9.426663303398058469e-02,6.989637374168196970e+00,2.068805873198738254e+01
1.005510752295792898e-01,6.988210356364314535e+00,2.066542183554247103e+01
1.068355174251779949e-01,6.986691464923146633e+00,2.064255605125827131e+01
1.131199596207767000e-01,6.985080735829680698e+00,2.061946162102925584e+01
1.194044018163754051e-01,6.983378207243709390e+00,2.059613879288114902e+01
1.256888440119741379e-01,6.981583919498754121e+00,2.057258782096276306e+01
1.319732862075728430e-01,6.979697915100925520e+00,2.054880896553769887e+01
1.382577284031715481e-01,6.977720238727727953e+00,2.052480249297573067e+01
1.445421705987702532e-01,6.975650937226797410e+00,2.050056867574418007e+01
1.508266127943689583e-01,6.973490059614578129e+00,2.047610779239908041e+01
1.571110549899676634e-01,6.971237657074946803e+00,2.045142012757603567e+01
1.633954971855663685e-01,6.968893782957758631e+00,2.042650597198116813e+01
1.696799393811650736e-01,6.966458492777354294e+00,2.040136562238161488e+01
