# Time, Target, Prediction
1.822488236731958011e+01,-9.211075062516642029e-03,-8.613824844360351562e-03
2.206362914179779011e+01,2.895021986488924629e-02,2.856133133172988892e-02
5.153242600474271740e+00,-3.042976819900094707e-02,-2.436335012316703796e-02
1.071497394357912825e+01,1.816210483433158482e-02,2.292769402265548706e-02
1.697846799852583644e+01,3.818714267548323910e-02,3.952314704656600952e-02
2.911791550710733922e+00,-2.135560727927585667e-01,-2.108139991760253906e-01
1.605151277467502524e+01,1.662852572999717893e-02,1.919092610478401184e-02
1.052644067771116632e+01,1.993228013051049925e-03,6.659664213657379150e-03
1.578442398136208169e+01,1.854252039147447680e-03,4.432216286659240723e-03
1.780591955427966866e+01,1.249982825336298960e-02,1.326538622379302979e-02
2.508539843159816929e+00,-9.462637215477205654e-02,-9.283133596181869507e-02
1.239606223090178183e+01,3.033300511776045386e-02,3.346397727727890015e-02
1.595724614174104872e+01,1.170236234565459783e-02,1.429204642772674561e-02
5.074687073029288342e+00,-4.641731350290263791e-02,-4.020521789789199829e-02
2.309008803374558028e+01,7.531133980384973475e-03,6.674848496913909912e-03
2.457740602003727304e+01,-3.863344665427686370e-02,-3.978037089109420776e-02
1.227037338698980840e+01,3.777214658349144216e-02,4.100514203310012817e-02
2.327338426445054154e+01,2.678289002357897336e-04,-7.309541106224060059e-04
1.794731950368063522e+01,5.389441146933293680e-03,6.112828850746154785e-03
2.213694763407977462e+01,2.900912083890504894e-02,2.861423045396804810e-02
5.483175815743204673e+00,2.958789586419531201e-02,3.498646616935729980e-02
2.262399190423867523e+01,2.256708563683977944e-02,2.205961197614669800e-02
1.818298608601558897e+01,-7.000040470524213250e-03,-6.378777325153350830e-03
7.939345307189697998e+00,-4.293647797305774616e-02,-4.104950278997421265e-02
2.533677611867211610e+01,-3.091235457290119476e-02,-3.144795447587966919e-02
1.759643814775970938e+01,2.205217873966474132e-02,2.287984639406204224e-02
1.810443055857060202e+01,-2.842287172670173064e-03,-2.181090414524078369e-03
2.363473969069746516e+01,-1.439291925179265672e-02,-1.553901284933090210e-02
2.144565899256391717e+01,1.763568417699648908e-02,1.747500151395797729e-02
1.154242549933295692e+01,5.700237756251270993e-02,6.061606854200363159e-02
1.041646293928818956e+01,-8.136056995067909164e-03,-3.628529608249664307e-03
2.068105185876607166e+01,-1.483705923323620952e-02,-1.452384144067764282e-02
2.407988767955237464e+01,-2.971228497182404338e-02,-3.084965795278549194e-02
