# Time, Target, Prediction
1.273123248133371277e+01,2.198323124316728210e-03,1.567631959915161133e-03
6.273968125356041092e+00,5.544092443654476815e-02,5.466981232166290283e-02
6.069723753999083371e+00,5.630214384556357643e-02,5.560940504074096680e-02
3.613554263302589664e-01,4.546580927038483821e-01,4.509201943874359131e-01
1.106061826433705697e+01,2.758743901167476364e-02,2.734987437725067139e-02
2.148231823870490942e+01,1.363320003151874057e-02,1.323592662811279297e-02
1.739219377640275255e+01,1.412013172071184541e-02,1.288422942161560059e-02
1.029077409537621435e+01,4.689201742996727124e-03,5.802080035209655762e-03
3.980146723962513899e+00,-7.790669374476483222e-02,-7.881552726030349731e-02
2.384422109721742444e+01,-9.244454914298122494e-03,-9.754739701747894287e-03
1.574252770005809232e+01,8.414012277330913669e-03,8.909896016120910645e-03
1.097682570172907468e+01,2.609736914292028892e-02,2.600473910570144653e-02
1.817774905085259007e+01,-3.185956590293879953e-03,-3.880597651004791260e-03
5.666472046448166822e+00,4.803569420917609689e-02,4.767348617315292358e-02
1.725603086216478133e+01,1.639857764736704637e-02,1.521106809377670288e-02
2.018353351828117681e+01,-9.383053231563277807e-03,-8.584368973970413208e-03
6.200649633074056588e+00,5.612479734505571027e-02,5.537365376949310303e-02
2.367139893758845925e+00,-3.227791686864276560e-02,-3.312237560749053955e-02
8.808693144247520479e+00,-3.955821723643929144e-02,-3.806764632463455200e-02
1.331778041958959236e+01,-1.533530923694194012e-02,-1.533352956175804138e-02
1.545972780125615031e+01,1.100908671997048770e-03,1.913778483867645264e-03
2.135662939479293598e+01,1.219851076550012084e-02,1.199966669082641602e-02
6.184938527585059909e+00,5.621758172033654993e-02,5.547189712524414062e-02
8.997226410115482409e+00,-3.831166748333741934e-02,-3.672774881124496460e-02
1.643381634157394799e+01,2.000270370995056377e-02,1.961754262447357178e-02
2.421081355862734696e+01,-1.304256428447106257e-02,-1.314790546894073486e-02
5.456990639928210207e+00,3.853596119723656094e-02,3.835679590702056885e-02
7.153790032739859583e+00,2.211475339368718096e-02,2.150484919548034668e-02
2.201649582533080007e+01,1.591319540625129800e-02,1.493969559669494629e-02
4.357213255698436427e+00,-4.858551576962964053e-02,-4.905932024121284485e-02
1.501457981240124084e+01,-1.087918568928595599e-02,-9.701032191514968872e-03
1.749693447966273041e+01,1.213409377035958719e-02,1.088956743478775024e-02
1.794208246851763988e+01,2.275167626867249764e-03,1.290768384933471680e-03
1.205041791014385133e+01,2.266851277755482438e-02,2.174858003854751587e-02
7.122367822511866953e-01,3.299996612049700961e-01,3.281640112400054932e-01
1.462180217517632208e+01,-1.956849244281474651e-02,-1.824985072016716003e-02
1.620862382956499559e+01,1.754329271777893551e-02,1.744268834590911865e-02
2.496494662209919113e+01,-1.264788549374774515e-02,-1.190809160470962524e-02
2.247211788451170733e+01,1.285533191677133355e-02,1.181817799806594849e-02
8.028374904960680070e+00,-2.358615903820792531e-02,-2.314005792140960693e-02
2.591284998660199435e+01,2.542464146947206387e-04,4.741400480270385742e-04
2.327338426445054154e+01,8.772683499145388899e-05,-7.203519344329833984e-04
1.057357399417815635e+01,1.518310319787979576e-02,1.584348082542419434e-02
4.215813306297465424e+00,-6.040389296508750366e-02,-6.102357804775238037e-02
1.721413458086079018e+01,1.702127461258552341e-02,1.585621386766433716e-02
2.298534733048560241e+01,5.254883474791394692e-03,4.361286759376525879e-03
9.060070832821467413e-01,2.750616181700463736e-01,2.754424810409545898e-01
8.190722995013647534e+00,-2.958907688439783509e-02,-2.886123955249786377e-02
4.561457627055394148e+00,-3.059801650966424702e-02,-3.089376538991928101e-02
1.371579509197751001e+01,-2.275101035857971660e-02,-2.214973419904708862e-02
1.398288388604045362e+00,1.531483395680858506e-01,1.556515097618103027e-01
1.267886212970372384e+01,3.928645978009142128e-03,3.261819481849670410e-03
2.775628636472761812e+00,-7.781274884509185863e-02,-7.957035303115844727e-02
6.268731090193043087e+00,5.550329710057658877e-02,5.473331362009048462e-02
1.669566809972389265e+01,2.097787897701036339e-02,2.028331905603408813e-02
5.237035163832255424e-01,3.913067102798780672e-01,3.873694837093353271e-01
2.325767315896154130e+01,3.721596402545572155e-04,-4.407241940498352051e-04
4.189628130482470958e+00,-6.250256985096808160e-02,-6.315156817436218262e-02
1.834533417606855465e+01,-6.856683758974788101e-03,-7.321573793888092041e-03
7.169501138228857151e+00,2.125017679401130372e-02,2.064840495586395264e-02
2.506968732535916899e+01,-1.172868278200396401e-02,-1.095854490995407104e-02
1.489936503881526342e+01,-1.372221763822362335e-02,-1.248166710138320923e-02
2.389135441368441448e+01,-9.857690889599091122e-03,-1.032605022192001343e-02
