# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,2.100000000000000000e+01
6.284442295598705562e-03,6.999953923506860853e+00,1.764638598259178437e+01
1.256888449119741152e-02,6.999815695122223680e+00,1.581750152629721562e+01
1.885332668679612009e-02,6.999585318121607891e+00,1.480235147400460072e+01
2.513776888239482518e-02,6.999262797964107996e+00,1.422167037971286518e+01
3.142221107799353375e-02,6.998848142292245278e+00,1.387314447841822229e+01
3.770665327359223884e-02,6.998341360931742194e+00,1.364884982714473693e+01
4.399109546919094393e-02,6.997742465891256813e+00,1.349121207123240040e+01
5.027553766478964903e-02,6.997051471362031094e+00,1.336951445611335565e+01
5.655997986038835412e-02,6.996268393717505418e+00,1.326736670561443709e+01
6.284442205598705922e-02,6.995393251512843413e+00,1.317602065711198556e+01
6.912886425158576431e-02,6.994426065484416810e+00,1.309080467982861862e+01
7.541330644718446941e-02,6.993366858549217469e+00,1.300922171769332714e+01
8.169774864278317450e-02,6.992215655804209007e+00,1.292993474455937708e+01
8.798219083838187959e-02,6.990972484525627806e+00,1.285222558385716951e+01
9.426663303398058469e-02,6.989637374168196970e+00,1.277570623080702461e+01
1.005510752295792898e-01,6.988210356364314535e+00,1.270016486482055917e+01
1.068355174251779949e-01,6.986691464923146633e+00,1.262548370849262547e+01
1.131199596207767000e-01,6.985080735829680698e+00,1.255159521108617859e+01
1.194044018163754051e-01,6.983378207243709390e+00,1.247845867511760076e+01
1.256888440119741379e-01,6.981583919498754121e+00,1.240604778773151651e+01
1.319732862075728430e-01,6.979697915100925520e+00,1.233434396892914364e+01
1.382577284031715481e-01,6.977720238727727953e+00,1.226333282263783353e+01
1.445421705987702532e-01,6.975650937226797410e+00,1.219300224291067636e+01
1.508266127943689583e-01,6.973490059614578129e+00,1.212334140301620700e+01
1.571110549899676634e-01,6.971237657074946803e+00,1.205434021548914458e+01
1.633954971855663685e-01,6.968893782957758631e+00,1.198598904341059423e+01
1.696799393811650736e-01,6.966458492777354294e+00,1.191827854570774292e+01
1.759643815767637787e-01,6.963931844210985211e+00,1.185119959395125377e+01
1.822488237723624838e-01,6.961313897097190839e+00,1.178474322729918278e+01
1.885332659679611889e-01,6.958604713434112909e+00,1.171890062779761621e+01
1.948177081635598940e-01,6.955804357377740388e+00,1.165366310654822790e+01
2.011021503591585990e-01,6.952912895240110913e+00,1.158902209568047326e+01
2.073865925547573041e-01,6.949930395487427859e+00,1.152496914342835588e+01
2.136710347503560092e-01,6.946856928738141868e+00,1.146149591087100461e+01
2.199554769459547143e-01,6.943692567760954226e+00,1.139859416956872273e+01
2.262399191415534194e-01,6.940437387472758957e+00,1.133625579968431651e+01
2.325243613371521245e-01,6.937091464936543161e+00,1.127447278837107980e+01
2.388088035327508296e-01,6.933654879359204770e+00,1.121323722831045266e+01
2.450932457283495347e-01,6.930127712089322323e+00,1.115254131633697909e+01
2.513776879239482676e-01,6.926510046614863469e+00,1.109237735211727838e+01
2.576621301195469727e-01,6.922801968560824193e+00,1.103273773686502501e+01
2.639465723151456777e-01,6.919003565686824508e+00,1.097361497208230752e+01
2.702310145107443828e-01,6.915114927884627782e+00,1.091500165832219160e+01
2.765154567063430879e-01,6.911136147175608535e+00,1.085689049396958694e+01
2.827998989019417930e-01,6.907067317708159848e+00,1.079927427403874951e+01
2.890843410975404981e-01,6.902908535755036823e+00,1.074214588898651712e+01
2.953687832931392032e-01,6.898659899710646748e+00,1.068549832354067597e+01
3.016532254887379083e-01,6.894321510088269100e+00,1.062932465554303008e+01
3.079376676843366134e-01,6.889893469517232916e+00,1.057361805480691075e+01
3.142221098799353185e-01,6.885375882740015108e+00,1.051837178198888623e+01
3.205065520755340236e-01,6.880768856609289941e+00,1.046357918747440330e+01
3.267909942711327287e-01,6.876072500084924322e+00,1.040923371027721522e+01
3.330754364667314338e-01,6.871286924230901150e+00,1.035532887695246274e+01
3.393598786623301389e-01,6.866412242212190264e+00,1.030185830052312923e+01
3.456443208579288440e-01,6.861448569291562549e+00,1.024881567941977956e+01
3.519287630535275491e-01,6.856396022826336534e+00,1.019619479643329640e+01
3.582132052491262542e-01,6.851254722265084141e+00,1.014398951768073331e+01
3.644976474447249593e-01,6.846024789144247613e+00,1.009219379158369989e+01
3.707820896403236643e-01,6.840706347084735128e+00,1.004080164785949059e+01
3.770665318359223694e-01,6.835299521788418708e+00,9.989807196524626676e+00
3.833509740315210745e-01,6.829804441034608153e+00,9.939204626910660423e+00
3.896354162271197796e-01,6.824221234676445036e+00,9.888988206692109983e+00
3.959198584227184847e-01,6.818550034637249624e+00,9.839152280926393601e+00
4.022043006183171898e-01,6.812790974906797636e+00,9.789691271105596115e+00
4.084887428139158949e-01,6.806944191537555255e+00,9.740599674219895476e+00
4.147731850095146000e-01,6.801009822640839531e+00,9.691872061832519591e+00
4.210576272051133051e-01,6.794988008382936151e+00,9.643503079166132252e+00
4.273420694007120102e-01,6.788878890981149716e+00,9.595487444200417215e+00
4.336265115963107153e-01,6.782682614699797163e+00,9.547819946780816025e+00
4.399109537919094204e-01,6.776399325846147903e+00,9.500495447738167343e+00
4.461953959875081255e-01,6.770029172766307113e+00,9.453508878019269090e+00
4.524798381831068306e-01,6.763572305841032417e+00,9.406855237828025906e+00
4.587642803787055357e-01,6.757028877481509710e+00,9.360529595777268952e+00
4.650487225743042408e-01,6.750399042125055260e+00,9.314527088050898129e+00
4.713331647699029459e-01,6.743682956230772518e+00,9.268842917576405327e+00
4.776176069655016510e-01,6.736880778275146753e+00,9.223472353207503360e+00
4.839020491611003560e-01,6.729992668747586393e+00,9.178410728916826855e+00
4.901864913566990611e-01,6.723018790145905754e+00,9.133653442998554084e+00
4.964709335522977662e-01,6.715959306971752696e+00,9.089195957280802318e+00
5.027553757478965268e-01,6.708814385725977658e+00,9.045033796347686561e+00
5.090398179434951764e-01,6.701584194903955627e+00,9.001162546770931527e+00
5.153242601390939370e-01,6.694268904990834379e+00,8.957577856350939172e+00
5.216087023346925866e-01,6.686868688456750753e+00,8.914275433367098600e+00
5.278931445302913472e-01,6.679383719751967874e+00,8.871251045837347249e+00
5.341775867258899968e-01,6.671814175301978622e+00,8.828500520786800365e+00
5.404620289214887574e-01,6.664160233502529174e+00,8.786019743525297798e+00
5.467464711170874070e-01,6.656422074714621218e+00,8.743804656933873432e+00
5.530309133126861676e-01,6.648599881259422695e+00,8.701851260759889684e+00
5.593153555082848172e-01,6.640693837413145673e+00,8.660155610920861946e+00
5.655997977038835778e-01,6.632704129401871818e+00,8.618713818816781114e+00
5.718842398994822274e-01,6.624630945396305925e+00,8.577522050650836505e+00
5.781686820950809880e-01,6.616474475506493924e+00,8.536576526758471672e+00
5.844531242906796376e-01,6.608234911776472487e+00,8.495873520944646984e+00
5.907375664862783982e-01,6.599912448178876900e+00,8.455409359829168636e+00
5.970220086818770477e-01,6.591507280609482322e+00,8.415180422200073451e+00
6.033064508774758083e-01,6.583019606881705954e+00,8.375183138374886482e+00
6.095908930730744579e-01,6.574449626721038165e+00,8.335413989569650184e+00
6.158753352686732185e-01,6.565797541759440747e+00,8.295869507275716259e+00
6.221597774642718681e-01,6.557063555529669685e+00,8.256546272644119000e+00
6.284442196598706287e-01,6.548247873459569490e+00,8.217440915877439522e+00
6.347286618554692783e-01,6.539350702866296494e+00,8.178550115629125372e+00
6.410131040510680389e-01,6.530372252950486178e+00,8.139870598410100300e+00
6.472975462466666885e-01,6.521312734790392973e+00,8.101399138002653544e+00
6.535819884422654491e-01,6.512172361335955451e+00,8.063132554881409675e+00
6.598664306378640987e-01,6.502951347402809112e+00,8.025067715641405641e+00
6.661508728334628593e-01,6.493649909666263653e+00,7.987201532433111595e+00
6.724353150290615089e-01,6.484268266655214497e+00,7.949530962404313783e+00
6.787197572246602695e-01,6.474806638746009035e+00,7.912053007148832862e+00
6.850041994202589191e-01,6.465265248156260469e+00,7.874764712161894664e+00
6.912886416158576797e-01,6.455644318938605686e+00,7.837663166302163198e+00
6.975730838114563293e-01,6.445944076974425840e+00,7.800745501260297310e+00
7.038575260070550899e-01,6.436164749967494991e+00,7.764008891033961746e+00
7.101419682026537394e-01,6.426306567437600314e+00,7.727450551409226875e+00
7.164264103982525000e-01,6.416369760714098369e+00,7.691067739448255836e+00
7.227108525938511496e-01,6.406354562929420737e+00,7.654857752983216912e+00
7.289952947894499102e-01,6.396261209012542359e+00,7.618817930116296822e+00
7.352797369850485598e-01,6.386089935682385033e+00,7.582945648725879728e+00
7.415641791806473204e-01,6.375840981441178279e+00,7.547238325978569584e+00
7.478486213762459700e-01,6.365514586567773136e+00,7.511693417847254750e+00
7.541330635718447306e-01,6.355110993110904438e+00,7.476308418634917352e+00
7.604175057674433802e-01,6.344630444882398024e+00,7.441080860504265537e+00
7.667019479630421408e-01,6.334073187450345088e+00,7.406008313013042965e+00
7.729863901586407904e-01,6.323439468132209917e+00,7.371088382654934712e+00
7.792708323542395510e-01,6.312729535987896767e+00,7.336318712406066922e+00
7.855552745498382006e-01,6.301943641812781216e+00,7.301696981276944776e+00
7.918397167454369612e-01,6.291082038130666909e+00,7.267220903869846538e+00
