# Time, Target, Prediction
1.822488236731958011e+01,-7.891516545540771740e-03,-8.470343425869941711e-03
2.206362914179779011e+01,2.747291693863609247e-02,2.708178572356700897e-02
5.153242600474271740e+00,1.169574909295324414e-02,1.205384545028209686e-02
1.071497394357912825e+01,3.344588022701962260e-02,3.341626748442649841e-02
1.697846799852583644e+01,3.423661388984923504e-02,3.374874591827392578e-02
2.911791550710733922e+00,-2.157004667197839065e-01,-2.151587158441543579e-01
1.605151277467502524e+01,2.646341930882040172e-02,2.613704837858676910e-02
1.052644067771116632e+01,2.267106513542028676e-02,2.267421595752239227e-02
1.578442398136208169e+01,1.676408099423414358e-02,1.649182662367820740e-02
1.780591955427966866e+01,9.000106406146669152e-03,8.419578894972801208e-03
2.508539843159816929e+00,-1.539075040346192247e-01,-1.531984955072402954e-01
1.239606223090178183e+01,2.175565509270769790e-02,2.136864326894283295e-02
1.595724614174104872e+01,2.334056831704583654e-02,2.303589135408401489e-02
5.074687073029288342e+00,2.302483092577321973e-04,5.934513173997402191e-04
2.309008803374558028e+01,5.543534685756201091e-03,5.144608672708272934e-03
2.457740602003727304e+01,-2.486481288614277377e-02,-2.525370009243488312e-02
1.227037338698980840e+01,2.837699735629882480e-02,2.801413647830486298e-02
2.327338426445054154e+01,-2.334882703101538292e-04,-6.363862194120883942e-04
1.794731950368063522e+01,3.251450139178089106e-03,2.663870807737112045e-03
2.213694763407977462e+01,2.696554008014938678e-02,2.657255344092845917e-02
5.483175815743204673e+00,5.211051299284223670e-02,5.241761729121208191e-02
2.262399190423867523e+01,1.880876538987154289e-02,1.840920560061931610e-02
1.818298608601558897e+01,-6.257190991111803019e-03,-6.839173380285501480e-03
7.939345307189697998e+00,-4.110424227289281168e-02,-4.115358367562294006e-02
2.533677611867211610e+01,-1.473803683397690786e-02,-1.510752923786640167e-02
1.759643814775970938e+01,1.715664901085719660e-02,1.659799925982952118e-02
1.810443055857060202e+01,-3.133233112186114590e-03,-3.719469998031854630e-03
2.363473969069746516e+01,-1.106981179789472136e-02,-1.147367246448993683e-02
2.144565899256391717e+01,2.330908910046887786e-02,2.293199114501476288e-02
1.154242549933295692e+01,5.199459436453167382e-02,5.177233740687370300e-02
1.041646293928818956e+01,1.558295091517491321e-02,1.559789292514324188e-02
2.068105185876607166e+01,1.186792882777914235e-03,7.969117723405361176e-04
2.407988767955237464e+01,-2.102653197324690082e-02,-2.140088565647602081e-02
1.131199595291100479e+00,3.339491613756308541e-01,3.349877297878265381e-01
2.547293903291008732e+01,-1.137607590185654542e-02,-1.172921247780323029e-02
1.466369845648031323e+01,-3.277993989519863149e-02,-3.303593024611473083e-02
2.208457728244978568e+01,2.734915395773005950e-02,2.695751003921031952e-02
1.870145256715248294e+01,-2.367284796161806329e-02,-2.419984526932239532e-02
2.046633341708311704e+01,-6.446694398754893029e-03,-6.843301001936197281e-03
2.477117632106823208e+01,-2.399262835678700467e-02,-2.439703233540058136e-02
1.134865519830199609e+01,5.231796349271634894e-02,5.212625488638877869e-02
1.163145509710393810e+01,5.089648817778809342e-02,5.066249147057533264e-02
6.137805211118069870e+00,8.651177332879278481e-02,8.668737113475799561e-02
2.454598380905927613e+01,-2.488129766245798791e-02,-2.526739425957202911e-02
7.478486212845793624e+00,-6.849593351632048740e-04,-7.498883642256259918e-04
1.109727751047804922e+01,4.839488471006740677e-02,4.826260730624198914e-02
1.022792967342022763e+01,2.428550288813555343e-03,2.455455716699361801e-03
1.538640930897416403e+01,-1.221852583208235012e-03,-1.468940172344446182e-03
2.522679838024913934e+01,-1.719616014973905649e-02,-1.758071966469287872e-02
2.436792461351731731e+01,-2.430640074796940400e-02,-2.467966265976428986e-02
2.160277004745388396e+01,2.578014575668706801e-02,2.539978735148906708e-02
1.051596660738516853e+01,2.201885810284258740e-02,2.202336303889751434e-02
2.352476195227448841e+01,-7.936399578110731393e-03,-8.342700079083442688e-03
1.758072704227071270e+01,1.773856339207420876e-02,1.718184910714626312e-02
1.054215178320016300e+01,2.363966832247128488e-02,2.364070527255535126e-02
4.844257525857336155e+00,-3.645121632672591871e-02,-3.608607128262519836e-02
2.238308828674072615e+01,2.380883916800365444e-02,2.341064624488353729e-02
2.599664254920998019e+01,3.143404672008338115e-03,2.749023493379354477e-03
8.693478370661543053e+00,-7.347306384067799068e-02,-7.347267866134643555e-02
1.259506956709573977e+01,1.057826307601181758e-02,1.017311774194240570e-02
1.929323754057136142e+01,-3.168427711843547351e-02,-3.217292204499244690e-02
1.164716620259293656e+01,5.064281928301812147e-02,5.040682479739189148e-02
2.446219124645129739e+01,-2.475226967265473782e-02,-2.513139136135578156e-02
2.317388059635356257e+01,2.907695701464408766e-03,2.507207449525594711e-03
2.472928003976424094e+01,-2.429193339016707046e-02,-2.469353564083576202e-02
1.841341563318754027e+01,-1.485271062738814304e-02,-1.541234739124774933e-02
2.487591702507821356e+00,-1.494758022456459112e-01,-1.487566679716110229e-01
1.895806729088942877e+00,2.068723110768610346e-02,2.170543372631072998e-02
6.326338476986030912e+00,8.463686192010025366e-02,8.475504815578460693e-02
2.460882823101526640e+01,-2.481308920396917833e-02,-2.520482428371906281e-02
6.745301290025944141e+00,6.460880591574394427e-02,6.462734937667846680e-02
2.105288135608899935e+00,-4.882255778749024916e-02,-4.790468141436576843e-02
2.188033291109282885e+01,2.781599142748189535e-02,2.742948941886425018e-02
7.881737920396711061e+00,-3.664537320543150706e-02,-3.669920936226844788e-02
2.117857019925097006e+01,1.717039574649204328e-02,1.679622940719127655e-02
2.325767315896154130e+01,2.616238180940519734e-04,-1.409226097166538239e-04
2.075960738621105861e+01,3.946629048032630933e-03,3.560093697160482407e-03
1.824059347280857679e+01,-8.497564170280214393e-03,-9.075099602341651917e-03
