# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,2.100000000000000000e+01
6.284442295598705562e-03,6.999953923506860853e+00,2.089485608062431155e+01
1.256888449119741152e-02,6.999815695122223680e+00,2.079057324937797446e+01
1.885332668679612009e-02,6.999585318121607891e+00,2.068713913287639627e+01
2.513776888239482518e-02,6.999262797964107996e+00,2.058454152008685156e+01
3.142221107799353375e-02,6.998848142292245278e+00,2.048276836034605708e+01
3.770665327359223884e-02,6.998341360931742194e+00,2.038180776140251282e+01
4.399109546919094393e-02,6.997742465891256813e+00,2.028164798748281328e+01
5.027553766478964903e-02,6.997051471362031094e+00,2.018227745738202117e+01
5.655997986038835412e-02,6.996268393717505418e+00,2.008368474257762770e+01
6.284442205598705922e-02,6.995393251512843413e+00,1.998585856536679017e+01
6.912886425158576431e-02,6.994426065484416810e+00,1.988878779702659472e+01
7.541330644718446941e-02,6.993366858549217469e+00,1.979246145599720919e+01
8.169774864278317450e-02,6.992215655804209007e+00,1.969686870608717300e+01
8.798219083838187959e-02,6.990972484525627806e+00,1.960199885470120407e+01
9.426663303398058469e-02,6.989637374168196970e+00,1.950784135108963468e+01
1.005510752295792898e-01,6.988210356364314535e+00,1.941438578461962194e+01
1.068355174251779949e-01,6.986691464923146633e+00,1.932162188306763895e+01
1.131199596207767000e-01,6.985080735829680698e+00,1.922953951093303360e+01
1.194044018163754051e-01,6.983378207243709390e+00,1.913812866777244537e+01
1.256888440119741379e-01,6.981583919498754121e+00,1.904737948655470703e+01
1.319732862075728430e-01,6.979697915100925520e+00,1.895728223203616380e+01
1.382577284031715481e-01,6.977720238727727953e+00,1.886782729915584866e+01
1.445421705987702532e-01,6.975650937226797410e+00,1.877900521145064516e+01
1.508266127943689583e-01,6.973490059614578129e+00,1.869080661948985878e+01
1.571110549899676634e-01,6.971237657074946803e+00,1.860322229932905813e+01
1.633954971855663685e-01,6.968893782957758631e+00,1.851624315098318263e+01
1.696799393811650736e-01,6.966458492777354294e+00,1.842986019691811705e+01
1.759643815767637787e-01,6.963931844210985211e+00,1.834406458056123412e+01
1.822488237723624838e-01,6.961313897097190839e+00,1.825884756482993154e+01
