# Time, Strain, Stress
1.000000000000000056e-01,6.988339165277969833e+00,2.096501749583390861e+01
1.062644381948185529e-01,6.986833283584219956e+00,1.762073506257674538e+01
1.125288763896371003e-01,6.985236144624649590e+00,1.579220284869939661e+01
1.187933145844556615e-01,6.983547785996680801e+00,1.477423849688677571e+01
1.250577527792741950e-01,6.981768247444020581e+00,1.418992401335782816e+01
1.313221909740927562e-01,6.979897570855547073e+00,1.383779522276508267e+01
1.375866291689112897e-01,6.977935800264140731e+00,1.361016618660320354e+01
1.438510673637298509e-01,6.975882981845439090e+00,1.344947448889661779e+01
1.501155055585484122e-01,6.973739163916557793e+00,1.332494826351330452e+01
1.563799437533669456e-01,6.971504396934722791e+00,1.322013497220819822e+01
1.626443819481855069e-01,6.969178733495864364e+00,1.312623567075813824e+01
1.689088201430040681e-01,6.966762228333140961e+00,1.303854224559151476e+01
1.751732583378226016e-01,6.964254938315406207e+00,1.295453315453785592e+01
1.814376965326411351e-01,6.961656922445611961e+00,1.287285562007041051e+01
1.877021347274597241e-01,6.958968241859157189e+00,1.279278162181188705e+01
1.939665729222782575e-01,6.956188959822178219e+00,1.271391712962292075e+01
2.002310111170967910e-01,6.953319141729771502e+00,1.263604669104807243e+01
2.064954493119153522e-01,6.950358855104162181e+00,1.255905036420920950e+01
2.127598875067339135e-01,6.947308169592811389e+00,1.248285931856630171e+01
2.190243257015524470e-01,6.944167156966466692e+00,1.240743210324391654e+01
2.252887638963710082e-01,6.940935891117153922e+00,1.233274196195707617e+01
2.315532020911895417e-01,6.937614448056097949e+00,1.225877005223409633e+01
2.378176402860081029e-01,6.934202905911604375e+00,1.218550182043130015e+01
2.440820784808266641e-01,6.930701344926858631e+00,1.211292506349347065e+01
2.503465166756452254e-01,6.927109847457692204e+00,1.204102889227043782e+01
2.566109548704637588e-01,6.923428497970260942e+00,1.196980317671463112e+01
2.628753930652822923e-01,6.919657383038689602e+00,1.189923824864737512e+01
2.691398312601008813e-01,6.915796591342644462e+00,1.182932474220163854e+01
2.754042694549194148e-01,6.911846213664841976e+00,1.176005350785974635e+01
2.816687076497379483e-01,6.907806342888518358e+00,1.169141556583530139e+01
2.879331458445565373e-01,6.903677073994820113e+00,1.162340208049239720e+01
2.941975840393750152e-01,6.899458504060142161e+00,1.155600434601726612e+01
3.004620222341936042e-01,6.895150732253415349e+00,1.148921377811230293e+01
3.067264604290121932e-01,6.890753859833325556e+00,1.142302190891699354e+01
3.129908986238306712e-01,6.886267990145476858e+00,1.135742038366147177e+01
3.192553368186492602e-01,6.881693228619500502e+00,1.129240095825394441e+01
3.255197750134677936e-01,6.877029682766102603e+00,1.122795549737494447e+01
3.317842132082863271e-01,6.872277462174052332e+00,1.116407597285010311e+01
3.380486514031049161e-01,6.867436678507108816e+00,1.110075446217928175e+01
3.443130895979234496e-01,6.862507445500903636e+00,1.103798314715666962e+01
3.505775277927419831e-01,6.857489878959753149e+00,1.097575431254685263e+01
