# Time, Target, Prediction
3.748029677302184837e+00,-9.131187432198273335e-02,-9.572751820087432861e-02
1.916898836688051588e+01,-1.790119631495178110e-02,-1.640909537672996521e-02
1.013775663601710697e+01,-1.542913008609719198e-03,-9.419396519660949707e-05
2.213937614425697831e+01,1.554601582873638491e-02,1.381235942244529724e-02
5.731768438994725656e+00,5.036888126151118500e-02,4.875295236706733704e-02
1.682504440898591014e+01,2.073197816884971359e-02,1.839016005396842957e-02
1.671019637541423464e+01,2.100630481728259918e-02,1.875598356127738953e-02
1.584883612362668615e+01,1.091019168443035925e-02,1.081654801964759827e-02
2.559003751656953085e+01,-4.950385115163250319e-03,-3.010708838701248169e-03
1.570266589908092136e+01,7.451086419337032106e-03,7.972728461027145386e-03
8.246251863868617749e-01,3.081133605091658789e-01,3.100056052207946777e-01
7.261335431562922160e+00,1.615902105053424256e-02,1.378364488482475281e-02
1.515452755703429766e+01,-7.224831802143332794e-03,-4.496429115533828735e-03
2.496359369708767773e+01,-1.267965289363501454e-02,-1.001218333840370178e-02
2.060458878652643477e+01,-1.112245743485886559e-03,6.071142852306365967e-04
6.441738101074161449e+00,5.247763913257331991e-02,4.973128810524940491e-02
1.236685256034004077e+01,1.400154594202202007e-02,1.051099970936775208e-02
1.109830382588928366e+01,2.820804318988840570e-02,2.653031051158905029e-02
1.334306084569926654e+01,-1.597159481797923164e-02,-1.658265665173530579e-02
2.235341111591327845e+01,1.408111011383498049e-02,1.224794611334800720e-02
1.735752165554548654e+01,1.475969339964521010e-02,1.224355772137641907e-02
1.236163219517769107e+01,1.416136576260822351e-02,1.065773889422416687e-02
1.480476309115692857e+01,-1.592159437081363399e-02,-1.250195875763893127e-02
1.429316730524674561e+01,-2.394879261577551738e-02,-2.119395509362220764e-02
9.960264220497247578e+00,-8.938666709108556221e-03,-6.814349442720413208e-03
3.231213526229654853e+00,-1.001287860592865175e-01,-1.064697951078414917e-01
1.264875227910687450e+01,4.931548535025396390e-03,2.320986241102218628e-03
1.533724033771650497e+01,-2.244593722147822032e-03,-1.660026609897613525e-04
7.929542172343566619e+00,-1.938892610567836960e-02,-2.026813849806785583e-02
4.739899058148455246e+00,-1.472948179357903842e-02,-1.544542983174324036e-02
1.300373711014659328e+01,-6.579571873832381658e-03,-8.075986057519912720e-03
1.367194385092723863e+01,-2.221857192754818355e-02,-2.180242910981178284e-02
2.494271223643827895e+01,-1.284011973492243941e-02,-1.018583402037620544e-02
1.865217221580798679e+01,-1.262717555749172035e-02,-1.331287249922752380e-02
2.549085057848490266e+01,-6.462242728447665889e-03,-4.299852997064590454e-03
4.551965912303898243e+00,-3.149663512740367988e-02,-3.264515474438667297e-02
7.908660711694172285e+00,-1.844357795539322206e-02,-1.939445734024047852e-02
2.227510563847804903e+01,1.472720000597819295e-02,1.292971894145011902e-02
2.557959678624483146e+01,-5.112649715993187842e-03,-3.148723393678665161e-03
3.393044846262467384e+00,-1.009387257505312135e-01,-1.067917346954345703e-01
1.712087263986156183e+00,8.533233251778685191e-02,9.013219177722930908e-02
2.213415577909463394e+01,1.556958470603452167e-02,1.383852586150169373e-02
1.593758233138661495e+01,1.282392567996560630e-02,1.238040253520011902e-02
1.015341773150415250e+01,-8.945064490150927842e-04,4.936009645462036133e-04
6.165058747469675637e+00,5.640134300827628205e-02,5.391800031065940857e-02
5.173189366623405228e+00,2.066945574027646837e-02,2.012446150183677673e-02
6.728858185003345760e+00,4.302382837512022662e-02,4.025202617049217224e-02
1.276360031267854822e+01,1.133074817691244332e-03,-1.090649515390396118e-03
2.040970269214130273e+00,2.048918025403746387e-02,2.041243389248847961e-02
6.749739645652740982e+00,4.215898790937597923e-02,3.939315304160118103e-02
2.850126869378192929e+00,-8.358060836830254192e-02,-9.019410610198974609e-02
2.148683049896338204e+01,1.370165417223917839e-02,1.266105100512504578e-02
1.430882840073379292e+01,-2.381761316431601702e-02,-2.101562544703483582e-02
1.170386618472174334e+01,2.893599924533547807e-02,2.553538978099822998e-02
1.947176954629674839e+01,-1.784955170480672856e-02,-1.528917625546455383e-02
2.580929285338818246e+01,-1.434491214631186933e-03,-1.016631722450256348e-05
8.402862818739081918e-01,3.033571785432278567e-01,3.060036301612854004e-01
2.432148878211877729e+01,-1.372677570018976043e-02,-1.261843368411064148e-02
2.018695957353853387e+01,-9.336834062815421720e-03,-6.439570337533950806e-03
2.103265872983903861e+01,7.240491720421592114e-03,7.432665675878524780e-03
3.711487121165743641e+00,-9.295041597647603349e-02,-9.752744436264038086e-02
1.983546252428293633e+00,3.103152031491376861e-02,3.176293894648551941e-02
2.300073639604453035e+01,4.994345530465356398e-03,2.897273749113082886e-03
3.163348779119120824e+00,-9.871864712946817888e-02,-1.052130758762359619e-01
7.318759448348759022e+00,1.291625595523992510e-02,1.061471551656723022e-02
1.582273429781494123e+01,1.031870158710107045e-02,1.033193990588188171e-02
1.268529483524331525e+01,3.722241882093207336e-03,1.236062496900558472e-03
