# Time, Strain, Stress
1.000000000000000021e-03,6.999998833333392234e+00,2.099999650000017581e+01
7.284242155610708147e-03,6.999938096616484806e+00,1.764642038864213447e+01
1.356848431122141541e-02,6.999785214249565790e+00,1.581750909037207364e+01
1.985272646683212613e-02,6.999540189855163241e+00,1.480231397585489006e+01
2.613696862244283339e-02,6.999203029239097873e+00,1.422158683164459703e+01
3.242121077805354412e-02,6.998773740390288545e+00,1.387301903806760528e+01
3.870545293366425138e-02,6.998252333480552423e+00,1.364868723796038275e+01
4.498969508927495864e-02,6.997638820864310993e+00,1.349101623748581957e+01
5.127393724488566590e-02,6.996933217078233902e+00,1.336928822002778361e+01
5.755817940049637316e-02,6.996135538840836610e+00,1.326711201506671500e+01
6.384242155610708735e-02,6.995245805052006105e+00,1.317573880796314967e+01
7.012666371171778767e-02,6.994264036792469774e+00,1.309049652673727770e+01
7.641090586732850187e-02,6.993190257323194992e+00,1.300888783006954341e+01
8.269514802293920219e-02,6.992024492084745191e+00,1.292957551295978824e+01
8.897939017854991639e-02,6.990766768696548006e+00,1.285184128911793877e+01
9.526363233416061671e-02,6.989417116956121667e+00,1.277529708752522097e+01
1.015478744897713309e-01,6.987975568838242779e+00,1.269973104807187703e+01
1.078321166453820451e-01,6.986442158494027943e+00,1.262502536996363922e+01
1.141163588009927454e-01,6.984816922249987847e+00,1.255111248868349172e+01
1.204006009566034596e-01,6.983099898606988987e+00,1.247795169862985887e+01
1.266848431122141738e-01,6.981291128239176302e+00,1.240551668213646330e+01
1.329690852678248603e-01,6.979390653992822990e+00,1.233378885631139354e+01
1.392533274234355745e-01,6.977398520885119915e+00,1.226275382329468755e+01
1.455375695790462887e-01,6.975314776102909065e+00,1.219239947598685170e+01
1.518218117346570029e-01,6.973139469001352175e+00,1.212271498686710380e+01
1.581060538902677171e-01,6.970872651102541617e+00,1.205369026788857312e+01
1.643902960458784035e-01,6.968514376094038454e+00,1.198531568166969485e+01
1.706745382014891177e-01,6.966064699827367868e+00,1.191758188674354990e+01
1.769587803570998319e-01,6.963523680316439979e+00,1.185047975432665979e+01
1.832430225127105461e-01,6.960891377735911156e+00,1.178400032324683622e+01
1.895272646683212325e-01,6.958167854419496479e+00,1.171813477523477154e+01
1.958115068239319467e-01,6.955353174858202259e+00,1.165287442108642146e+01
2.020957489795426609e-01,6.952447405698509719e+00,1.158821069263242975e+01
2.083799911351533751e-01,6.949450615740498272e+00,1.152413513781323040e+01
2.146642332907640893e-01,6.946362875935907510e+00,1.146063941741874004e+01
