# Time, Target, Prediction
3.677114994365597855e+00,-9.422017591080664167e-02,-3.173768520355224609e-02
1.914682443409395773e+01,-1.778123110036899240e-02,-7.493495941162109375e-04
1.008704199308851912e+01,-3.645314818041445974e-03,1.722574234008789062e-03
2.212660258954603520e+01,1.557663551172783906e-02,-7.745027542114257812e-04
5.667125010308988742e+00,4.805990928923067201e-02,6.127953529357910156e-03
1.679547049420295224e+01,2.080536826102175746e-02,-6.805658340454101562e-04
1.668025938801675778e+01,2.097789829322070643e-02,-6.746053695678710938e-04
1.581617609162028337e+01,1.015123256449017471e-02,-6.191730499267578125e-04
2.558817264359493393e+01,-4.971122001150259269e-03,-7.807016372680664062e-04
1.566954377465603443e+01,6.611445177120759548e-03,-6.070137023925781250e-04
7.444686550806005609e-01,3.205249541681289838e-01,3.294538259506225586e-01
7.201527469970603335e+00,1.947657672185592118e-02,7.004976272583007812e-03
1.511967258604009601e+01,-8.142639597493145365e-03,-5.539655685424804688e-04
2.495974842803386196e+01,-1.268861263374725448e-02,-7.801055908203125000e-04
2.058696326142141331e+01,-1.470550874111267682e-03,-7.659196853637695312e-04
6.379339121278202462e+00,5.375782856529853770e-02,7.935285568237304688e-03
1.232318482679333016e+01,1.529952427939923476e-02,9.298324584960937500e-05
1.105062579028216163e+01,2.742520668963125546e-02,8.187294006347656250e-04
1.330247922937599903e+01,-1.495829738807371613e-02,-2.347230911254882812e-04
2.234131419652940309e+01,1.416524774956604525e-02,-7.750988006591796875e-04
1.732963107742986253e+01,1.521311243540269913e-02,-7.036924362182617188e-04
1.231794795833032019e+01,1.545586071623841241e-02,9.524822235107421875e-05
1.476880239901849912e+01,-1.667597425901688399e-02,-5.120038986206054688e-04
1.425558928964362337e+01,-2.418978971854512938e-02,-4.359483718872070312e-04
9.908988465346215690e+00,-1.104479822727427209e-02,1.934170722961425781e-03
3.158665016527714364e+00,-9.847038506475050412e-02,-4.204642772674560547e-02
1.260597572379581166e+01,6.333216377825739464e-03,-1.752376556396484375e-05
