# Time, Strain, Stress
1.000000000000000036e-10,3.616990942420367268e-09,5.425486413630550806e-12
1.000200139987997673e-03,3.607202135562311701e-02,5.408301458796693306e-05
2.000400179975995313e-03,7.193463093624381799e-02,1.078021354470640555e-04
3.000600219963992735e-03,1.075890986912438896e-01,1.611596538184883565e-04
4.000800259951990158e-03,1.430366803703840284e-01,2.141578371203078359e-04
5.001000299939988014e-03,1.782786212290811412e-01,2.667989345251009698e-04
6.001200339927985003e-03,2.133161561161486530e-01,3.190851771111266936e-04
7.001400379915982859e-03,2.481505095609944644e-01,3.710187780125155546e-04
8.001600419903980715e-03,2.827828958602718323e-01,4.226019325684896499e-04
9.001800459891977704e-03,3.172145191639968442e-01,4.738368184716153469e-04
1.000200049987997643e-02,3.514465735611271846e-01,5.247255959150967566e-04
1.100220053986797342e-02,3.854802431646102701e-01,5.752704077391127772e-04
1.200240057985597041e-02,4.193167021959015028e-01,6.254733795762074675e-04
1.300260061984396913e-02,4.529571150689580272e-01,6.753366199957340195e-04
1.400280065983196612e-02,4.864026364737067398e-01,7.248622206473631733e-04
1.500300069981996484e-02,5.196544114589936036e-01,7.740522564036586214e-04
1.600320073980796357e-02,5.527135755150179852e-01,8.229087855017256379e-04
1.700340077979596229e-02,5.855812546552465747e-01,8.714338496839377007e-04
1.800360081978395754e-02,6.182585654978267620e-01,9.196294743377483741e-04
1.900380085977195627e-02,6.507466153464790404e-01,9.674976686345913759e-04
2.000400089975995499e-02,6.830465022708931411e-01,1.015040425667876420e-03
2.100420093974795024e-02,7.151593151866193487e-01,1.062259722590083982e-03
2.200440097973594897e-02,7.470861339344589958e-01,1.109157520748967106e-03
2.300460101972394769e-02,7.788280293593580206e-01,1.155735765822861472e-03
2.400480105971194295e-02,8.103860633888066989e-01,1.201996387955111710e-03
2.500500109969994167e-02,8.417612891107496553e-01,1.247941301887620178e-03
2.600520113968794039e-02,8.729547508510044906e-01,1.293572407093518829e-03
2.700540117967593912e-02,9.039674842501967955e-01,1.338891587908972846e-03
2.800560121966393437e-02,9.348005163402098860e-01,1.383900713664122130e-03
2.900580125965193309e-02,9.654548656201561441e-01,1.428601638813158450e-03
3.000600129963993182e-02,9.959315421318675199e-01,1.472996203063556058e-03
3.100620133962792707e-02,1.026231547534915300e+00,1.517086231504442308e-03
3.200640137961592580e-02,1.056355875181151482e+00,1.560873534734134741e-03
3.300660141960392452e-02,1.086305510188784407e+00,1.604359908986829680e-03
3.400680145959192324e-02,1.116081429515985102e+00,1.647547136258458150e-03
3.500700149957992197e-02,1.145684602034026334e+00,1.690436984431715637e-03
3.600720153956791375e-02,1.175115988599966244e+00,1.733031207400258320e-03
3.700740157955591247e-02,1.204376542128861693e+00,1.775331545192087006e-03
3.800760161954391120e-02,1.233467207665532861e+00,1.817339724092103398e-03
3.900780165953190992e-02,1.262388922455867979e+00,1.859057456763866210e-03
4.000800169951990864e-02,1.291142616017676215e+00,1.900486442370531107e-03
4.100820173950790737e-02,1.319729210211090020e+00,1.941628366694992660e-03
4.200840177949589915e-02,1.348149619308522063e+00,1.982484902259224867e-03
4.300860181948389788e-02,1.376404750064171623e+00,2.023057708442827819e-03
4.400880185947189660e-02,1.404495501783091571e+00,2.063348431600787233e-03
4.500900189945989532e-02,1.432422766389815028e+00,2.103358705180443603e-03
4.600920193944789405e-02,1.460187428496537931e+00,2.143090149837687669e-03
4.700940197943589277e-02,1.487790365470872844e+00,2.182544373552370697e-03
4.800960201942388456e-02,1.515232447503161772e+00,2.221722971742946719e-03
4.900980205941188328e-02,1.542514537673361552e+00,2.260627527380348022e-03
5.001000209939988200e-02,1.569637492017497360e+00,2.299259611101091717e-03
5.101020213938788073e-02,1.596602159593690118e+00,2.337620781319629977e-03
