# Time, Target, Prediction
2.186985884094403332e+01,8.288337478141752923e-01,8.272380232810974121e-01
2.647635497024041840e+01,7.397427039558110984e-01,7.418181896209716797e-01
6.183891120993451729e+00,9.970022665896525194e-01,9.854100346565246582e-01
1.285796873260703954e+01,8.384698395223028067e-01,8.320522904396057129e-01
2.037416159841669483e+01,6.829625488000122813e-01,6.838281750679016113e-01
3.494149861322438433e+00,8.112741850620905915e-01,8.035928010940551758e-01
1.926181532981442857e+01,6.496262673174099112e-01,6.429080963134765625e-01
1.263172881356929267e+01,8.689800489542032214e-01,8.636419177055358887e-01
1.894130877784428435e+01,6.734391771201748700e-01,6.647927761077880859e-01
2.136710346530459148e+01,7.948276424866413947e-01,7.957623004913330078e-01
3.010247812269475798e+00,8.447351358194573612e-01,8.370550274848937988e-01
1.487527467736029863e+01,7.149777989345874607e-01,7.149984836578369141e-01
1.914869537029555602e+01,6.564350613692072622e-01,6.489462256431579590e-01
6.089624488061056162e+00,9.935105901911143178e-01,9.821246266365051270e-01
2.770810564055705072e+01,7.825319139558627457e-01,7.781484127044677734e-01
2.949288722407706942e+01,5.834051703759887131e-01,5.780392885208129883e-01
1.472444806466846678e+01,7.056788512084233300e-01,7.052487730979919434e-01
2.792806111739930230e+01,7.671914727977912074e-01,7.614399194717407227e-01
2.153678340458290208e+01,8.096899297449311472e-01,8.099112510681152344e-01
2.656433716097731690e+01,7.489841803140696586e-01,7.509598135948181152e-01
6.579810979309512753e+00,9.969338236923565022e-01,9.846335053443908691e-01
2.714879028515816728e+01,7.893893083243540554e-01,7.892134189605712891e-01
2.181958330338008878e+01,8.269093697580224278e-01,8.256152272224426270e-01
9.527214368995737814e+00,7.668629325788824946e-01,7.638025879859924316e-01
3.040413134242355753e+01,5.700393499676612574e-01,5.724546909332275391e-01
2.111572577748486879e+01,7.682639144064227210e-01,7.699064612388610840e-01
2.172531667044769321e+01,8.223378553542446401e-01,8.215864300727844238e-01
2.836168762888832262e+01,7.207937085854888570e-01,7.139598131179809570e-01
2.573479079117224444e+01,6.521481327729509170e-01,6.536720395088195801e-01
1.385091059949493619e+01,7.173012073030590185e-01,7.123783230781555176e-01
