# Time, Strain, Stress
1.000000000000000036e-10,3.701946829730785554e-09,5.552920244596178777e-12
1.000200139987997673e-03,3.700795238544987709e-02,5.548628251066522880e-05
2.000400179975995313e-03,7.397726818262001514e-02,1.108634201578308757e-04
3.000600219963992735e-03,1.109067729641643740e-01,1.661298054980042292e-04
4.000800259951990158e-03,1.477952884242962339e-01,2.212838265776317416e-04
5.001000299939988014e-03,1.846416361548595120e-01,2.763238725949427850e-04
6.001200339927985003e-03,2.214446377194416726e-01,3.312483340087515622e-04
7.001400379915982859e-03,2.582031147274658212e-01,3.860556026471332627e-04
8.001600419903980715e-03,2.949158889082573176e-01,4.407440718159663347e-04
9.001800459891977704e-03,3.315817821850846059e-01,4.953121364073364121e-04
1.000200049987997643e-02,3.681996167491704552e-01,5.497581930077962862e-04
1.100220053986797342e-02,4.047682151336607914e-01,6.040806400064728434e-04
1.200240057985597041e-02,4.412864002875588887e-01,6.582778777030199365e-04
1.300260061984396913e-02,4.777529956496116559e-01,7.123483084154068378e-04
1.400280065983196612e-02,5.141668252221508473e-01,7.662903365875382063e-04
1.500300069981996484e-02,5.505267136448772636e-01,8.201023688967003667e-04
1.600320073980796357e-02,5.868314862685916067e-01,8.737828143608246823e-04
1.700340077979596229e-02,6.230799692288624403e-01,9.273300844455678073e-04
1.800360081978395754e-02,6.592709895196314784e-01,9.807425931711969986e-04
1.900380085977195627e-02,6.954033750667456548e-01,1.034018757219277562e-03
2.000400089975995499e-02,7.314759548014200252e-01,1.087156996039156248e-03
2.100420093974795024e-02,7.674875587336198457e-01,1.140155731954234537e-03
2.200440097973594897e-02,8.034370180253644911e-01,1.193013390268026592e-03
2.300460101972394769e-02,8.393231650639418895e-01,1.245728399369994089e-03
2.400480105971194295e-02,8.751448335350369145e-01,1.298299190841152931e-03
2.500500109969994167e-02,9.109008584957623000e-01,1.350724199559449673e-03
2.600520113968794039e-02,9.465900764475965179e-01,1.403001863804893791e-03
2.700540117967593912e-02,9.822113254092126322e-01,1.455130625364448385e-03
2.800560121966393437e-02,1.017763444989206345e+00,1.507108929636668702e-03
2.900580125965193309e-02,1.053245276458715907e+00,1.558935225736082612e-03
3.000600129963993182e-02,1.088655662823917902e+00,1.610607966597311751e-03
3.100620133962792707e-02,1.123993448898416236e+00,1.662125609078918568e-03
3.200640137961592580e-02,1.159257481375500998e+00,1.713486614066988406e-03
3.300660141960392452e-02,1.194446608900284978e+00,1.764689446578418834e-03
3.400680145959192324e-02,1.229559682141706523e+00,1.815732575863940107e-03
3.500700149957992197e-02,1.264595553864399591e+00,1.866614475510826624e-03
3.600720153956791375e-02,1.299553079000427491e+00,1.917333623545323463e-03
3.700740157955591247e-02,1.334431114720867839e+00,1.967888502534770410e-03
3.800760161954391120e-02,1.369228520507258740e+00,2.018277599689405517e-03
3.900780165953190992e-02,1.403944158222886873e+00,2.068499406963874177e-03
4.000800169951990864e-02,1.438576892183926370e+00,2.118552421158399496e-03
4.100820173950790737e-02,1.473125589230417365e+00,2.168435144019638036e-03
4.200840177949589915e-02,1.507589118797080907e+00,2.218146082341208337e-03
4.300860181948389788e-02,1.541966352983969113e+00,2.267683748063871636e-03
4.400880185947189660e-02,1.576256166626943234e+00,2.317046658375377342e-03
4.500900189945989532e-02,1.610457437367976752e+00,2.366233335809966344e-03
4.600920193944789405e-02,1.644569045725285505e+00,2.415242308347509588e-03
4.700940197943589277e-02,1.678589875163267964e+00,2.464072109512298412e-03
4.800960201942388456e-02,1.712518812162261206e+00,2.512721278471469286e-03
4.900980205941188328e-02,1.746354746288112381e+00,2.561188360133055154e-03
5.001000209939988200e-02,1.780096570261549882e+00,2.609471905243661207e-03
5.101020213938788073e-02,1.813743180027357349e+00,2.657570470485774196e-03
5.201040217937587945e-02,1.847293474823348269e+00,2.705482618574665387e-03
5.301060221936387817e-02,1.880746357249133194e+00,2.753206918354921852e-03
5.401080225935187690e-02,1.914100733334680005e+00,2.800741944896567928e-03
5.501100229933986868e-02,1.947355512608655470e+00,2.848086279590793767e-03
5.601120233932786741e-02,1.980509608166554081e+00,2.895238510245276217e-03
5.701140237931586613e-02,2.013561936738605951e+00,2.942197231179081215e-03
5.801160241930386485e-02,2.046511418757456457e+00,2.988961043317152864e-03
5.901180245929186358e-02,2.079356978425619840e+00,3.035528554284388798e-03
