# Time, Target, Prediction
2.186985884094403332e+01,9.106643305307893232e-01,8.947380185127258301e-01
2.647635497024041840e+01,6.755008529953410168e-01,6.715340614318847656e-01
6.183891120993451729e+00,9.768837613526774044e-01,9.700741171836853027e-01
1.285796873260703954e+01,6.062218418305649337e-01,5.888001918792724609e-01
2.037416159841669483e+01,2.598419598525870122e-01,2.422267794609069824e-01
3.494149861322438433e+00,9.036590999109024580e-02,8.265545964241027832e-02
1.926181532981442857e+01,8.313398797781802740e-02,6.858216226100921631e-02
1.263172881356929267e+01,7.224128025721449076e-01,7.059956192970275879e-01
1.894130877784428435e+01,1.695272680166902968e-01,1.511614918708801270e-01
2.136710346530459148e+01,7.541808084191657935e-01,7.405019402503967285e-01
3.010247812269475798e+00,2.266629479649331924e-01,2.194333374500274658e-01
1.487527467736029863e+01,1.814471247624305783e-01,1.619871407747268677e-01
1.914869537029555602e+01,1.070697425197691260e-01,9.112586081027984619e-02
6.089624488061056162e+00,9.580914637644739607e-01,9.511197209358215332e-01
2.770810564055705072e+01,8.814287021627705832e-01,8.740422129631042480e-01
2.949288722407706942e+01,1.004025990964449444e-01,9.424787759780883789e-02
1.472444806466846678e+01,1.369412319737011996e-01,1.188416182994842529e-01
2.792806111739930230e+01,8.233111928523904055e-01,8.145288825035095215e-01
2.153678340458290208e+01,8.209816895027675088e-01,8.067519664764404297e-01
2.656433716097731690e+01,7.157602413841473998e-01,7.117356061935424805e-01
6.579810979309512753e+00,9.947802903308680111e-01,9.891701340675354004e-01
2.714879028515816728e+01,8.964711388523106672e-01,8.911526799201965332e-01
2.181958330338008878e+01,9.011142774511273768e-01,8.853940963745117188e-01
9.527214368995737814e+00,1.723817962857181751e-01,1.582886278629302979e-01
3.040413134242355753e+01,6.365691803436186735e-02,6.835174560546875000e-02
2.111572577748486879e+01,6.364113317887803989e-01,6.222263574600219727e-01
2.172531667044769321e+01,8.792294646235685462e-01,8.639831542968750000e-01
2.836168762888832262e+01,6.419931133438016024e-01,6.312618851661682129e-01
