# Time, Target, Prediction
2.186985884094403332e+01,9.958287395915119689e-01,9.953755736351013184e-01
2.647635497024041840e+01,9.529080332406034692e-01,9.521818757057189941e-01
6.183891120993451729e+00,9.861712617733521258e-01,9.863512516021728516e-01
1.285796873260703954e+01,8.602056960939457042e-01,8.601692914962768555e-01
2.037416159841669483e+01,8.291317388760841567e-01,8.285079598426818848e-01
3.494149861322438433e+00,7.691228589360128431e-01,7.696461081504821777e-01
1.926181532981442857e+01,7.518122647381464407e-01,7.516903281211853027e-01
1.263172881356929267e+01,8.927172075935666529e-01,8.926933407783508301e-01
1.894130877784428435e+01,7.666627367431652074e-01,7.665539383888244629e-01
2.136710346530459148e+01,9.637213551201734285e-01,9.630694985389709473e-01
3.010247812269475798e+00,8.061871047314225214e-01,8.067061901092529297e-01
1.487527467736029863e+01,7.894022081897386078e-01,7.891816496849060059e-01
1.914869537029555602e+01,7.550975413732747832e-01,7.549975514411926270e-01
6.089624488061056162e+00,9.841843982606190977e-01,9.843850731849670410e-01
2.770810564055705072e+01,9.807177943637565010e-01,9.807416200637817383e-01
2.949288722407706942e+01,7.673691800215666214e-01,7.673582434654235840e-01
1.472444806466846678e+01,7.734830383511576146e-01,7.732670903205871582e-01
2.792806111739930230e+01,9.599796720800634064e-01,9.600244760513305664e-01
2.153678340458290208e+01,9.789233243174793042e-01,9.782808423042297363e-01
2.656433716097731690e+01,9.626558785294662135e-01,9.619310498237609863e-01
6.579810979309512753e+00,9.778623120521821033e-01,9.779457449913024902e-01
2.714879028515816728e+01,9.993706412851217635e-01,9.989206790924072266e-01
2.181958330338008878e+01,9.944662795530092581e-01,9.939759373664855957e-01
9.527214368995737814e+00,7.697923727125894899e-01,7.696978449821472168e-01
3.040413134242355753e+01,7.826538737010219071e-01,7.816632986068725586e-01
2.111572577748486879e+01,9.346553391995828797e-01,9.340764880180358887e-01
2.172531667044769321e+01,9.907444976182592233e-01,9.901890158653259277e-01
2.836168762888832262e+01,9.042102490324105402e-01,9.044083952903747559e-01
2.573479079117224444e+01,8.499724340411625167e-01,8.489242792129516602e-01
1.385091059949493619e+01,7.507526213394906112e-01,7.507238984107971191e-01
1.249975552746393781e+01,9.108472684733024405e-01,9.108385443687438965e-01
2.481726223063025927e+01,7.582993235699166945e-01,7.578588128089904785e-01
2.889586521550523202e+01,8.278225009783638511e-01,8.279334902763366699e-01
1.357439514854811291e+00,9.386273348988930509e-01,9.387603402137756348e-01
3.056752683950637461e+01,7.992290930557374162e-01,7.981889247894287109e-01
1.759643814800877948e+01,9.365095674586795260e-01,9.365662932395935059e-01
2.650149273902239244e+01,9.557837187629897313e-01,9.550586342811584473e-01
2.244174308073389668e+01,9.805115225036172832e-01,9.802758097648620605e-01
2.455960010061504661e+01,7.547902120908783763e-01,7.543860077857971191e-01
2.972541158531030803e+01,7.577657628367074905e-01,7.576406598091125488e-01
1.361838623826169581e+01,7.663110444214615846e-01,7.663256525993347168e-01
