# Time, Strain, Stress
1.000000000000000036e-10,3.616990942420367268e-09,5.425486413630550806e-12
1.000200139987997673e-03,3.607202135562311701e-02,5.395142044790901797e-05
2.000400179975995313e-03,7.193463093624381799e-02,1.072795066629137189e-04
3.000600219963992735e-03,1.075890986912438896e-01,1.599921004609179546e-04
4.000800259951990158e-03,1.430366803703840284e-01,2.120969263603854783e-04
5.001000299939988014e-03,1.782786212290811412e-01,2.636015986474714106e-04
6.001200339927985003e-03,2.133161561161486530e-01,3.145136229916315244e-04
7.001400379915982859e-03,2.481505095609944644e-01,3.648403980375512258e-04
8.001600419903980715e-03,2.827828958602718323e-01,4.145892169737454324e-04
9.001800459891977704e-03,3.172145191639968442e-01,4.637672690781776742e-04
1.000200049987997643e-02,3.514465735611271846e-01,5.123816412412381810e-04
1.100220053986797342e-02,3.854802431646102701e-01,5.604393194664159189e-04
1.200240057985597041e-02,4.193167021959015028e-01,6.079471903489979149e-04
1.300260061984396913e-02,4.529571150689580272e-01,6.549120425331215632e-04
1.400280065983196612e-02,4.864026364737067398e-01,7.013405681474969887e-04
1.500300069981996484e-02,5.196544114589936036e-01,7.472393642201241321e-04
1.600320073980796357e-02,5.527135755150179852e-01,7.926149340723051507e-04
1.700340077979596229e-02,5.855812546552465747e-01,8.374736886922702411e-04
1.800360081978395754e-02,6.182585654978267620e-01,8.818219480887094005e-04
1.900380085977195627e-02,6.507466153464790404e-01,9.256659426245166314e-04
2.000400089975995499e-02,6.830465022708931411e-01,9.690118143310313004e-04
2.100420093974795024e-02,7.151593151866193487e-01,1.011865618203072531e-03
2.200440097973594897e-02,7.470861339344589958e-01,1.054233323475048520e-03
2.300460101972394769e-02,7.788280293593580206e-01,1.096120814878419423e-03
2.400480105971194295e-02,8.103860633888066989e-01,1.137533893880792986e-03
2.500500109969994167e-02,8.417612891107496553e-01,1.178478279906922891e-03
2.600520113968794039e-02,8.729547508510044906e-01,1.218959611541877396e-03
2.700540117967593912e-02,9.039674842501967955e-01,1.258983447716646720e-03
2.800560121966393437e-02,9.348005163402098860e-01,1.298555268876438107e-03
2.900580125965193309e-02,9.654548656201561441e-01,1.337680478131930695e-03
3.000600129963993182e-02,9.959315421318675199e-01,1.376364402393725908e-03
3.100620133962792707e-02,1.026231547534915300e+00,1.414612293490254222e-03
3.200640137961592580e-02,1.056355875181151482e+00,1.452429329269376394e-03
3.300660141960392452e-02,1.086305510188784407e+00,1.489820614683921374e-03
3.400680145959192324e-02,1.116081429515985102e+00,1.526791182861398982e-03
3.500700149957992197e-02,1.145684602034026334e+00,1.563345996158123710e-03
3.600720153956791375e-02,1.175115988599966244e+00,1.599489947197971478e-03
3.700740157955591247e-02,1.204376542128861693e+00,1.635227859896010681e-03
3.800760161954391120e-02,1.233467207665532861e+00,1.670564490467211800e-03
3.900780165953190992e-02,1.262388922455867979e+00,1.705504528420476477e-03
4.000800169951990864e-02,1.291142616017676215e+00,1.740052597538184692e-03
4.100820173950790737e-02,1.319729210211090020e+00,1.774213256841487493e-03
4.200840177949589915e-02,1.348149619308522063e+00,1.807991001541546733e-03
4.300860181948389788e-02,1.376404750064171623e+00,1.841390263976932151e-03
4.400880185947189660e-02,1.404495501783091571e+00,1.874415414537381570e-03
4.500900189945989532e-02,1.432422766389815028e+00,1.907070762574120896e-03
4.600920193944789405e-02,1.460187428496537931e+00,1.939360557296950123e-03
4.700940197943589277e-02,1.487790365470872844e+00,1.971288988658277501e-03
4.800960201942388456e-02,1.515232447503161772e+00,2.002860188224305903e-03
4.900980205941188328e-02,1.542514537673361552e+00,2.034078230033560270e-03
5.001000209939988200e-02,1.569637492017497360e+00,2.064947131442928727e-03
5.101020213938788073e-02,1.596602159593690118e+00,2.095470853961419692e-03
5.201040217937587945e-02,1.623409382547758462e+00,2.125653304071803244e-03
5.301060221936387817e-02,1.650059996178395716e+00,2.155498334040320627e-03
5.401080225935187690e-02,1.676554829001928315e+00,2.185009742714633628e-03
5.501100229933986868e-02,1.702894702816653894e+00,2.214191276310191643e-03
5.601120233932786741e-02,1.729080432766764375e+00,2.243046629185179060e-03
5.701140237931586613e-02,1.755112827405852283e+00,2.271579444604223796e-03
5.801160241930386485e-02,1.780992688760006715e+00,2.299793315491016187e-03
5.901180245929186358e-02,1.806720812390496311e+00,2.327691785170009093e-03
6.001200249927986230e-02,1.832297987456045441e+00,2.355278348097370085e-03
6.101220253926785408e-02,1.857724996774705151e+00,2.382556450581315398e-03
6.201240257925585281e-02,1.883002616885316893e+00,2.409529491492015587e-03
6.301260261924385153e-02,1.908131618108576122e+00,2.436200822961199532e-03
