# Time, Target, Prediction
2.186985884094403332e+01,9.958287395915119689e-01,9.959200024604797363e-01
2.647635497024041840e+01,9.529080332406034692e-01,9.533295035362243652e-01
6.183891120993451729e+00,9.861712617733521258e-01,9.860575795173645020e-01
1.285796873260703954e+01,8.602056960939457042e-01,8.602790236473083496e-01
2.037416159841669483e+01,8.291317388760841567e-01,8.291625380516052246e-01
3.494149861322438433e+00,7.691228589360128431e-01,7.692444920539855957e-01
1.926181532981442857e+01,7.518122647381464407e-01,7.522681355476379395e-01
1.263172881356929267e+01,8.927172075935666529e-01,8.930227160453796387e-01
1.894130877784428435e+01,7.666627367431652074e-01,7.666889429092407227e-01
2.136710346530459148e+01,9.637213551201734285e-01,9.639622569084167480e-01
3.010247812269475798e+00,8.061871047314225214e-01,8.064215183258056641e-01
1.487527467736029863e+01,7.894022081897386078e-01,7.892711758613586426e-01
1.914869537029555602e+01,7.550975413732747832e-01,7.554378509521484375e-01
6.089624488061056162e+00,9.841843982606190977e-01,9.840666055679321289e-01
2.770810564055705072e+01,9.807177943637565010e-01,9.809675812721252441e-01
2.949288722407706942e+01,7.673691800215666214e-01,7.675591707229614258e-01
1.472444806466846678e+01,7.734830383511576146e-01,7.735413312911987305e-01
2.792806111739930230e+01,9.599796720800634064e-01,9.602532982826232910e-01
2.153678340458290208e+01,9.789233243174793042e-01,9.790183901786804199e-01
2.656433716097731690e+01,9.626558785294662135e-01,9.630382061004638672e-01
6.579810979309512753e+00,9.778623120521821033e-01,9.779347777366638184e-01
2.714879028515816728e+01,9.993706412851217635e-01,9.993999004364013672e-01
2.181958330338008878e+01,9.944662795530092581e-01,9.945343136787414551e-01
9.527214368995737814e+00,7.697923727125894899e-01,7.696036696434020996e-01
3.040413134242355753e+01,7.826538737010219071e-01,7.828419208526611328e-01
2.111572577748486879e+01,9.346553391995828797e-01,9.351406097412109375e-01
2.172531667044769321e+01,9.907444976182592233e-01,9.907887578010559082e-01
2.836168762888832262e+01,9.042102490324105402e-01,9.042060971260070801e-01
2.573479079117224444e+01,8.499724340411625167e-01,8.499945402145385742e-01
1.385091059949493619e+01,7.507526213394906112e-01,7.509855628013610840e-01
1.249975552746393781e+01,9.108472684733024405e-01,9.112129211425781250e-01
2.481726223063025927e+01,7.582993235699166945e-01,7.586249709129333496e-01
2.889586521550523202e+01,8.278225009783638511e-01,8.276597857475280762e-01
1.357439514854811291e+00,9.386273348988930509e-01,9.381195902824401855e-01
3.056752683950637461e+01,7.992290930557374162e-01,7.995759248733520508e-01
1.759643814800877948e+01,9.365095674586795260e-01,9.370556473731994629e-01
2.650149273902239244e+01,9.557837187629897313e-01,9.561961889266967773e-01
2.244174308073389668e+01,9.805115225036172832e-01,9.807543754577636719e-01
2.455960010061504661e+01,7.547902120908783763e-01,7.550538778305053711e-01
2.972541158531030803e+01,7.577657628367074905e-01,7.579591870307922363e-01
1.361838623826169581e+01,7.663110444214615846e-01,7.662093043327331543e-01
1.395774611681831701e+01,7.465312008462322568e-01,7.469099760055541992e-01
7.365366253746139513e+00,8.941675108853366361e-01,8.941250443458557129e-01
2.945518057090411190e+01,7.697660631969769351e-01,7.699437737464904785e-01
8.974183455792353215e+00,7.375337351802204733e-01,7.377278208732604980e-01
1.331673301287803035e+01,7.976328032269546231e-01,7.973256111145019531e-01
1.227351560842618916e+01,9.389252122888884777e-01,9.392197728157043457e-01
1.846369117098681656e+01,8.161684040316390387e-01,8.157503604888916016e-01
3.027215805631820444e+01,7.719285065700799420e-01,7.720353603363037109e-01
2.924150953625734672e+01,7.873821914283322121e-01,7.874397635459899902e-01
2.592332405703703202e+01,8.774593853928523979e-01,8.776262998580932617e-01
1.261915992917830565e+01,8.944826670293840598e-01,8.947969079017639160e-01
2.822971434278296954e+01,9.226691938101918566e-01,9.227753281593322754e-01
2.109687245089839180e+01,9.322198179814336072e-01,9.327179193496704102e-01
1.265058214015577143e+01,8.900567271065048525e-01,8.903481364250183105e-01
5.813109031459363862e+00,9.699631236405614754e-01,9.699486494064331055e-01
2.685970594416549417e+01,9.879110587645639763e-01,9.880737662315368652e-01
3.119597105905567958e+01,8.844081237993218769e-01,8.848037123680114746e-01
1.043217404514673419e+01,8.918879069157381601e-01,8.924183249473571777e-01
1.511408348078903430e+01,8.195660434228528857e-01,8.193445205688476562e-01
2.315188504882461018e+01,8.981517041897050246e-01,8.982236981391906738e-01
1.397659944340479754e+01,7.459877189016043131e-01,7.463892102241516113e-01
2.935462949577621927e+01,7.772309578180067735e-01,7.773613333702087402e-01
2.780865671568493624e+01,9.720441857090774684e-01,9.723203778266906738e-01
2.967513604774636704e+01,7.590653021588001925e-01,7.592677474021911621e-01
2.209609875998178197e+01,9.964863704624317142e-01,9.967144727706909180e-01
2.985110043487503972e+00,8.089444292955997318e-01,8.091899752616882324e-01
2.274968075396792244e+00,9.001652355846235798e-01,9.004396796226501465e-01
7.591606172783889050e+00,8.609847933540817344e-01,8.607816100120544434e-01
2.953059387725002694e+01,7.651997743094369753e-01,7.653988003730773926e-01
8.094361548423330888e+00,7.908747234165675044e-01,7.906948924064636230e-01
2.526345763216513163e+00,8.671883081279452288e-01,8.674892187118530273e-01
2.625639949339816326e+01,9.251246013266709589e-01,9.255389571189880371e-01
9.458085504845316294e+00,7.631884158016302155e-01,7.630292773246765137e-01
2.541428423920209667e+01,8.071454038088003990e-01,8.071380853652954102e-01
2.790920779081282532e+01,9.620030452515260233e-01,9.622797369956970215e-01
2.491152886356265839e+01,7.624418608805484388e-01,7.627447247505187988e-01
2.188871216753051030e+01,9.962265067651470130e-01,9.963278770446777344e-01
3.129023769198807514e+01,8.981675508468869307e-01,8.984389901161193848e-01
2.673401710025563105e+01,9.786933836483884264e-01,9.789554476737976074e-01
1.107947159128251435e+01,9.664014332921994077e-01,9.665083289146423340e-01
1.092864497859068251e+01,9.533050263289754023e-01,9.536332488059997559e-01
1.099777384839597305e+00,8.987458032560996513e-01,8.982315063476562500e-01
1.617615421182735602e+01,9.625360584567160815e-01,9.629032015800476074e-01
6.724353155460717213e-01,7.382970469872154329e-01,7.387446165084838867e-01
2.603644401655590457e+01,8.940376579543793945e-01,8.943052887916564941e-01
4.631633898706675190e+00,8.273238651584531311e-01,8.272492289543151855e-01
2.877017637159536889e+01,8.450722468381947072e-01,8.448804020881652832e-01
1.877162883856597375e+01,7.810163312757155696e-01,7.807821631431579590e-01
1.371893731338958311e+01,7.585576720401390194e-01,7.585942745208740234e-01
2.331528055156229851e+00,8.930043494138957261e-01,8.932818770408630371e-01
2.363578709787757504e+01,8.288961381089872127e-01,8.289799690246582031e-01
1.469302585369100278e+01,7.705353317378398348e-01,7.706394791603088379e-01
8.276610372092626733e+00,7.704520886946892855e-01,7.704153060913085938e-01
3.657545358405256852e+00,7.648380630852316120e-01,7.650047540664672852e-01
2.597988403679647007e+01,8.857679829830016338e-01,8.859854340553283691e-01
2.907811403917452608e+01,8.049462869436613266e-01,8.048863410949707031e-01
1.777868697167807355e+01,9.128023488575959243e-01,9.132730960845947266e-01
9.696894308274050189e+00,7.885304790528266938e-01,7.883350849151611328e-01
2.249830306614820419e+00,9.032715399478844498e-01,9.035450816154479980e-01
1.090350720980871024e+01,9.508167949385227802e-01,9.511780738830566406e-01
1.671661624629462217e+00,9.493696128924077327e-01,9.492810368537902832e-01
9.740885403642501217e+00,7.939053167536254119e-01,7.937251925468444824e-01
2.841196316645226716e+01,8.969810958111540389e-01,8.969363570213317871e-01
1.170163136863632403e+01,9.814716535410064058e-01,9.811512827873229980e-01
