# Time, Strain, Stress
1.000000000000000036e-10,3.701946829730785554e-09,5.552920244596178777e-12
1.000200139987997673e-03,3.700795238544987709e-02,5.535138151292782278e-05
2.000400179975995313e-03,7.397726818262001514e-02,1.103268007904055172e-04
3.000600219963992735e-03,1.109067729641643740e-01,1.649290829781039540e-04
4.000800259951990158e-03,1.477952884242962339e-01,2.191609904002931176e-04
5.001000299939988014e-03,1.846416361548595120e-01,2.730252290955403178e-04
6.001200339927985003e-03,2.214446377194416726e-01,3.265244497856867431e-04
7.001400379915982859e-03,2.582031147274658212e-01,3.796612488312241761e-04
8.001600419903980715e-03,2.949158889082573176e-01,4.324381691732662116e-04
9.001800459891977704e-03,3.315817821850846059e-01,4.848577012623106410e-04
1.000200049987997643e-02,3.681996167491704552e-01,5.369222839739838746e-04
1.100220053986797342e-02,4.047682151336607914e-01,5.886343055119516634e-04
1.200240057985597041e-02,4.412864002875588887e-01,6.399961042981895405e-04
1.300260061984396913e-02,4.777529956496116559e-01,6.910099698507846675e-04
1.400280065983196612e-02,5.141668252221508473e-01,7.416781436494595788e-04
1.500300069981996484e-02,5.505267136448772636e-01,7.920028199889859837e-04
1.600320073980796357e-02,5.868314862685916067e-01,8.419861468206676827e-04
1.700340077979596229e-02,6.230799692288624403e-01,8.916302265820635767e-04
1.800360081978395754e-02,6.592709895196314784e-01,9.409371170151180613e-04
1.900380085977195627e-02,6.954033750667456548e-01,9.899088319728658811e-04
2.000400089975995499e-02,7.314759548014200252e-01,1.038547342214874618e-03
2.100420093974795024e-02,7.674875587336198457e-01,1.086854576191589828e-03
2.200440097973594897e-02,8.034370180253644911e-01,1.134832420817732989e-03
2.300460101972394769e-02,8.393231650639418895e-01,1.182482722234920415e-03
2.400480105971194295e-02,8.751448335350369145e-01,1.229807286563643987e-03
2.500500109969994167e-02,9.109008584957623000e-01,1.276807880644778050e-03
2.600520113968794039e-02,9.465900764475965179e-01,1.323486232770752563e-03
2.700540117967593912e-02,9.822113254092126322e-01,1.369844033406541258e-03
2.800560121966393437e-02,1.017763444989206345e+00,1.415882935900612902e-03
2.900580125965193309e-02,1.053245276458715907e+00,1.461604557185987698e-03
3.000600129963993182e-02,1.088655662823917902e+00,1.507010478471531743e-03
3.100620133962792707e-02,1.123993448898416236e+00,1.552102245923638957e-03
3.200640137961592580e-02,1.159257481375500998e+00,1.596881371338428838e-03
3.300660141960392452e-02,1.194446608900284978e+00,1.641349332804592324e-03
3.400680145959192324e-02,1.229559682141706523e+00,1.685507575357030182e-03
3.500700149957992197e-02,1.264595553864399591e+00,1.729357511621395149e-03
3.600720153956791375e-02,1.299553079000427491e+00,1.772900522449681170e-03
3.700740157955591247e-02,1.334431114720867839e+00,1.816137957546979861e-03
