# Time, Target, Prediction
2.186985884094403332e+01,9.868330747846022488e-01,9.911886453628540039e-01
2.647635497024041840e+01,8.228652308318399333e-01,8.360933661460876465e-01
6.183891120993451729e+00,9.515325357861895705e-01,9.554278254508972168e-01
1.285796873260703954e+01,4.962299308014095356e-01,4.934739768505096436e-01
2.037416159841669483e+01,3.608595768541364435e-01,3.746425807476043701e-01
3.494149861322438433e+00,7.546374429020662536e-03,1.470462791621685028e-02
1.926181532981442857e+01,7.132389130726422832e-02,7.349322736263275146e-02
1.263172881356929267e+01,6.194265778160455982e-01,6.171756386756896973e-01
1.894130877784428435e+01,1.277425269288411658e-01,1.255395859479904175e-01
2.136710346530459148e+01,8.664349907057424804e-01,8.780431747436523438e-01
3.010247812269475798e+00,1.153729087106723367e-01,1.210994571447372437e-01
1.487527467736029863e+01,2.228990195034745159e-01,2.351558953523635864e-01
1.914869537029555602e+01,8.386886967833190321e-02,8.466248214244842529e-02
6.089624488061056162e+00,9.417511164876769536e-01,9.456269145011901855e-01
2.770810564055705072e+01,9.273373191020641837e-01,9.218910932540893555e-01
2.949288722407706942e+01,1.240160277973732100e-01,1.216656416654586792e-01
1.472444806466846678e+01,1.634375512698143240e-01,1.741634160280227661e-01
2.792806111739930230e+01,8.492378694787785509e-01,8.414508104324340820e-01
2.153678340458290208e+01,9.234987239718974728e-01,9.334526658058166504e-01
2.656433716097731690e+01,8.595424662606852007e-01,8.716251850128173828e-01
6.579810979309512753e+00,9.285917699914493229e-01,9.316256642341613770e-01
2.714879028515816728e+01,9.976446963169941506e-01,1.000070929527282715e+00
2.181958330338008878e+01,9.817489871921579736e-01,9.870792627334594727e-01
9.527214368995737814e+00,1.649647006140601835e-01,1.709179431200027466e-01
3.040413134242355753e+01,1.815518766435622877e-01,1.943120211362838745e-01
2.111572577748486879e+01,7.572698735195940722e-01,7.700330018997192383e-01
2.172531667044769321e+01,9.678237492316767998e-01,9.749000072479248047e-01
2.836168762888832262e+01,6.392402976265545433e-01,6.278673410415649414e-01
2.573479079117224444e+01,4.355463199483480818e-01,4.505110085010528564e-01
1.385091059949493619e+01,8.071934375066545930e-02,8.281823992729187012e-02
1.249975552746393781e+01,6.881475278187846323e-01,6.864444017410278320e-01
2.481726223063025927e+01,9.075515365533402823e-02,9.638844430446624756e-02
2.889586521550523202e+01,3.516273206805723417e-01,3.402187526226043701e-01
