# Time, Target, Prediction
1.822488236745336110e+01,-8.602291665107323140e-03,-8.392831310629844666e-03
2.206362914186701829e+01,3.138362884086366711e-02,3.084997273981571198e-02
5.153242600827876885e+00,1.112853648583790253e-02,1.118549890816211700e-02
1.071497394383920110e+01,3.721703675911813142e-02,3.691264241933822632e-02
1.697846799868057843e+01,3.919574031639718598e-02,3.883364796638488770e-02
2.911791551102032027e+00,-2.575287384877496533e-01,-2.585772275924682617e-01
1.605151277484536010e+01,2.977610753214757558e-02,2.931398339569568634e-02
1.052644067797440997e+01,2.474587731796174320e-02,2.449047379195690155e-02
1.578442398153690363e+01,1.858407390514632204e-02,1.821942441165447235e-02
1.780591955442049468e+01,1.068632832711652152e-02,1.084306277334690094e-02
2.508539843557896720e+00,-1.869701470874427507e-01,-1.874712258577346802e-01
1.239606223113358396e+01,2.521618876502215723e-02,2.576930262148380280e-02
1.595724614191296453e+01,2.616498504736624112e-02,2.573976106941699982e-02
5.074687073384214209e+00,-2.245094149688549312e-03,-2.184135839343070984e-03
2.309008803379754227e+01,6.670293424877109072e-03,6.685921922326087952e-03
2.457740602006422392e+01,-2.836174716741847804e-02,-2.826075814664363861e-02
1.227037338722372262e+01,3.273697820342047482e-02,3.319413959980010986e-02
2.327338426449941977e+01,8.586198969712143989e-05,1.439694315195083618e-04
1.794731950381908803e+01,4.134583068195832496e-03,4.314379766583442688e-03
2.213694763414776645e+01,3.083705441783786763e-02,3.035009838640689850e-02
5.483175816091260479e+00,5.832844464957585157e-02,5.838971585035324097e-02
2.262399190429847451e+01,2.171422494473906548e-02,2.155970968306064606e-02
1.818298608615007694e+01,-6.731017870753386659e-03,-6.526699289679527283e-03
7.939345307496449067e+00,-4.703805355921748116e-02,-4.572931677103042603e-02
2.533677611868629853e+01,-1.706878410314460054e-02,-1.729457639157772064e-02
1.759643814790405969e+01,1.995793638722301658e-02,2.004632540047168732e-02
1.810443055870641516e+01,-3.157268558415166505e-03,-2.961283549666404724e-03
2.363473969074027181e+01,-1.231300197804445322e-02,-1.214372180402278900e-02
2.144565899264353703e+01,2.636177252776897642e-02,2.570536173880100250e-02
1.154242549957911557e+01,5.921614147601826639e-02,5.921185761690139771e-02
1.041646293955328240e+01,1.656442377973872671e-02,1.635081134736537933e-02
2.068105185885855235e+01,9.368949961372552209e-04,4.524234682321548462e-04
2.407988767958769571e+01,-2.379231924311849683e-02,-2.351321838796138763e-02
1.131199595712342854e+00,3.837525836974949311e-01,3.839832842350006104e-01
2.547293903292197825e+01,-1.326214895551231301e-02,-1.351611874997615814e-02
1.466369845667398231e+01,-3.796685390884584066e-02,-3.780195116996765137e-02
2.208457728251866214e+01,3.125172431853491528e-02,3.073088265955448151e-02
1.870145256727824901e+01,-2.674911000251054688e-02,-2.643323503434658051e-02
2.046633341717920729e+01,-7.770965565184757839e-03,-8.212691172957420349e-03
2.477117632109192513e+01,-2.744340350426349023e-02,-2.746815048158168793e-02
1.134865519855141436e+01,5.940058816553128035e-02,5.927912145853042603e-02
