# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,1.050000000000000065e-02
1.000200139987997673e-03,6.999953923499114161e+00,1.046872348846959212e-02
2.000400179975995313e-03,6.999815695106734736e+00,1.043748178859807418e-02
3.000600219963992735e-03,6.999585318098380249e+00,1.040627424554269216e-02
4.000800259951990158e-03,6.999262797933146985e+00,1.037510021237859729e-02
5.001000299939988014e-03,6.998848142253553561e+00,1.034395905005741460e-02
6.001200339927985003e-03,6.998341360885323326e+00,1.031285012736593912e-02
7.001400379915982859e-03,6.997742465837112569e+00,1.028177282088501426e-02
8.001600419903980715e-03,6.997051471300168579e+00,1.025072651494853861e-02
9.001800459891977704e-03,6.996268393647928185e+00,1.021971060160274496e-02
1.000200049987997643e-02,6.995393251435557680e+00,1.018872448056552457e-02
1.100220053986797342e-02,6.994426065399426129e+00,1.015776755918600290e-02
1.200240057985597041e-02,6.993366858456528057e+00,1.012683925240422979e-02
1.300260061984396913e-02,6.992215655703825306e+00,1.009593898271107446e-02
1.400280065983196612e-02,6.990972484417556032e+00,1.006506618010825915e-02
1.500300069981996484e-02,6.989637374052442453e+00,1.003422028206853688e-02
1.600320073980796357e-02,6.988210356240882604e+00,1.000340073349604945e-02
1.700340077979596229e-02,6.986691464792043504e+00,9.972606986686878214e-03
1.800360081978395754e-02,6.985080735690912590e+00,9.941838501289665744e-03
1.900380085977195627e-02,6.983378207097283408e+00,9.911094744266470136e-03
2.000400089975995499e-02,6.981583919344675593e+00,9.880375189853737167e-03
2.100420093974795024e-02,6.979697914939202441e+00,9.849679319523411275e-03
2.200440097973594897e-02,6.977720238558365651e+00,9.819006621944247754e-03
2.300460101972394769e-02,6.975650937049803879e+00,9.788356592943256787e-03
2.400480105971194295e-02,6.973490059429961363e+00,9.757728735467220346e-03
2.500500109969994167e-02,6.971237656882712130e+00,9.727122559544509189e-03
2.600520113968794039e-02,6.968893782757914934e+00,9.696537582246868639e-03
2.700540117967593912e-02,6.966458492569910455e+00,9.665973327651527017e-03
2.800560121966393437e-02,6.963931843995948334e+00,9.635429326803279793e-03
2.900580125965193309e-02,6.961313896874568918e+00,9.604905117676853024e-03
3.000600129963993182e-02,6.958604713203913938e+00,9.574400245139332716e-03
3.100620133962792707e-02,6.955804357139974137e+00,9.543914260912752037e-03
3.200640137961592580e-02,6.952912894994784487e+00,9.513446723536815586e-03
3.300660141960392452e-02,6.949930395234551916e+00,9.482997198331784977e-03
3.400680145959192324e-02,6.946856928477725290e+00,9.452565257361459847e-03
3.500700149957992197e-02,6.943692567493004120e+00,9.422150479396332323e-03
3.600720153956791375e-02,6.940437387197285979e+00,9.391752449876854258e-03
3.700740157955591247e-02,6.937091464653557082e+00,9.361370760876836297e-03
3.800760161954391120e-02,6.933654879068715360e+00,9.331005011067011745e-03
3.900780165953190992e-02,6.930127711791340239e+00,9.300654805678685438e-03
4.000800169951990864e-02,6.926510046309396706e+00,9.270319756467538738e-03
