# Time, Target, Prediction
1.822488236745336110e+01,-8.602291665107323140e-03,-8.485578000545501709e-03
2.206362914186701829e+01,3.138362884086366711e-02,3.058817610144615173e-02
5.153242600827876885e+00,1.112853648583790253e-02,1.085489615797996521e-02
1.071497394383920110e+01,3.721703675911813142e-02,3.676479682326316833e-02
1.697846799868057843e+01,3.919574031639718598e-02,3.876319155097007751e-02
2.911791551102032027e+00,-2.575287384877496533e-01,-2.589733302593231201e-01
1.605151277484536010e+01,2.977610753214757558e-02,2.918606624007225037e-02
1.052644067797440997e+01,2.474587731796174320e-02,2.438240870833396912e-02
1.578442398153690363e+01,1.858407390514632204e-02,1.806127652525901794e-02
1.780591955442049468e+01,1.068632832711652152e-02,1.060859486460685730e-02
2.508539843557896720e+00,-1.869701470874427507e-01,-1.881555318832397461e-01
1.239606223113358396e+01,2.521618876502215723e-02,2.472594007849693298e-02
1.595724614191296453e+01,2.616498504736624112e-02,2.559372410178184509e-02
5.074687073384214209e+00,-2.245094149688549312e-03,-2.486739307641983032e-03
2.309008803379754227e+01,6.670293424877109072e-03,6.320830434560775757e-03
2.457740602006422392e+01,-2.836174716741847804e-02,-2.809217944741249084e-02
1.227037338722372262e+01,3.273697820342047482e-02,3.221612796187400818e-02
2.327338426449941977e+01,8.586198969712143989e-05,-1.554079353809356689e-04
1.794731950381908803e+01,4.134583068195832496e-03,4.140075296163558960e-03
2.213694763414776645e+01,3.083705441783786763e-02,3.003501519560813904e-02
5.483175816091260479e+00,5.832844464957585157e-02,5.792390927672386169e-02
2.262399190429847451e+01,2.171422494473906548e-02,2.105728909373283386e-02
1.818298608615007694e+01,-6.731017870753386659e-03,-6.626550108194351196e-03
7.939345307496449067e+00,-4.703805355921748116e-02,-4.748595133423805237e-02
2.533677611868629853e+01,-1.706878410314460054e-02,-1.648447290062904358e-02
1.759643814790405969e+01,1.995793638722301658e-02,1.974852010607719421e-02
1.810443055870641516e+01,-3.157268558415166505e-03,-3.079801797866821289e-03
2.363473969074027181e+01,-1.231300197804445322e-02,-1.240329816937446594e-02
2.144565899264353703e+01,2.636177252776897642e-02,2.581204101443290710e-02
1.154242549957911557e+01,5.921614147601826639e-02,5.859431251883506775e-02
1.041646293955328240e+01,1.656442377973872671e-02,1.625108346343040466e-02
2.068105185885855235e+01,9.368949961372552209e-04,5.881972610950469971e-04
2.407988767958769571e+01,-2.379231924311849683e-02,-2.375385537743568420e-02
1.131199595712342854e+00,3.837525836974949311e-01,3.840191364288330078e-01
2.547293903292197825e+01,-1.326214895551231301e-02,-1.271435990929603577e-02
1.466369845667398231e+01,-3.796685390884584066e-02,-3.810832276940345764e-02
2.208457728251866214e+01,3.125172431853491528e-02,3.045358881354331970e-02
1.870145256727824901e+01,-2.674911000251054688e-02,-2.652408182621002197e-02
2.046633341717920729e+01,-7.770965565184757839e-03,-8.065052330493927002e-03
2.477117632109192513e+01,-2.744340350426349023e-02,-2.705520763993263245e-02
1.134865519855141436e+01,5.940058816553128035e-02,5.878120288252830505e-02
1.163145509734859928e+01,5.804162739477707750e-02,5.742361769080162048e-02
6.137805211455115817e+00,9.901084922601401106e-02,9.828376770019531250e-02
2.454598380908675992e+01,-2.836793913307119816e-02,-2.811698988080024719e-02
7.478486213160294938e+00,-3.897936339318722600e-04,-1.083139330148696899e-03
1.109727751073169166e+01,5.466688380842632533e-02,5.408104881644248962e-02
1.022792967368849126e+01,1.415184799551675622e-03,1.175727695226669312e-03
1.538640930915567928e+01,-2.048142647638151199e-03,-2.423826605081558228e-03
2.522679838026517274e+01,-1.984471448146717804e-02,-1.926061883568763733e-02
