# Time, Target, Prediction
1.822488236745336110e+01,-8.602291665107323140e-03,-8.117808960378170013e-03
2.206362914186701829e+01,3.138362884086366711e-02,3.053298220038414001e-02
5.153242600827876885e+00,1.112853648583790253e-02,1.179389189928770065e-02
1.071497394383920110e+01,3.721703675911813142e-02,3.612863644957542419e-02
1.697846799868057843e+01,3.919574031639718598e-02,3.859598562121391296e-02
2.911791551102032027e+00,-2.575287384877496533e-01,-2.594348490238189697e-01
1.605151277484536010e+01,2.977610753214757558e-02,2.826542407274246216e-02
1.052644067797440997e+01,2.474587731796174320e-02,2.365337684750556946e-02
1.578442398153690363e+01,1.858407390514632204e-02,1.709679141640663147e-02
1.780591955442049468e+01,1.068632832711652152e-02,1.105444040149450302e-02
2.508539843557896720e+00,-1.869701470874427507e-01,-1.875286549329757690e-01
1.239606223113358396e+01,2.521618876502215723e-02,2.622282877564430237e-02
1.595724614191296453e+01,2.616498504736624112e-02,2.465553954243659973e-02
5.074687073384214209e+00,-2.245094149688549312e-03,-1.456071622669696808e-03
2.309008803379754227e+01,6.670293424877109072e-03,7.086287252604961395e-03
2.457740602006422392e+01,-2.836174716741847804e-02,-2.821939438581466675e-02
1.227037338722372262e+01,3.273697820342047482e-02,3.362901136279106140e-02
2.327338426449941977e+01,8.586198969712143989e-05,4.972284659743309021e-04
1.794731950381908803e+01,4.134583068195832496e-03,4.551763646304607391e-03
2.213694763414776645e+01,3.083705441783786763e-02,3.009381145238876343e-02
5.483175816091260479e+00,5.832844464957585157e-02,5.850427970290184021e-02
2.262399190429847451e+01,2.171422494473906548e-02,2.174755930900573730e-02
1.818298608615007694e+01,-6.731017870753386659e-03,-6.256193853914737701e-03
7.939345307496449067e+00,-4.703805355921748116e-02,-4.671146348118782043e-02
2.533677611868629853e+01,-1.706878410314460054e-02,-1.750375702977180481e-02
1.759643814790405969e+01,1.995793638722301658e-02,2.020285651087760925e-02
1.810443055870641516e+01,-3.157268558415166505e-03,-2.700627781450748444e-03
2.363473969074027181e+01,-1.231300197804445322e-02,-1.204556692391633987e-02
2.144565899264353703e+01,2.636177252776897642e-02,2.505996450781822205e-02
1.154242549957911557e+01,5.921614147601826639e-02,5.890270695090293884e-02
1.041646293955328240e+01,1.656442377973872671e-02,1.548295747488737106e-02
2.068105185885855235e+01,9.368949961372552209e-04,-2.091610804200172424e-04
2.407988767958769571e+01,-2.379231924311849683e-02,-2.364576980471611023e-02
1.131199595712342854e+00,3.837525836974949311e-01,3.826477825641632080e-01
2.547293903292197825e+01,-1.326214895551231301e-02,-1.388193760067224503e-02
1.466369845667398231e+01,-3.796685390884584066e-02,-3.863921761512756348e-02
2.208457728251866214e+01,3.125172431853491528e-02,3.043093904852867126e-02
1.870145256727824901e+01,-2.674911000251054688e-02,-2.616461738944053650e-02
2.046633341717920729e+01,-7.770965565184757839e-03,-8.843858726322650909e-03
2.477117632109192513e+01,-2.744340350426349023e-02,-2.735503017902374268e-02
1.134865519855141436e+01,5.940058816553128035e-02,5.877361819148063660e-02
1.163145509734859928e+01,5.804162739477707750e-02,5.789000168442726135e-02
6.137805211455115817e+00,9.901084922601401106e-02,9.856592863798141479e-02
2.454598380908675992e+01,-2.836793913307119816e-02,-2.822182700037956238e-02
7.478486213160294938e+00,-3.897936339318722600e-04,-3.141658380627632141e-04
1.109727751073169166e+01,5.466688380842632533e-02,5.375102534890174866e-02
1.022792967368849126e+01,1.415184799551675622e-03,3.695888444781303406e-04
1.538640930915567928e+01,-2.048142647638151199e-03,-3.433418460190296173e-03
2.522679838026517274e+01,-1.984471448146717804e-02,-2.014052867889404297e-02
2.436792461354779249e+01,-2.764105845503685502e-02,-2.749060466885566711e-02
2.160277004753086061e+01,2.924581724576832617e-02,2.797781676054000854e-02
1.051596660764858804e+01,2.399242865669355684e-02,2.290056273341178894e-02
2.352476195231914247e+01,-8.720657126047861099e-03,-8.402430452406406403e-03
1.758072704241532591e+01,2.061814567451100352e-02,2.085058018565177917e-02
1.054215178346314374e+01,2.586509760201253019e-02,2.477164193987846375e-02
4.844257526216136256e+00,-4.501864762484727306e-02,-4.389344528317451477e-02
2.238308828680457907e+01,2.733665820173310571e-02,2.699358388781547546e-02
2.599664254921306750e+01,3.265842336588027119e-03,2.001444809138774872e-03
8.693478370955611823e+00,-8.488618000598741054e-02,-8.453956991434097290e-02
1.259506956732419525e+01,1.248616642176534133e-02,1.360103022307157516e-02
1.929323754068717633e+01,-3.616984884764275904e-02,-3.587923943996429443e-02
1.164716620283733128e+01,5.776554032343059197e-02,5.764308199286460876e-02
2.446219124648018450e+01,-2.818713474680596687e-02,-2.803609892725944519e-02
2.317388059640411413e+01,3.668178317239891711e-03,4.091358743607997894e-03
2.472928003978864098e+01,-2.776855346880119021e-02,-2.766345813870429993e-02
1.841341563331815223e+01,-1.658685030014550241e-02,-1.605652272701263428e-02
2.487591702906253310e+00,-1.818686220393809228e-01,-1.823256015777587891e-01
1.895806729497327092e+00,1.588539510509393363e-02,1.750586554408073425e-02
6.326338477319907838e+00,9.709880797102105054e-02,9.661414474248886108e-02
2.460882823104169148e+01,-2.831533295942183920e-02,-2.817794308066368103e-02
6.745301290352775148e+00,7.447271529545713975e-02,7.412085682153701782e-02
2.105288136013760969e+00,-6.525824872107820196e-02,-6.400121003389358521e-02
2.188033291116513723e+01,3.169227368901914726e-02,3.061721846461296082e-02
7.881737920704431133e+00,-4.187819221246442958e-02,-4.158051684498786926e-02
2.117857019933508056e+01,1.926442248823444572e-02,1.798865571618080139e-02
2.325767315901068955e+01,6.508373852458225776e-04,1.065361313521862030e-03
2.075960738630221414e+01,4.091607829004727422e-03,2.923936583101749420e-03
1.824059347294209488e+01,-9.296503126451617638e-03,-8.808317594230175018e-03
2.607519807665672928e+01,5.737118348542849348e-03,4.408716224133968353e-03
2.227834758354635980e+01,2.912842808015956783e-02,2.861106023192405701e-02
9.232892992735429516e+00,-7.341412244445080781e-02,-7.366057485342025757e-02
9.107204148825568168e+00,-7.877421584112410946e-02,-7.885556668043136597e-02
9.164811540329977912e-01,4.983164238234820131e-01,4.973458647727966309e-01
1.348012850985612943e+01,-3.859004371980014753e-02,-3.756651654839515686e-02
5.603627629550598233e-01,6.911985900341648392e-01,6.926993727684020996e-01
2.169703668046325618e+01,3.046614813484573026e-02,2.924326062202453613e-02
3.859694915588896436e+00,-2.308070316770340913e-01,-2.305702865123748779e-01
2.397514697632947644e+01,-2.163212872123239025e-02,-2.147451788187026978e-02
1.564302403213831205e+01,1.163339146285904957e-02,1.017490681260824203e-02
1.143244776115798622e+01,5.972677638364059377e-02,5.922727659344673157e-02
1.942940045963524875e+00,-3.324571735748924582e-03,-1.729586161673069000e-03
1.969648924823131253e+01,-3.243309754139021145e-02,-3.271760419011116028e-02
1.224418821140917046e+01,3.423169555415748327e-02,3.509492799639701843e-02
6.897175310077190424e+00,6.135915765846700065e-02,6.109501048922538757e-02
3.047954465337714414e+00,-2.694538073180745563e-01,-2.714455127716064453e-01
2.164990336399705839e+01,2.990514357569461212e-02,2.865717560052871704e-02
2.423176169931210566e+01,-2.622115216854868300e-02,-2.607568725943565369e-02
1.481557247639839581e+01,-3.165114338410069533e-02,-3.256285563111305237e-02
8.080745256895042417e+00,-5.855527877437301937e-02,-5.816589668393135071e-02
1.874858588845683682e+00,2.459032163138340568e-02,2.621079236268997192e-02
9.086256008173926091e+00,-7.952101144093075280e-02,-7.957547158002853394e-02
1.393051353857885255e+00,2.485034324907642311e-01,2.484680116176605225e-01
8.117404503035418273e+00,-6.124992160965960636e-02,-6.084674969315528870e-02
2.367663597204355952e+01,-1.361983405139075530e-02,-1.337091345340013504e-02
9.751359473863603355e+00,-3.870508367644703851e-02,-3.952601924538612366e-02
9.814203895818534917e+00,-3.357042222188629660e-02,-3.443684056401252747e-02
1.344346926371575357e+01,-3.710053149089781455e-02,-3.606064245104789734e-02
1.979599292103900732e+00,-1.789517088709027121e-02,-1.634387671947479248e-02
1.493078724998243523e+01,-2.625089949806852160e-02,-2.731183543801307678e-02
2.324719908868486939e+01,1.027796686762283852e-03,1.444152556359767914e-03
2.340954718344749441e+00,-1.423094078622340608e-01,-1.420399099588394165e-01
1.239082519597067211e+01,2.553958784464107484e-02,2.654221281409263611e-02
2.402228029279567423e+01,-2.265093731193136908e-02,-2.249955758452415466e-02
2.201125879023790688e+01,3.162742763336746227e-02,3.070564195513725281e-02
