# Time, Target, Prediction
1.822488236745336110e+01,-8.597671690182957099e-03,-7.115934044122695923e-03
2.206362914186701829e+01,3.127483186684346106e-02,3.159197047352790833e-02
5.153242600827876885e+00,-4.476707792496355254e-02,-4.592516273260116577e-02
1.071497394383920110e+01,1.395270524704531404e-02,1.568885520100593567e-02
1.697846799868057843e+01,3.882686977350428142e-02,3.975624218583106995e-02
2.911791551102032027e+00,-2.335109976571117518e-01,-2.328903228044509888e-01
1.605151277484536010e+01,1.689296430329230436e-02,1.798396930098533630e-02
1.052644067797440997e+01,-2.545964782150295005e-03,-7.804222404956817627e-04
1.578442398153690363e+01,1.895016534787366969e-03,3.250982612371444702e-03
1.780591955442049468e+01,1.312309517121743735e-02,1.446956768631935120e-02
2.508539843557896720e+00,-1.134310305891906290e-01,-1.126726418733596802e-01
1.239606223113358396e+01,2.744190984431660665e-02,2.965753152966499329e-02
1.595724614191296453e+01,1.189369477192856774e-02,1.307287067174911499e-02
5.074687073384214209e+00,-6.104001651336099510e-02,-6.216285377740859985e-02
2.309008803379754227e+01,9.693836921646298288e-03,1.038725301623344421e-02
2.457740602006422392e+01,-3.642806040101968096e-02,-3.552901372313499451e-02
1.227037338722372262e+01,3.484895046345391073e-02,3.701994195580482483e-02
2.327338426449941977e+01,2.397207493310444300e-03,3.166556358337402344e-03
1.794731950381908803e+01,6.005017339148781622e-03,7.400598376989364624e-03
2.213694763414776645e+01,3.133082577044466605e-02,3.167590126395225525e-02
5.483175816091260479e+00,1.634535453292115803e-02,1.500701904296875000e-02
2.262399190429847451e+01,2.482435443595669769e-02,2.537211775779724121e-02
1.818298608615007694e+01,-6.387782955874300554e-03,-4.918683320283889771e-03
7.939345307496449067e+00,-5.275830511959382629e-02,-5.104100704193115234e-02
2.533677611868629853e+01,-2.839468493434732857e-02,-2.748650312423706055e-02
1.759643814790405969e+01,2.268982943671715019e-02,2.394991740584373474e-02
1.810443055870641516e+01,-2.230625266517520262e-03,-7.855705916881561279e-04
2.363473969074027181e+01,-1.230610481042149901e-02,-1.137085631489753723e-02
2.144565899264353703e+01,1.988222662688099093e-02,2.018686011433601379e-02
1.154242549957911557e+01,5.375554123741284329e-02,5.553950741887092590e-02
1.041646293955328240e+01,-1.288523091465843678e-02,-1.111613214015960693e-02
2.068105185885855235e+01,-1.296086322774030013e-02,-1.221141964197158813e-02
2.407988767958769571e+01,-2.761484518931779653e-02,-2.667509391903877258e-02
1.131199595712342854e+00,5.739671025796461157e-01,5.745247602462768555e-01
2.547293903292197825e+01,-2.456046784716195072e-02,-2.378880232572555542e-02
1.466369845667398231e+01,-6.091678986716528299e-02,-5.874924361705780029e-02
2.208457728251866214e+01,3.131983077932183612e-02,3.164467588067054749e-02
1.870145256727824901e+01,-3.157363345940250587e-02,-2.996405586600303650e-02
2.046633341717920729e+01,-2.287774029473467127e-02,-2.200724557042121887e-02
2.477117632109192513e+01,-3.682891715011534645e-02,-3.587109223008155823e-02
1.134865519855141436e+01,5.024407398155893156e-02,5.194253847002983093e-02
1.163145509734859928e+01,5.408456378119372299e-02,5.591985955834388733e-02
6.137805211455115817e+00,8.541773732818411236e-02,8.421306312084197998e-02
2.454598380908675992e+01,-3.619639315078275466e-02,-3.530366346240043640e-02
7.478486213160294938e+00,2.891865023404415098e-03,3.801655024290084839e-03
1.109727751073169166e+01,4.008614871751575021e-02,4.175065085291862488e-02
1.022792967368849126e+01,-3.127431465213464934e-02,-2.951691299676895142e-02
1.538640930915567928e+01,-2.320393203694026338e-02,-2.145770937204360962e-02
2.522679838026517274e+01,-3.104760628405468792e-02,-3.006748482584953308e-02
2.436792461354779249e+01,-3.402278660189505394e-02,-3.314018249511718750e-02
2.160277004753086061e+01,2.451894739491825362e-02,2.478102967143058777e-02
1.051596660764858804e+01,-3.512025621530022110e-03,-1.745637506246566772e-03
