# Time, Target, Prediction
1.822488236731958011e+01,-7.633297242928467966e-03,-8.035726845264434814e-03
2.206362914179779011e+01,2.696393419392504459e-02,2.803187631070613861e-02
5.153242600474271740e+00,1.144187616808190269e-02,1.102032326161861420e-02
1.071497394357912825e+01,3.395373872334107174e-02,3.399690985679626465e-02
1.697846799852583644e+01,3.456895201984721416e-02,3.406126052141189575e-02
2.911791550710733922e+00,-2.159981028341802500e-01,-2.168355286121368408e-01
1.605151277467502524e+01,2.617749090773156470e-02,2.667388878762722015e-02
1.052644067771116632e+01,2.278145233548523746e-02,2.332263253629207611e-02
1.578442398136208169e+01,1.667704861007639205e-02,1.705709658563137054e-02
1.780591955427966866e+01,8.686971233455751187e-03,8.808096870779991150e-03
2.508539843159816929e+00,-1.539419313044089743e-01,-1.551130115985870361e-01
1.239606223090178183e+01,2.243499030287630230e-02,2.118188701570034027e-02
1.595724614174104872e+01,2.423159298750331841e-02,2.358784340322017670e-02
5.074687073029288342e+00,3.885833021313970658e-04,-4.467982798814773560e-04
2.309008803374558028e+01,5.879296184476094991e-03,6.100526079535484314e-03
2.457740602003727304e+01,-2.458094609502631603e-02,-2.446656860411167145e-02
1.227037338698980840e+01,2.811005131599757928e-02,2.786095254123210907e-02
2.327338426445054154e+01,-7.323482676544785120e-04,3.249477595090866089e-04
1.794731950368063522e+01,3.450917027852858868e-03,3.069242462515830994e-03
2.213694763407977462e+01,2.624692488133444773e-02,2.753059379756450653e-02
5.483175815743204673e+00,5.286453937972699496e-02,5.142194777727127075e-02
2.262399190423867523e+01,1.861170835711656660e-02,1.938205026090145111e-02
1.818298608601558897e+01,-6.417670106632391604e-03,-6.409183144569396973e-03
7.939345307189697998e+00,-4.055543307495847183e-02,-4.198813438415527344e-02
2.533677611867211610e+01,-1.568558732533841329e-02,-1.433312334120273590e-02
1.759643814775970938e+01,1.679045386357536432e-02,1.695670746266841888e-02
1.810443055857060202e+01,-3.639175563156003303e-03,-3.297820687294006348e-03
2.363473969069746516e+01,-1.130699639604925907e-02,-1.050528325140476227e-02
2.144565899256391717e+01,2.416215972982361723e-02,2.382235042750835419e-02
1.154242549933295692e+01,5.069474911244777754e-02,5.185185372829437256e-02
1.041646293928818956e+01,1.561382244022939576e-02,1.627088151872158051e-02
2.068105185876607166e+01,9.064770557157680875e-04,1.708557829260826111e-03
2.407988767955237464e+01,-2.107271426410473741e-02,-2.051012404263019562e-02
1.131199595291100479e+00,3.336805733637521754e-01,3.332053124904632568e-01
2.547293903291008732e+01,-1.101766191328149361e-02,-1.096847094595432281e-02
1.466369845648031323e+01,-3.302327089037582902e-02,-3.271675109863281250e-02
2.208457728244978568e+01,2.808336389915528503e-02,2.790996991097927094e-02
1.870145256715248294e+01,-2.438092008042582956e-02,-2.367229200899600983e-02
2.046633341708311704e+01,-6.155546436673427040e-03,-5.941594019532203674e-03
2.477117632106823208e+01,-2.452974915933393493e-02,-2.361982502043247223e-02
1.134865519830199609e+01,5.298984033291311707e-02,5.232604593038558960e-02
1.163145509710393810e+01,5.028510748661850494e-02,5.069442838430404663e-02
6.137805211118069870e+00,8.672798793284704211e-02,8.565856516361236572e-02
2.454598380905927613e+01,-2.536997635758034275e-02,-2.447688020765781403e-02
7.478486212845793624e+00,-2.064267732554756602e-04,-1.756466925144195557e-03
1.109727751047804922e+01,4.808366320677740641e-02,4.862994700670242310e-02
1.022792967342022763e+01,2.220682366808129308e-03,3.142138943076133728e-03
1.538640930897416403e+01,-1.089068462162312871e-03,-9.444076567888259888e-04
2.522679838024913934e+01,-1.710196656713498797e-02,-1.680068112909793854e-02
2.436792461351731731e+01,-2.446332193560000340e-02,-2.386021055281162262e-02
2.160277004745388396e+01,2.645943828247375451e-02,2.629884891211986542e-02
1.051596660738516853e+01,2.202902783206941995e-02,2.267457358539104462e-02
2.352476195227448841e+01,-8.029768914981734104e-03,-7.371971383690834045e-03
1.758072704227071270e+01,1.786529637120027811e-02,1.753824017941951752e-02
1.054215178320016300e+01,2.356436641123512213e-02,2.428459934890270233e-02
4.844257525857336155e+00,-3.642324484453096645e-02,-3.714356571435928345e-02
2.238308828674072615e+01,2.385367065369048759e-02,2.438547275960445404e-02
2.599664254920998019e+01,2.724496861738054040e-03,3.425246104598045349e-03
8.693478370661543053e+00,-7.364949543498841567e-02,-7.372886687517166138e-02
1.259506956709573977e+01,1.085447345089557772e-02,9.918300434947013855e-03
