# Time, Target, Prediction
1.822488236731958011e+01,-7.891516545540771740e-03,-7.690982893109321594e-03
2.206362914179779011e+01,2.747291693863617573e-02,2.804969064891338348e-02
5.153242600474271740e+00,1.169574909295324414e-02,1.069788075983524323e-02
1.071497394357912825e+01,3.344588022701962260e-02,3.333017975091934204e-02
1.697846799852583644e+01,3.423661388984923504e-02,3.450252860784530640e-02
2.911791550710733922e+00,-2.157004667197839065e-01,-2.167986482381820679e-01
1.605151277467502524e+01,2.646341930882040172e-02,2.682366780936717987e-02
1.052644067771116632e+01,2.267106513542028676e-02,2.258886210620403290e-02
1.578442398136208169e+01,1.676408099423410195e-02,1.712744496762752533e-02
1.780591955427966866e+01,9.000106406146669152e-03,9.223917499184608459e-03
2.508539843159816929e+00,-1.539075040346190582e-01,-1.551130414009094238e-01
1.239606223090178183e+01,2.175565509270769790e-02,2.115872316062450409e-02
1.595724614174104872e+01,2.334056831704579490e-02,2.370687387883663177e-02
5.074687073029288342e+00,2.302483092577745083e-04,-7.943008095026016235e-04
2.309008803374558028e+01,5.543534685756201091e-03,5.965372547507286072e-03
2.457740602003727304e+01,-2.486481288614277377e-02,-2.424106933176517487e-02
1.227037338698980840e+01,2.837699735629882480e-02,2.779499255120754242e-02
2.327338426445054154e+01,-2.334882703101115453e-04,1.708921045064926147e-04
1.794731950368063522e+01,3.251450139178089106e-03,3.461005166172981262e-03
2.213694763407977462e+01,2.696554008014921677e-02,2.752931974828243256e-02
5.483175815743204673e+00,5.211051299284223670e-02,5.122151225805282593e-02
2.262399190423867523e+01,1.880876538987154289e-02,1.930013112723827362e-02
1.818298608601558897e+01,-6.257190991111718885e-03,-6.057558581233024597e-03
7.939345307189697998e+00,-4.110424227289289495e-02,-4.166232049465179443e-02
2.533677611867211610e+01,-1.473803683397690786e-02,-1.388427801430225372e-02
1.759643814775970938e+01,1.715664901085719660e-02,1.740295998752117157e-02
1.810443055857060202e+01,-3.133233112186072089e-03,-2.933027222752571106e-03
2.363473969069746516e+01,-1.106981179789480636e-02,-1.065343059599399567e-02
2.144565899256391717e+01,2.330908910046879459e-02,2.400669269263744354e-02
1.154242549933295692e+01,5.199459436453171546e-02,5.160636454820632935e-02
1.041646293928818956e+01,1.558295091517491321e-02,1.551458798348903656e-02
2.068105185876607166e+01,1.186792882777956519e-03,1.887639984488487244e-03
2.407988767955237464e+01,-2.102653197324690082e-02,-2.051755972206592560e-02
1.131199595291100479e+00,3.339491613756308541e-01,3.318910896778106689e-01
2.547293903291008732e+01,-1.137607590185654542e-02,-1.047594286501407623e-02
1.466369845648031323e+01,-3.277993989519863149e-02,-3.275144845247268677e-02
2.208457728244978568e+01,2.734915395773010113e-02,2.792213670909404755e-02
1.870145256715248294e+01,-2.367284796161806329e-02,-2.339946664869785309e-02
2.046633341708311704e+01,-6.446694398754893029e-03,-5.776533856987953186e-03
2.477117632106823208e+01,-2.399262835678700467e-02,-2.332561649382114410e-02
1.134865519830199609e+01,5.231796349271634894e-02,5.200482904911041260e-02
1.163145509710393810e+01,5.089648817778813505e-02,5.047508329153060913e-02
6.137805211118069870e+00,8.651177332879274318e-02,8.582789450883865356e-02
2.454598380905927613e+01,-2.488129766245798791e-02,-2.426418103277683258e-02
7.478486212845793624e+00,-6.849593351632894418e-04,-1.310640946030616760e-03
1.109727751047804922e+01,4.839488471006736514e-02,4.817384481430053711e-02
1.022792967342022763e+01,2.428550288813555343e-03,2.373209223151206970e-03
1.538640930897416403e+01,-1.221852583208277295e-03,-9.400639683008193970e-04
2.522679838024913934e+01,-1.719616014973905649e-02,-1.638403721153736115e-02
2.436792461351731731e+01,-2.430640074796940400e-02,-2.372797764837741852e-02
