# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,1.050000000000000065e-02
1.000200139987997673e-03,6.999953923499114161e+00,1.044849755645715049e-02
2.000400179975995313e-03,6.999815695106734736e+00,1.039741590965063620e-02
3.000600219963992735e-03,6.999585318098380249e+00,1.034674898017532221e-02
4.000800259951990158e-03,6.999262797933146985e+00,1.029649076810881976e-02
5.001000299939988014e-03,6.998848142253553561e+00,1.024663535204686435e-02
6.001200339927985003e-03,6.998341360885323326e+00,1.019717688815055187e-02
7.001400379915982859e-03,6.997742465837112569e+00,1.014810960920527368e-02
8.001600419903980715e-03,6.997051471300168579e+00,1.009942782369123611e-02
9.001800459891977704e-03,6.996268393647928185e+00,1.005112591486547260e-02
1.000200049987997643e-02,6.995393251435557680e+00,1.000319833985502567e-02
1.100220053986797342e-02,6.994426065399426129e+00,9.955639628761385473e-03
1.200240057985597041e-02,6.993366858456528057e+00,9.908444383775862410e-03
1.300260061984396913e-02,6.992215655703825306e+00,9.861607278305886681e-03
1.400280065983196612e-02,6.990972484417556032e+00,9.815123056112004182e-03
1.500300069981996484e-02,6.989637374052442453e+00,9.768986530455485429e-03
1.600320073980796357e-02,6.988210356240882604e+00,9.723192583256398333e-03
1.700340077979596229e-02,6.986691464792043504e+00,9.677736164262044222e-03
1.800360081978395754e-02,6.985080735690912590e+00,9.632612290225569737e-03
1.900380085977195627e-02,6.983378207097283408e+00,9.587816044094676568e-03
2.000400089975995499e-02,6.981583919344675593e+00,9.543342574210283286e-03
2.100420093974795024e-02,6.979697914939202441e+00,9.499187093515016125e-03
2.200440097973594897e-02,6.977720238558365651e+00,9.455344878771424627e-03
2.300460101972394769e-02,6.975650937049803879e+00,9.411811269789783357e-03
2.400480105971194295e-02,6.973490059429961363e+00,9.368581668665301038e-03
2.500500109969994167e-02,6.971237656882712130e+00,9.325651539024804731e-03
2.600520113968794039e-02,6.968893782757914934e+00,9.283016405282500105e-03
2.700540117967593912e-02,6.966458492569910455e+00,9.240671851905015929e-03
2.800560121966393437e-02,6.963931843995948334e+00,9.198613522685285260e-03
2.900580125965193309e-02,6.961313896874568918e+00,9.156837120025457591e-03
3.000600129963993182e-02,6.958604713203913938e+00,9.115338404228519320e-03
3.100620133962792707e-02,6.955804357139974137e+00,9.074113192798598237e-03
3.200640137961592580e-02,6.952912894994784487e+00,9.033157359749816734e-03
3.300660141960392452e-02,6.949930395234551916e+00,8.992466834923653826e-03
3.400680145959192324e-02,6.946856928477725290e+00,8.952037603314581815e-03
3.500700149957992197e-02,6.943692567493004120e+00,8.911865704404008798e-03
3.600720153956791375e-02,6.940437387197285979e+00,8.871947231502332748e-03
3.700740157955591247e-02,6.937091464653557082e+00,8.832278331099046448e-03
3.800760161954391120e-02,6.933654879068715360e+00,8.792855202220789188e-03
3.900780165953190992e-02,6.930127711791340239e+00,8.753674095797227273e-03
4.000800169951990864e-02,6.926510046309396706e+00,8.714731314034673132e-03
4.100820173950790737e-02,6.922801968247883408e+00,8.676023209797392721e-03
4.200840177949589915e-02,6.919003565366422137e+00,8.637546185996398257e-03
4.300860181948389788e-02,6.915114927556771818e+00,8.599296694985752304e-03
4.400880185947189660e-02,6.911136146840312300e+00,8.561271237966214948e-03
4.500900189945989532e-02,6.907067317365433112e+00,8.523466364396168130e-03
4.600920193944789405e-02,6.902908535404891133e+00,8.485878671409692250e-03
4.700940197943589277e-02,6.898659899353093650e+00,8.448504803241807179e-03
4.800960201942388456e-02,6.894321509723319252e+00,8.411341450660607053e-03
4.900980205941188328e-02,6.889893469144899640e+00,8.374385350406425912e-03
5.001000209939988200e-02,6.885375882360306399e+00,8.337633284637754882e-03
5.101020213938788073e-02,6.880768856222220897e+00,8.301082080383909156e-03
5.201040217937587945e-02,6.876072499690506490e+00,8.264728609004404897e-03
5.301060221936387817e-02,6.871286923829146964e+00,8.228569785654848284e-03
5.401080225935187690e-02,6.866412241803111272e+00,8.192602568759366211e-03
5.501100229933986868e-02,6.861448568875172072e+00,8.156823959489434631e-03
5.601120233932786741e-02,6.856396022402648782e+00,8.121231001249003961e-03
5.701140237931586613e-02,6.851254721834109773e+00,8.085820779165956221e-03
5.801160241930386485e-02,6.846024788706002617e+00,8.050590419589670130e-03
5.901180245929186358e-02,6.840706346639230162e+00,8.015537089594706316e-03
6.001200249927986230e-02,6.835299521335667094e+00,7.980657996490515479e-03
6.101220253926785408e-02,6.829804440574624991e+00,7.945950387337096660e-03
6.201240257925585281e-02,6.824221234209244535e+00,7.911411548466529275e-03
6.301260261924385153e-02,6.818550034162845996e+00,7.877038805010280059e-03
