# Time, Target, Prediction
1.139055147985470207e+01,5.216369476541028727e-02,4.288682341575622559e-02
1.652808297467024445e+01,3.599526161005072583e-02,2.850589156150817871e-02
1.764880850424555669e+00,7.645578557826668287e-02,8.117397129535675049e-02
2.325243612856016995e+00,-1.062742999038792796e-01,-1.190046742558479309e-01
1.222324007075752661e+01,3.107644571445967660e-02,2.761527895927429199e-02
1.388338021740026562e+01,-4.332392040399465905e-02,-3.547486662864685059e-02
3.157932203758842427e+00,-2.318025423901811377e-01,-2.408063709735870361e-01
1.500934277742610057e+01,-1.978448338158760381e-02,-1.930436491966247559e-02
1.010747786494154177e+01,-8.168952698416177480e-03,-1.050886511802673340e-02
1.950795598236652140e+01,-3.102993168243424124e-02,-2.398544549942016602e-02
2.074389628081348391e+01,2.981830150690780584e-03,2.026885747909545898e-03
1.251651403988053346e+01,1.546216702386206572e-02,1.511988043785095215e-02
1.567968327827868791e+01,1.175238716358508601e-02,6.609052419662475586e-03
1.102919605361385180e+01,4.572105248961005203e-02,3.663459420204162598e-02
1.239082519597067211e+01,2.243006014428471778e-02,2.074226737022399902e-02
3.042717430174803450e+00,-2.258263290010637803e-01,-2.367160022258758545e-01
2.095861472249282542e+01,1.029455744379914085e-02,7.783681154251098633e-03
4.561457627418950445e+00,-9.014840989928138426e-02,-7.863387465476989746e-02
2.390706551921163481e+01,-1.763002496557565524e-02,-1.061034202575683594e-02
4.828546420727403365e+00,-4.392960052693183765e-02,-3.274749219417572021e-02
2.513253174733277362e+01,-1.941983194555458453e-02,-1.685285568237304688e-02
2.472404300462572735e+01,-2.454215290464644914e-02,-1.880940794944763184e-02
1.870668960244115908e+01,-2.366363673430593381e-02,-1.684844493865966797e-02
1.087732203388943830e+01,4.006486636828002212e-02,3.157618641853332520e-02
1.442803187434299339e+01,-4.010746498583302178e-02,-3.459927439689636230e-02
4.336265115413784343e+00,-1.289998418422805826e-01,-1.178126931190490723e-01
6.232071849099900529e-01,5.857222882091172034e-01,5.464875698089599609e-01
5.273694409574826381e+00,2.380604323561842997e-02,3.065671771764755249e-02
6.640560587094558542e+00,7.024003714522931985e-02,6.630896031856536865e-02
2.360331747976280425e+01,-9.921946679228016777e-03,-4.204243421554565430e-03
1.455372071825285474e+01,-3.693279758173364374e-02,-3.236988186836242676e-02
1.743409005785382249e+01,2.335082264521701548e-02,2.055600285530090332e-02
2.005260763930924739e+01,-2.044794506262363407e-02,-1.621893048286437988e-02
2.985110043382784184e+00,-2.214839640611045712e-01,-2.334259152412414551e-01
1.340681001757537949e+01,-3.124477694833904112e-02,-2.420839667320251465e-02
2.456169491457549015e+01,-2.502950058290571989e-02,-1.847228407859802246e-02
5.923086769775771643e+00,7.969872389636602217e-02,7.867711782455444336e-02
8.834878320354205172e+00,-7.497577884362312262e-02,-6.719729304313659668e-02
1.487841689835332737e+01,-2.543961857718549449e-02,-2.372846007347106934e-02
1.304545459133452923e+01,-1.447624767751721532e-02,-9.730249643325805664e-03
1.567444624311577606e+01,1.152055429651768596e-02,6.411522626876831055e-03
2.558815380650602123e+01,-8.694172387479558867e-03,-1.094695925712585449e-02
2.548865013841071203e+01,-1.134461468585204642e-02,-1.248124241828918457e-02
9.039122691707728308e+00,-7.159046875778837804e-02,-6.456759572029113770e-02
2.362950265557736174e+01,-1.066192842597356132e-02,-4.798918962478637695e-03
2.560910194715766153e+01,-8.121788425662376451e-03,-1.061096787452697754e-02
1.517692790263924607e+01,-1.201921553496484996e-02,-1.310548186302185059e-02
1.871192663760407271e+01,-2.380041945065339282e-02,-1.696413755416870117e-02
1.107109233491713951e+01,4.698434552299438766e-02,3.778371214866638184e-02
1.647047558787822652e+01,3.541087053606033208e-02,2.786320447921752930e-02
1.173095877015629451e+00,3.242959982844549893e-01,3.609541654586791992e-01
2.245116974392242071e+01,2.291968485448698731e-02,1.968038082122802734e-02
2.289631773276984106e+01,1.186283881112473217e-02,1.214909553527832031e-02
7.598938021907244433e+00,-1.263954515390371819e-02,-9.123116731643676758e-03
2.603330179535344158e+01,3.852500188199883650e-03,-3.214418888092041016e-03
1.604627573968244647e+01,2.595612815240453536e-02,1.897826790809631348e-02
1.051072957248567796e+01,2.028753253490620662e-02,1.422992348670959473e-02
2.149279230910973482e+01,2.406620878223125065e-02,1.881220936775207520e-02
1.363200252958054648e+01,-3.860141798186303430e-02,-3.084090352058410645e-02
2.004213356898342724e+01,-2.074529793557407589e-02,-1.644629240036010742e-02
2.205839210670410466e+01,2.770957549863714564e-02,2.248403429985046387e-02
2.215265874434888982e+00,-7.584930543105719569e-02,-8.447986841201782227e-02
2.528964280222009720e+01,-1.618495085857567933e-02,-1.517426967620849609e-02
2.367663597204355952e+01,-1.196283125269889842e-02,-5.852788686752319336e-03
1.870145256727824901e+01,-2.352584605956418995e-02,-1.673176884651184082e-02
2.649939792956489626e+00,-1.779061923755158037e-01,-1.952884644269943237e-01
1.331778041980589578e+01,-2.761501668730602030e-02,-2.102228999137878418e-02
1.015984822128304099e+00,3.957769509151061738e-01,4.327426850795745850e-01
1.065736655704718316e+01,2.912344078680849380e-02,2.195027470588684082e-02
5.153242600827876885e+00,7.277361642983435144e-03,1.580286771059036255e-02
1.104490715910258380e+01,4.621021609222626669e-02,3.707805275917053223e-02
9.625670629953743784e+00,-4.312702880626638480e-02,-4.057970643043518066e-02
