# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,7.000000000000000000e+00
1.256888539103738055e-03,7.021046620211436107e+00,6.999953923500996211e+00
2.513776978207476077e-03,7.041954919962400972e+00,6.999815695110496172e+00
3.770665417311214098e-03,7.062724737123883045e+00,6.999585318104022846e+00
5.027553856414951686e-03,7.083355912087736073e+00,6.999262797940667191e+00
6.284442295518689707e-03,7.103848287772250636e+00,6.998848142262949601e+00
7.541330734622427728e-03,7.124201709627747903e+00,6.998341360896596974e+00
8.798219173726166617e-03,7.144416025642035706e+00,6.997742465850263827e+00
1.005510761282990377e-02,7.164491086345819326e+00,6.997051471315193893e+00
1.131199605193364092e-02,7.184426744818050992e+00,6.996268393664826668e+00
1.256888449103737981e-02,7.204222856691141708e+00,6.995393251454328443e+00
1.382577293014111870e-02,7.223879280156200622e+00,6.994426065420069172e+00
1.508266136924485586e-02,7.243395875968076325e+00,6.993366858479038939e+00
1.633954980834859474e-02,7.262772507450431902e+00,6.992215655728206691e+00
1.759643824745233537e-02,7.282009040500681429e+00,6.990972484443803481e+00
1.885332668655607252e-02,7.301105343594865182e+00,6.989637374080556853e+00
2.011021512565980968e-02,7.320061287792460014e+00,6.988210356270862178e+00
2.136710356476354683e-02,7.338876746741092028e+00,6.986691464823885589e+00
2.262399200386728398e-02,7.357551596681208395e+00,6.985080735724617185e+00
2.388088044297102461e-02,7.376085716450622165e+00,6.983378207132846960e+00
2.513776888207476176e-02,7.394478987489029542e+00,6.981583919382098991e+00
2.639465732117849892e-02,7.412731293842432123e+00,6.979697914978481244e+00
2.765154576028223954e-02,7.430842522167459663e+00,6.977720238599501634e+00
2.890843419938597669e-02,7.448812561735659088e+00,6.975650937092792603e+00
3.016532263848971385e-02,7.466641304437686699e+00,6.973490059474801939e+00
3.142221107759345100e-02,7.484328644787392015e+00,6.971237656929402782e+00
3.267909951669718815e-02,7.501874479925900729e+00,6.968893782806454773e+00
3.393598795580092531e-02,7.519278709625524471e+00,6.966458492620295040e+00
3.519287639490466940e-02,7.536541236293678558e+00,6.963931844048176778e+00
3.644976483400840656e-02,7.553661964976671861e+00,6.961313896928639444e+00
3.770665327311214371e-02,7.570640803363443361e+00,6.958604713259824770e+00
3.896354171221588086e-02,7.587477661789205463e+00,6.955804357197722609e+00
4.022043015131961802e-02,7.604172453239010032e+00,6.952912895054369713e+00
4.147731859042335517e-02,7.620725093351259360e+00,6.949930395295970342e+00
4.273420702952709233e-02,7.637135500421108780e+00,6.946856928540975140e+00
4.399109546863082948e-02,7.653403595403811543e+00,6.943692567558082729e+00
4.524798390773456663e-02,7.669529301917997977e+00,6.940437387264193347e+00
4.650487234683831073e-02,7.685512546248808974e+00,6.937091464722289658e+00
4.776176078594204788e-02,7.701353257351051695e+00,6.933654879139269589e+00
4.901864922504578503e-02,7.717051366852207828e+00,6.930127711863715234e+00
5.027553766414952219e-02,7.732606809055377894e+00,6.926510046383588026e+00
5.153242610325325934e-02,7.748019520942161620e+00,6.922801968323891941e+00
5.278931454235699650e-02,7.763289442175436150e+00,6.919003565444240778e+00
5.404620298146073365e-02,7.778416515102077433e+00,6.915114927636402342e+00
5.530309142056447774e-02,7.793400684755602548e+00,6.911136146921750267e+00
5.655997985966821490e-02,7.808241898858717001e+00,6.907067317448675858e+00
5.781686829877195205e-02,7.822940107825782086e+00,6.902908535489935993e+00
5.907375673787568920e-02,7.837495264765248493e+00,6.898659899439935295e+00
6.033064517697942636e-02,7.851907325481941591e+00,6.894321509811959459e+00
6.158753361608316351e-02,7.866176248479315625e+00,6.889893469235330414e+00
6.284442205518689373e-02,7.880301994961623535e+00,6.885375882452529517e+00
6.410131049429063088e-02,7.894284528835981973e+00,6.880768856316232807e+00
6.535819893339436804e-02,7.908123816714408783e+00,6.876072499786304526e+00
6.661508737249810519e-02,7.921819827915718371e+00,6.871286923926724910e+00
6.787197581160184234e-02,7.935372534467371786e+00,6.866412241902468239e+00
6.912886425070557950e-02,7.948781911107274389e+00,6.861448568976304507e+00
7.038575268980933053e-02,7.962047935285418099e+00,6.856396022505554022e+00
7.164264112891306768e-02,7.975170587165545832e+00,6.851254721938786041e+00
7.289952956801680484e-02,7.988149849626624110e+00,6.846024788812444584e+00
7.415641800712054199e-02,8.000985708264332530e+00,6.840706346747433386e+00
7.541330644622427914e-02,8.013678151392447546e+00,6.835299521445631576e+00
7.667019488532801630e-02,8.026227170044093029e+00,6.829804440686346290e+00
7.792708332443175345e-02,8.038632757972978382e+00,6.824221234322719098e+00
7.918397176353549061e-02,8.050894911654543407e+00,6.818550034278068495e+00
8.044086020263922776e-02,8.063013630286995692e+00,6.812790974542173750e+00
8.169774864174296491e-02,8.074988915792291166e+00,6.806944191167497493e+00
8.295463708084670207e-02,8.086820772817034708e+00,6.801009822265360327e+00
8.421152551995043922e-02,8.098509208733315035e+00,6.794988008002046165e+00
8.546841395905417638e-02,8.110054233639383270e+00,6.788878890594861382e+00
8.672530239815791353e-02,8.121455860360397239e+00,6.782682614308120250e+00
