# Time, Target, Prediction
2.547709542000420768e+00,5.539956259447021969e-01,5.533007979393005371e-01
2.453610722146761702e+01,-4.391093796854132064e-02,-4.445289820432662964e-02
3.095659131826691990e+01,-3.467010325848813440e-02,-3.468837589025497437e-02
2.926665333067468211e+01,-3.122937384940811974e-03,-2.642659470438957214e-03
4.071214242935848659e+00,-3.103829590661438473e-02,-3.131148964166641235e-02
1.629125825169942132e+01,6.977177613425605655e-03,8.038209751248359680e-03
7.431886377352232564e+00,1.057518734950315953e-01,1.047153994441032410e-01
1.427485497104959400e+01,6.828636644471906825e-02,6.731950491666793823e-02
9.473894779926187448e-01,9.984293149799567946e-01,9.981286525726318359e-01
1.619523904785895496e+01,1.333424304457423402e-02,1.437376625835895538e-02
2.605321064214701465e+01,2.928818215162788761e-03,1.977497711777687073e-03
8.072014402955353773e+00,1.447577296422631055e-01,1.442625969648361206e-01
2.997079415883811393e+01,-2.545159753534012234e-02,-2.519619278609752655e-02
2.131626325358392471e+00,7.315935137578805092e-01,7.309032678604125977e-01
5.799559912064274236e+00,-1.192625801051257067e-01,-1.202005743980407715e-01
2.029205841171892644e+01,3.451439986322236975e-02,3.367957472801208496e-02
3.091818363763073396e+00,3.135070979677347380e-01,3.129224777221679688e-01
1.808361672338816106e+01,-5.978815517307654870e-02,-5.986803770065307617e-02
1.138147629532348759e+01,-8.969421720463541248e-02,-8.993124216794967651e-02
1.578555711147295959e+01,3.935627612676322051e-02,4.016657918691635132e-02
1.017803560808962171e+00,1.000000000000000000e+00,9.996947646141052246e-01
1.000520104027677881e+01,6.737301774123145154e-03,7.440106943249702454e-03
2.573314663024545812e+00,5.426219134842573677e-01,5.419305562973022461e-01
2.725665133028088150e+01,3.797654497236638282e-02,3.761073201894760132e-02
3.056611322264901531e+01,-3.485736124605608860e-02,-3.479512035846710205e-02
7.009401880454173117e+00,5.519602863835002676e-02,5.392363667488098145e-02
1.954950990201930594e+01,-1.810322384680326715e-03,-2.884758636355400085e-03
2.732066413284119477e+01,3.859861175992820165e-02,3.827982395887374878e-02
2.375515103023181140e+01,-3.742011260106731935e-02,-3.740079700946807861e-02
2.899779956082137122e+00,3.971575989035320831e-01,3.965232968330383301e-01
2.614922984598748457e+01,6.820504786397270890e-03,5.876759067177772522e-03
2.471534306863649277e+01,-4.176027878191487797e-02,-4.242933541536331177e-02
2.810162032407700039e+01,3.383859139289607104e-02,3.396523743867874146e-02
1.217523504707135729e+01,-7.243788203715259555e-02,-7.361638545989990234e-02
1.543988797764727394e+01,5.763496715110751761e-02,5.810762196779251099e-02
8.718543708814506132e+00,1.321235582904980166e-01,1.322388201951980591e-01
2.417763552712987263e+01,-4.415797853036280973e-02,-4.441604018211364746e-02
