# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,7.000000000000000000e+00
7.001400380036007509e-03,7.116866683131385152e+00,6.999953923507010067e+00
1.400280066007201542e-02,7.232231442854281767e+00,6.999815695122522996e+00
2.100420094010802680e-02,7.346111735500484130e+00,6.999585318122057309e+00
2.800560122014403297e-02,7.458524775815845942e+00,6.999262797964708405e+00
3.500700150018003914e-02,7.569487540389620683e+00,6.998848142292995789e+00
4.200840178021605226e-02,7.679016771036135225e+00,6.998341360932642807e+00
4.900980206025205843e-02,7.787128978129379320e+00,6.997742465892305752e+00
5.601120234028806461e-02,7.893840443891275704e+00,6.997051471363230135e+00
6.301260262032407078e-02,7.999167225634145062e+00,6.996268393718853673e+00
7.001400290036007001e-02,8.103125158958134122e+00,6.995393251514340882e+00
7.701540318039608313e-02,8.205729860904099837e+00,6.994426065486063493e+00
8.401680346043209624e-02,8.306996733062680605e+00,6.993366858551012477e+00
9.101820374046809548e-02,8.406940964640092773e+00,6.992215655806155006e+00
9.801960402050410859e-02,8.505577535481277707e+00,6.990972484527721242e+00
1.050210043005401078e-01,8.602921219050960744e+00,6.989637374170440509e+00
1.120224045805761209e-01,8.698986585373274849e+00,6.988210356366707288e+00
1.190238048606121340e-01,8.793788003930433916e+00,6.986691464925686823e+00
1.260252051406481610e-01,8.887339646521088099e+00,6.985080735832370102e+00
1.330266054206841464e-01,8.979655490078899405e+00,6.983378207246548008e+00
1.400280057007201595e-01,9.070749319451877568e+00,6.981583919501740176e+00
1.470294059807561726e-01,9.160634730143012661e+00,6.979697915104060790e+00
1.540308062607921857e-01,9.249325131012831491e+00,6.977720238731010660e+00
1.610322065408281988e-01,9.336833746944224188e+00,6.975650937230227555e+00
1.680336068208642120e-01,9.423173621470251504e+00,6.973490059618158377e+00
1.750350071009001973e-01,9.508357619365334301e+00,6.971237657078673600e+00
1.820364073809362104e-01,9.592398429200368781e+00,6.968893782961631977e+00
1.890378076609722235e-01,9.675308565862259513e+00,6.966458492781375078e+00
1.960392079410082367e-01,9.757100373038360530e+00,6.963931844215152545e+00
2.030406082210442498e-01,9.837786025666297007e+00,6.961313897101506498e+00
