# Time, Target, Prediction
1.867526739146369508e+01,-2.596412902489523417e-02,-2.608667314052581787e-02
2.226787351322053965e+01,3.460246503377254618e-02,3.451338410377502441e-02
1.004463344298661198e+01,-2.802129204677880278e-02,-2.797934412956237793e-02
2.152945155525010890e+01,2.965803693493046511e-02,2.973829209804534912e-02
7.703678725165461039e+00,-2.189284837145323570e-02,-2.195235341787338257e-02
4.865205666867780110e+00,-9.146894088257956357e-02,-9.158720821142196655e-02
1.003415937266079005e+01,-2.903740992570253213e-02,-2.899712324142456055e-02
2.092195547635245134e+01,7.661271047592142780e-03,7.704600691795349121e-03
5.917849734612861567e+00,8.404562261588982564e-02,8.397814631462097168e-02
9.023411586218996305e+00,-9.828563879848223328e-02,-9.827103465795516968e-02
1.248509182890306768e+01,2.834537699228326102e-02,2.814605832099914551e-02
2.199554768474917310e+01,3.602919748776910874e-02,3.595837950706481934e-02
4.608590948597536818e-01,8.310689942596027890e-01,8.310500979423522949e-01
9.311448520179093080e+00,-8.737043024059076846e-02,-8.733722567558288574e-02
7.478486213160294938e+00,5.303060598894234617e-03,5.230605602264404297e-03
1.660140147166338842e+00,1.944966409821755615e-01,1.945454180240631104e-01
1.456943182374158852e+01,-5.053954271494828093e-02,-5.049912631511688232e-02
1.390956539321481955e+01,-5.499506522253737317e-02,-5.507704615592956543e-02
5.058975967895481318e+00,-4.814235825443985428e-02,-4.826999455690383911e-02
1.088779610421525845e+01,4.514898291080088333e-02,4.516795277595520020e-02
1.832962312254786119e-01,9.411098791018314147e-01,9.410994052886962891e-01
3.514050594836780395e+00,-3.286521800533840909e-01,-3.286756277084350586e-01
1.252175107504344531e+01,2.578201782466476091e-02,2.558037638664245605e-02
8.562552491882840400e+00,-9.446781230802481222e-02,-9.452696144580841064e-02
1.976457070534915417e+01,-3.741278494331708171e-02,-3.742595762014389038e-02
8.248330382108189696e+00,-7.641677172592856171e-02,-7.647183537483215332e-02
1.164716620283733128e+01,6.570691845549203602e-02,6.565415859222412109e-02
2.948450797242408328e+00,-2.942060620044779640e-01,-2.941701710224151611e-01
4.912338983333977893e+00,-8.069824775703726694e-02,-8.081905543804168701e-02
7.436589931857008118e+00,1.041688309273037724e-02,1.034352183341979980e-02
1.319732861105894450e+01,-2.291031949531276146e-02,-2.304334938526153564e-02
5.608864660001120050e+00,5.101196124183020320e-02,5.096417665481567383e-02
1.471606880830309017e+01,-4.521189959371865047e-02,-4.517126828432083130e-02
1.859147482885712321e+01,-2.253125477272381952e-02,-2.267207950353622437e-02
3.864931950751806955e+00,-2.978255397816701455e-01,-2.979110479354858398e-01
1.176761801158428078e+01,6.373070109444800568e-02,6.366765499114990234e-02
2.875132304961656615e+00,-2.811786576676883476e-01,-2.811251282691955566e-01
2.248259195489988471e+01,3.092402485754183056e-02,3.085851669311523438e-02
1.384148393609697969e+01,-5.347592272757952653e-02,-5.357138812541961670e-02
5.367961042507221947e+00,1.307965881356793446e-02,1.299233734607696533e-02
1.925134125938388863e+01,-4.040262653475146931e-02,-4.040159285068511963e-02
6.294916266342442057e+00,9.875755799368926557e-02,9.869645535945892334e-02
2.518490209896188503e+01,-2.593342547516635371e-02,-2.596784383058547974e-02
2.222074019675434187e+01,3.511778641087257014e-02,3.502666950225830078e-02
4.184391095689369067e+00,-2.441838240336191568e-01,-2.442940175533294678e-01
2.380756185111632917e+01,-1.675354935625696789e-02,-1.693242043256759644e-02
1.993739286572520797e+01,-3.318938733070324332e-02,-3.316264599561691284e-02
2.374471742916139760e+01,-1.456777712072137090e-02,-1.477058231830596924e-02
2.535248722417502876e+01,-2.167073334215399369e-02,-2.162028104066848755e-02
9.740885408250171684e-01,5.759854101569626961e-01,5.759438276290893555e-01
6.336812552358117578e-01,7.514728042317299073e-01,7.514586448669433594e-01
1.718271237003410334e+01,4.192157821167247223e-02,4.182663559913635254e-02
2.339383607324636927e+01,-9.874153203117018093e-04,-1.221433281898498535e-03
2.516919099347314770e+01,-2.628463540094954157e-02,-2.632521092891693115e-02
4.315316974762140489e+00,-2.172897564209753385e-01,-2.174136936664581299e-01
1.484175765221295151e+01,-3.964272832144460218e-02,-3.960426151752471924e-02
1.954461522850689548e+01,-4.054343481962856960e-02,-4.056192934513092041e-02
1.246414368825142560e+01,2.979075001256034638e-02,2.959322929382324219e-02
1.392527649870355333e+01,-5.529300720103105110e-02,-5.537158250808715820e-02
1.349583961534486320e+01,-4.035817676064320375e-02,-4.048215597867965698e-02
2.133044421905949761e+01,2.382932060686419190e-02,2.393822371959686279e-02
8.290226663411477404e+00,-7.949659237725643923e-02,-7.955399155616760254e-02
9.175285605943409806e+00,-9.370002795513357463e-02,-9.366831928491592407e-02
5.415094358973418842e+00,2.126195178491032192e-02,2.118512988090515137e-02
5.655997976467317834e+00,5.723724157861594108e-02,5.719071626663208008e-02
1.419236529201200625e+01,-5.729279596678412551e-02,-5.730475485324859619e-02
8.138352643687062127e+00,-6.743787610806052657e-02,-6.748744845390319824e-02
1.599914242321624869e+01,2.692741864219382747e-02,2.698177099227905273e-02
1.141673666038164336e+00,4.835854273191584340e-01,4.835636615753173828e-01
1.456419478857867666e+01,-5.070421981952740603e-02,-5.066398531198501587e-02
7.541330635115224723e+00,-2.367765707275753563e-03,-2.437651157379150391e-03
1.192996610163451976e+01,5.896976494902498450e-02,5.888146162033081055e-02
8.714426511607255676e+00,-9.876334934343543315e-02,-9.880569577217102051e-02
1.850244523108763772e+01,-1.860151402381973740e-02,-1.875589042901992798e-02
2.534201315384920861e+01,-2.196297704428199285e-02,-2.191855013370513916e-02
1.487841689835332737e+01,-3.786497583446040566e-02,-3.782675415277481079e-02
1.800492689061110596e+01,6.614483495743382971e-03,6.482124328613281250e-03
2.504350214956329168e+01,-2.876310153607350428e-02,-2.883829176425933838e-02
1.351155072554598435e+00,3.658638628728906328e-01,3.658716976642608643e-01
3.016532254360249077e+00,-3.044959630303768483e-01,-3.044727742671966553e-01
2.052394080397122522e+01,-1.053603084390776143e-02,-1.047084480524063110e-02
1.613530533745193196e+01,3.308355907055598316e-02,3.311789035797119141e-02
2.524774652091681659e+01,-2.444232494802555181e-02,-2.444851398468017578e-02
3.896354161729272292e+00,-2.934818235977969536e-01,-2.935689091682434082e-01
2.211599949349612260e+01,3.586503495809312964e-02,3.577665984630584717e-02
2.081721477309423207e+01,2.943345158371379368e-03,2.974838018417358398e-03
8.106930432709596346e+00,-6.464773973735885026e-02,-6.469619274139404297e-02
1.015461118140773955e+01,-1.730548195077697901e-02,-1.724483817815780640e-02
8.950093093938242816e+00,-9.950021513474835433e-02,-9.949839115142822266e-02
4.896627877845245003e+00,-8.427522165177353530e-02,-8.439523726701736450e-02
2.728495320400152302e+00,-2.490796056646740753e-01,-2.490019202232360840e-01
2.576621300204498866e+01,-8.128120030898475581e-03,-7.892571389675140381e-03
1.114441082719789122e+01,5.839897563087326215e-02,5.837278068065643311e-02
1.785305287088669246e+01,1.454257648912920219e-02,1.442356407642364502e-02
1.640763116592329496e+01,4.230786181525480333e-02,4.230536520481109619e-02
2.375519149948722131e+01,-1.493897051393361375e-02,-1.513818651437759399e-02
1.717747533958358108e+00,1.635880293969702581e-01,1.636468768119812012e-01
1.009176675945280977e+01,-2.343535773242640813e-02,-2.338545769453048706e-02
2.267112522076467584e+01,2.607085615994929328e-02,2.601996064186096191e-02
1.167335137865188699e+01,6.539508540207310261e-02,6.534060835838317871e-02
1.040075183406455039e+01,6.270664690577274630e-03,6.356343626976013184e-03
1.792113432800453054e+01,1.101678248168598551e-02,1.089252531528472900e-02
1.466369846138637412e+00,3.012011128816711181e-01,3.012253046035766602e-01
1.958651151452257100e+00,4.040082131377901314e-02,4.047057032585144043e-02
1.686325322980892993e+00,1.803903681857472741e-01,1.804439127445220947e-01
6.755775365390985776e-01,7.310796282465237272e-01,7.310661673545837402e-01
1.956556336915853933e+01,-4.036122667205438441e-02,-4.038111865520477295e-02
1.365295067023218678e+01,-4.739201888578176147e-02,-4.751034826040267944e-02
9.992263091357504123e+00,-3.308609481680689635e-02,-3.305274248123168945e-02
1.681088287346743115e+01,4.713315587676395607e-02,4.708415269851684570e-02
6.232071849099900529e-01,7.565083406619661499e-01,7.564933300018310547e-01
2.578192410753371888e+01,-7.561114331602973235e-03,-7.323801517486572266e-03
1.036932962779947509e+00,5.416465489961564961e-01,5.416141748428344727e-01
3.692109790375749157e+00,-3.173122685649147345e-01,-3.173791468143463135e-01
2.490210220016469478e+01,-3.079470200276316141e-02,-3.087645024061203003e-02
1.131723298757394858e+01,6.378377992812617192e-02,6.374289095401763916e-02
2.078579256211676807e+01,1.505913061542734016e-03,1.536399126052856445e-03
4.514324310952752661e+00,-1.730267814116361602e-01,-1.731536686420440674e-01
4.634776119699702157e+00,-1.451088015783674190e-01,-1.452287435531616211e-01
1.081971464709741682e+01,4.067215318986648620e-02,4.070562124252319336e-02
1.261078067281292903e+01,1.940590686880862628e-02,1.920311152935028076e-02
4.304842904436318562e+00,-2.195193996782527912e-01,-2.196425199508666992e-01
2.189080698149095738e+01,3.555876460275963352e-02,3.551520407199859619e-02
1.885332658700266251e+01,-3.225870057722990403e-02,-3.233074396848678589e-02
2.614851656893747744e+01,5.800971006356546618e-03,5.981653928756713867e-03
1.251127700471762338e+01,2.651858796884462577e-02,2.631750702857971191e-02
1.558541664534629234e+01,3.785523082816841332e-03,3.869011998176574707e-03
