# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,1.050000000000000065e-02
1.000200139987997673e-03,6.999953923499114161e+00,1.037594274136102376e-02
2.000400179975995313e-03,6.999815695106734736e+00,1.025561423827021749e-02
3.000600219963992735e-03,6.999585318098380249e+00,1.013888847986359719e-02
4.000800259951990158e-03,6.999262797933146985e+00,1.002564363844388705e-02
5.001000299939988014e-03,6.998848142253553561e+00,9.915761930854168418e-03
6.001200339927985003e-03,6.998341360885323326e+00,9.809129484447435057e-03
7.001400379915982859e-03,6.997742465837112569e+00,9.705636207499705043e-03
8.001600419903980715e-03,6.997051471300168579e+00,9.605175663919373122e-03
9.001800459891977704e-03,6.996268393647928185e+00,9.507644952110426081e-03
1.000200049987997643e-02,6.995393251435557680e+00,9.412944587851647046e-03
1.100220053986797342e-02,6.994426065399426129e+00,9.320978391058817869e-03
1.200240057985597041e-02,6.993366858456528057e+00,9.231653376301053940e-03
1.300260061984396913e-02,6.992215655703825306e+00,9.144879646946924706e-03
1.400280065983196612e-02,6.990972484417556032e+00,9.060570292819881619e-03
1.500300069981996484e-02,6.989637374052442453e+00,8.978641291246737544e-03
1.600320073980796357e-02,6.988210356240882604e+00,8.899011411386660922e-03
1.700340077979596229e-02,6.986691464792043504e+00,8.821602121731952212e-03
1.800360081978395754e-02,6.985080735690912590e+00,8.746337500675379489e-03
1.900380085977195627e-02,6.983378207097283408e+00,8.673144150042447903e-03
2.000400089975995499e-02,6.981583919344675593e+00,8.601951111490329163e-03
2.100420093974795024e-02,6.979697914939202441e+00,8.532689785678280667e-03
2.200440097973594897e-02,6.977720238558365651e+00,8.465293854117846364e-03
2.300460101972394769e-02,6.975650937049803879e+00,8.399699203613863671e-03
2.400480105971194295e-02,6.973490059429961363e+00,8.335843853210345156e-03
2.500500109969994167e-02,6.971237656882712130e+00,8.273667883558363800e-03
2.600520113968794039e-02,6.968893782757914934e+00,8.213113368625391680e-03
2.700540117967593912e-02,6.966458492569910455e+00,8.154124309668742479e-03
2.800560121966393437e-02,6.963931843995948334e+00,8.096646571397749306e-03
2.900580125965193309e-02,6.961313896874568918e+00,8.040627820252378016e-03
3.000600129963993182e-02,6.958604713203913938e+00,7.986017464727919110e-03
3.100620133962792707e-02,6.955804357139974137e+00,7.932766597678029413e-03
3.200640137961592580e-02,6.952912894994784487e+00,7.880827940530450368e-03
3.300660141960392452e-02,6.949930395234551916e+00,7.830155789352062981e-03
3.400680145959192324e-02,6.946856928477725290e+00,7.780705962701889300e-03
3.500700149957992197e-02,6.943692567493004120e+00,7.732435751212840373e-03
3.600720153956791375e-02,6.940437387197285979e+00,7.685303868844805229e-03
3.700740157955591247e-02,6.937091464653557082e+00,7.639270405753732784e-03
3.800760161954391120e-02,6.933654879068715360e+00,7.594296782723117603e-03
3.900780165953190992e-02,6.930127711791340239e+00,7.550345707106054238e-03
4.000800169951990864e-02,6.926510046309396706e+00,7.507381130227788225e-03
4.100820173950790737e-02,6.922801968247883408e+00,7.465368206200387498e-03
4.200840177949589915e-02,6.919003565366422137e+00,7.424273252102639442e-03
4.300860181948389788e-02,6.915114927556771818e+00,7.384063709479944150e-03
4.400880185947189660e-02,6.911136146840312300e+00,7.344708107120468017e-03
4.500900189945989532e-02,6.907067317365433112e+00,7.306176025065191405e-03
4.600920193944789405e-02,6.902908535404891133e+00,7.268438059810939517e-03
4.700940197943589277e-02,6.898659899353093650e+00,7.231465790666920246e-03
4.800960201942388456e-02,6.894321509723319252e+00,7.195231747226396059e-03
4.900980205941188328e-02,6.889893469144899640e+00,7.159709377916640902e-03
5.001000209939988200e-02,6.885375882360306399e+00,7.124873019591361836e-03
5.101020213938788073e-02,6.880768856222220897e+00,7.090697868131001086e-03
5.201040217937587945e-02,6.876072499690506490e+00,7.057159950017592720e-03
5.301060221936387817e-02,6.871286923829146964e+00,7.024236094851753730e-03
5.401080225935187690e-02,6.866412241803111272e+00,6.991903908780645188e-03
5.501100229933986868e-02,6.861448568875172072e+00,6.960141748806693285e-03
5.601120233932786741e-02,6.856396022402648782e+00,6.928928697947778562e-03
5.701140237931586613e-02,6.851254721834109773e+00,6.898244541220838535e-03
5.801160241930386485e-02,6.846024788706002617e+00,6.868069742421396146e-03
5.901180245929186358e-02,6.840706346639230162e+00,6.838385421672722557e-03
6.001200249927986230e-02,6.835299521335667094e+00,6.809173333719122610e-03
6.101220253926785408e-02,6.829804440574624991e+00,6.780415846938608361e-03
6.201240257925585281e-02,6.824221234209244535e+00,6.752095923051181989e-03
6.301260261924385153e-02,6.818550034162845996e+00,6.724197097499594669e-03
6.401280265923184332e-02,6.812790974425203316e+00,6.696703460480342256e-03
6.501300269921983510e-02,6.806944191048785342e+00,6.669599638603302197e-03
6.601320273920784076e-02,6.801009822144908235e+00,6.642870777159171590e-03
6.701340277919583255e-02,6.794988007879859460e+00,6.616502522974567965e-03
6.801360281918383821e-02,6.788878890470940064e+00,6.590481007835298846e-03
6.901380285917183000e-02,6.782682614182471426e+00,6.564792832458965326e-03
7.001400289915983566e-02,6.776399325321721179e+00,6.539425050998667714e-03
7.101420293914782744e-02,6.770029172234793613e+00,6.514365156060247450e-03
7.201440297913581923e-02,6.763572305302449905e+00,6.489601064215966102e-03
7.301460301912382489e-02,6.757028876935870620e+00,6.465121101998233533e-03
7.401480305911181667e-02,6.750399041572377357e+00,6.440913992357445716e-03
7.501500309909982234e-02,6.743682955671070900e+00,6.416968841568484495e-03
7.601520313908781412e-02,6.736880777708437407e+00,6.393275126571126322e-03
7.701540317907580591e-02,6.729992668173885306e+00,6.369822682729830814e-03
7.801560321906381157e-02,6.723018789565230691e+00,6.346601691999100708e-03
7.901580325905180335e-02,6.715959306384119643e+00,6.323602671480981277e-03
8.001600329903980902e-02,6.708814385131404379e+00,6.300816462361531756e-03
8.101620333902780080e-02,6.701584194302456332e+00,6.278234219213980026e-03
8.201640337901580646e-02,6.694268904382429497e+00,6.255847399656094820e-03
8.301660341900379825e-02,6.686868687841455383e+00,6.233647754350306325e-03
8.401680345899179003e-02,6.679383719129798891e+00,6.211627317334985493e-03
8.501700349897979569e-02,6.671814174672953790e+00,6.189778396676066941e-03
8.601720353896778748e-02,6.664160232866668032e+00,6.168093565428293956e-03
8.701740357895579314e-02,6.656422074071939754e+00,6.146565652895842093e-03
8.801760361894378493e-02,6.648599880609938673e+00,6.125187736182460298e-03
8.901780365893179059e-02,6.640693836756880408e+00,6.103953132021393453e-03
9.001800369891978237e-02,6.632704128738840410e+00,6.082855388875943459e-03
9.101820373890777416e-02,6.624630944726526138e+00,6.061888279301627484e-03
9.201840377889577982e-02,6.616474474829985297e+00,6.041045792561261507e-03
9.301860381888377161e-02,6.608234911093254560e+00,6.020322127484596490e-03
9.401880385887177727e-02,6.599912447488968326e+00,5.999711685564394770e-03
9.501900389885976905e-02,6.591507279912902639e+00,5.979209064281116974e-03
9.601920393884776084e-02,6.583019606178473815e+00,5.958809050648595368e-03
9.701940397883576650e-02,6.574449626011173997e+00,5.938506614973427730e-03
9.801960401882375828e-02,6.565797541042958763e+00,5.918296904820960318e-03
9.901980405881176395e-02,6.557063554806596528e+00,5.898175239181024238e-03
1.000200040987997557e-01,6.548247872729922925e+00,5.878137102826803788e-03
1.010202041387877614e-01,6.539350702130091619e+00,5.858178140860420026e-03
1.020204041787757532e-01,6.530372252207747863e+00,5.838294153439072161e-03
1.030206042187637450e-01,6.521312734041141645e+00,5.818481090675678251e-03
1.040208042587517506e-01,6.512172360580209762e+00,5.798735047708326179e-03
1.050210042987397424e-01,6.502951346640589492e+00,5.779052259932832003e-03
1.060212043387277481e-01,6.493649908897590528e+00,5.759429098393111304e-03
1.070214043787157399e-01,6.484268265880109183e+00,5.739862065324016251e-03
1.080216044187037455e-01,6.474806637964491962e+00,5.720347789841659716e-03
1.090218044586917373e-01,6.465265247368354729e+00,5.700883023776301579e-03
1.100220044986797291e-01,6.455644318144329930e+00,5.681464637643090891e-03
1.110222045386677348e-01,6.445944076173802273e+00,5.662089616746053891e-03
1.120224045786557265e-01,6.436164749160545817e+00,5.642755057410993660e-03
1.130226046186437322e-01,6.426306566624345074e+00,5.623458163342875266e-03
1.140228046586317240e-01,6.416369759894559266e+00,5.604196242103759440e-03
1.150230046986197296e-01,6.406354562103622641e+00,5.584966701707112791e-03
1.160232047386077214e-01,6.396261208180504809e+00,5.565767047324768346e-03
1.170234047785957132e-01,6.386089934844130234e+00,5.546594878102683625e-03
1.180236048185837189e-01,6.375840980596728436e+00,5.527447884082010293e-03
1.190238048585717107e-01,6.365514585717152229e+00,5.508323843221875869e-03
1.200240048985597163e-01,6.355110992254132896e+00,5.489220618520553735e-03
1.210242049385477081e-01,6.344630444019499826e+00,5.470136155231786201e-03
1.220244049785356999e-01,6.334073186581341552e+00,5.451068478173028836e-03
1.230246050185237056e-01,6.323439467257125024e+00,5.432015689122636666e-03
1.240248050585116973e-01,6.312729535106755385e+00,5.412975964303013733e-03
1.250250050984997030e-01,6.301943640925603773e+00,5.393947551946865447e-03
1.260252051384877225e-01,6.291082037237478275e+00,5.374928769943828483e-03
1.270254051784757143e-01,6.280144978287540702e+00,5.355918003564780726e-03
1.280256052184637061e-01,6.269132720035194950e+00,5.336913703261269085e-03
1.290258052584516979e-01,6.258045520146903407e+00,5.317914382537567569e-03
1.300260052984396897e-01,6.246883637988979388e+00,5.298918615892956978e-03
1.310262053384277092e-01,6.235647334620318283e+00,5.279925036831872170e-03
1.320264053784157010e-01,6.224336872785085184e+00,5.260932335939722503e-03
1.330266054184036928e-01,6.212952516905366096e+00,5.241939259022108596e-03
1.340268054583916846e-01,6.201494533073752535e+00,5.222944605305485620e-03
1.350270054983796764e-01,6.189963189045901260e+00,5.203947225697045688e-03
1.360272055383676959e-01,6.178358754233033601e+00,5.184946021102036090e-03
1.370274055783556877e-01,6.166681499694403712e+00,5.165939940796466373e-03
1.380276056183436795e-01,6.154931698129701978e+00,5.146927980853477358e-03
1.390278056583316713e-01,6.143109623871431779e+00,5.127909182621487316e-03
1.400280056983196908e-01,6.131215552877235631e+00,5.108882631252502013e-03
1.410282057383076826e-01,6.119249762722168029e+00,5.089847454278848687e-03
1.420284057782956744e-01,6.107212532590937215e+00,5.070802820236757977e-03
1.430286058182836662e-01,6.095104143270099861e+00,5.051747937335240336e-03
1.440288058582716579e-01,6.082924877140201581e+00,5.032682052168739074e-03
1.450290058982596775e-01,6.070675018167888126e+00,5.013604448472135794e-03
1.460292059382476693e-01,6.058354851897963300e+00,4.994514445916669286e-03
1.470294059782356610e-01,6.045964665445410446e+00,4.975411398945459029e-03
1.480296060182236528e-01,6.033504747487365982e+00,4.956294695647216891e-03
