# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,1.050000000000000065e-02
1.000200139987997673e-03,6.999953923499114161e+00,9.114632198090747914e-03
2.000400179975995313e-03,6.999815695106734736e+00,8.271192382648211855e-03
3.000600219963992735e-03,6.999585318098380249e+00,7.756386577596648124e-03
4.000800259951990158e-03,6.999262797933146985e+00,7.440858414923198945e-03
5.001000299939988014e-03,6.998848142253553561e+00,7.246157168369894014e-03
6.001200339927985003e-03,6.998341360885323326e+00,7.124704856906677493e-03
7.001400379915982859e-03,6.997742465837112569e+00,7.047646894022666086e-03
8.001600419903980715e-03,6.997051471300168579e+00,6.997483871030520802e-03
9.001800459891977704e-03,6.996268393647928185e+00,6.963602954704062493e-03
1.000200049987997643e-02,6.995393251435557680e+00,6.939567814013362576e-03
1.100220053986797342e-02,6.994426065399426129e+00,6.921475041997353361e-03
1.200240057985597041e-02,6.993366858456528057e+00,6.906957374939782374e-03
1.300260061984396913e-02,6.992215655703825306e+00,6.894579174704184785e-03
1.400280065983196612e-02,6.990972484417556032e+00,6.883469806905867343e-03
1.500300069981996484e-02,6.989637374052442453e+00,6.873101295771595967e-03
1.600320073980796357e-02,6.988210356240882604e+00,6.863153478481682536e-03
1.700340077979596229e-02,6.986691464792043504e+00,6.853432225322959523e-03
1.800360081978395754e-02,6.985080735690912590e+00,6.843819842663871958e-03
1.900380085977195627e-02,6.983378207097283408e+00,6.834244993845657416e-03
2.000400089975995499e-02,6.981583919344675593e+00,6.824664457103995531e-03
2.100420093974795024e-02,6.979697914939202441e+00,6.815052062294459784e-03
2.200440097973594897e-02,6.977720238558365651e+00,6.805391981347140747e-03
2.300460101972394769e-02,6.975650937049803879e+00,6.795674659127301162e-03
2.400480105971194295e-02,6.973490059429961363e+00,6.785894345623027374e-03
2.500500109969994167e-02,6.971237656882712130e+00,6.776047599289761365e-03
2.600520113968794039e-02,6.968893782757914934e+00,6.766132379372152839e-03
2.700540117967593912e-02,6.966458492569910455e+00,6.756147495423144890e-03
2.800560121966393437e-02,6.963931843995948334e+00,6.746092273452258641e-03
2.900580125965193309e-02,6.961313896874568918e+00,6.735966353453130828e-03
3.000600129963993182e-02,6.958604713203913938e+00,6.725769566608500068e-03
3.100620133962792707e-02,6.955804357139974137e+00,6.715501860817187085e-03
3.200640137961592580e-02,6.952912894994784487e+00,6.705163255526898347e-03
3.300660141960392452e-02,6.949930395234551916e+00,6.694753814340116509e-03
3.400680145959192324e-02,6.946856928477725290e+00,6.684273628398776715e-03
3.500700149957992197e-02,6.943692567493004120e+00,6.673722806305991580e-03
3.600720153956791375e-02,6.940437387197285979e+00,6.663101468012211717e-03
3.700740157955591247e-02,6.937091464653557082e+00,6.652409741105732958e-03
3.800760161954391120e-02,6.933654879068715360e+00,6.641647758561322785e-03
3.900780165953190992e-02,6.930127711791340239e+00,6.630815657373122056e-03
4.000800169951990864e-02,6.926510046309396706e+00,6.619913577723826950e-03
4.100820173950790737e-02,6.922801968247883408e+00,6.608941662479092538e-03
4.200840177949589915e-02,6.919003565366422137e+00,6.597900056879133640e-03
4.300860181948389788e-02,6.915114927556771818e+00,6.586788908349908850e-03
4.400880185947189660e-02,6.911136146840312300e+00,6.575608366386819469e-03
4.500900189945989532e-02,6.907067317365433112e+00,6.564358582482348985e-03
4.600920193944789405e-02,6.902908535404891133e+00,6.553039710080322752e-03
4.700940197943589277e-02,6.898659899353093650e+00,6.541651904546339630e-03
4.800960201942388456e-02,6.894321509723319252e+00,6.530195323147902457e-03
4.900980205941188328e-02,6.889893469144899640e+00,6.518670125040528125e-03
5.001000209939988200e-02,6.885375882360306399e+00,6.507076471257355714e-03
5.101020213938788073e-02,6.880768856222220897e+00,6.495414524700897883e-03
5.201040217937587945e-02,6.876072499690506490e+00,6.483684450136110652e-03
5.301060221936387817e-02,6.871286923829146964e+00,6.471886414184166610e-03
5.401080225935187690e-02,6.866412241803111272e+00,6.460020585316692161e-03
5.501100229933986868e-02,6.861448568875172072e+00,6.448087133850260652e-03
5.601120233932786741e-02,6.856396022402648782e+00,6.436086231940954874e-03
5.701140237931586613e-02,6.851254721834109773e+00,6.424018053579080498e-03
5.801160241930386485e-02,6.846024788706002617e+00,6.411882774583823122e-03
5.901180245929186358e-02,6.840706346639230162e+00,6.399680572597907062e-03
6.001200249927986230e-02,6.835299521335667094e+00,6.387411627082248064e-03
6.101220253926785408e-02,6.829804440574624991e+00,6.375076119310561784e-03
6.201240257925585281e-02,6.824221234209244535e+00,6.362674232363923696e-03
6.301260261924385153e-02,6.818550034162845996e+00,6.350206151125284762e-03
6.401280265923184332e-02,6.812790974425203316e+00,6.337672062273957616e-03
6.501300269921983510e-02,6.806944191048785342e+00,6.325072154280036822e-03
6.601320273920784076e-02,6.801009822144908235e+00,6.312406617398775774e-03
6.701340277919583255e-02,6.794988007879859460e+00,6.299675643664918480e-03
6.801360281918383821e-02,6.788878890470940064e+00,6.286879426886972377e-03
6.901380285917183000e-02,6.782682614182471426e+00,6.274018162641455121e-03
7.001400289915983566e-02,6.776399325321721179e+00,6.261092048267063309e-03
7.101420293914782744e-02,6.770029172234793613e+00,6.248101282858818661e-03
7.201440297913581923e-02,6.763572305302449905e+00,6.235046067262143069e-03
7.301460301912382489e-02,6.757028876935870620e+00,6.221926604066903288e-03
7.401480305911181667e-02,6.750399041572377357e+00,6.208743097601409668e-03
7.501500309909982234e-02,6.743682955671070900e+00,6.195495753926329868e-03
7.601520313908781412e-02,6.736880777708437407e+00,6.182184780828644220e-03
7.701540317907580591e-02,6.729992668173885306e+00,6.168810387815377300e-03
7.801560321906381157e-02,6.723018789565230691e+00,6.155372786107519457e-03
7.901580325905180335e-02,6.715959306384119643e+00,6.141872188633721967e-03
8.001600329903980902e-02,6.708814385131404379e+00,6.128308810024012988e-03
8.101620333902780080e-02,6.701584194302456332e+00,6.114682866603437204e-03
8.201640337901580646e-02,6.694268904382429497e+00,6.100994576385685916e-03
8.301660341900379825e-02,6.686868687841455383e+00,6.087244159066663822e-03
8.401680345899179003e-02,6.679383719129798891e+00,6.073431836017991609e-03
8.501700349897979569e-02,6.671814174672953790e+00,6.059557830280494668e-03
8.601720353896778748e-02,6.664160232866668032e+00,6.045622366557618088e-03
8.701740357895579314e-02,6.656422074071939754e+00,6.031625671208815619e-03
8.801760361894378493e-02,6.648599880609938673e+00,6.017567972242881397e-03
