# Time, Target, Prediction
1.867526739146369508e+01,-1.617743288290085166e-02,-1.632016897201538086e-02
2.226787351322053965e+01,2.353071042674197144e-02,2.363108098506927490e-02
1.004463344298661198e+01,-2.047922169260693592e-02,-2.034960687160491943e-02
2.152945155525010890e+01,1.911885110544121746e-02,1.919490098953247070e-02
7.703678725165461039e+00,-8.166972762273849717e-03,-8.359327912330627441e-03
4.865205666867780110e+00,-5.732179323801318838e-02,-5.701461434364318848e-02
1.003415937266079005e+01,-2.114697729146913785e-02,-2.101777493953704834e-02
2.092195547635245134e+01,3.822481592745974668e-03,3.980264067649841309e-03
5.917849734612861567e+00,5.950326524094516623e-02,5.967168509960174561e-02
9.023411586218996305e+00,-6.435363938957831820e-02,-6.439943611621856689e-02
1.248509182890306768e+01,2.133725827030419006e-02,2.130387723445892334e-02
2.199554768474917310e+01,2.407462592017643038e-02,2.416603267192840576e-02
4.608590948597536818e-01,5.731017116421791568e-01,5.736173987388610840e-01
9.311448520179093080e+00,-5.827001585610067785e-02,-5.824507772922515869e-02
7.478486213160294938e+00,1.029812323043550679e-02,1.013128459453582764e-02
1.660140147166338842e+00,1.717694709715262835e-01,1.724127084016799927e-01
1.456943182374158852e+01,-3.454469968326856488e-02,-3.452256321907043457e-02
1.390956539321481955e+01,-3.593899846069159576e-02,-3.602692484855651855e-02
5.058975967895481318e+00,-2.915962248375046986e-02,-2.888025343418121338e-02
1.088779610421525845e+01,2.895103573454150744e-02,2.907088398933410645e-02
1.832962312254786119e-01,6.355926482196181393e-01,6.312476396560668945e-01
3.514050594836780395e+00,-1.993736368459338160e-01,-1.990993916988372803e-01
1.252175107504344531e+01,1.965524588513479012e-02,1.962782442569732666e-02
8.562552491882840400e+00,-5.966665948550675669e-02,-5.981229245662689209e-02
1.976457070534915417e+01,-2.561617225447656090e-02,-2.554599940776824951e-02
8.248330382108189696e+00,-4.624304222932829056e-02,-4.642190039157867432e-02
1.164716620283733128e+01,4.465527834810853469e-02,4.471047222614288330e-02
2.948450797242408328e+00,-1.662723245939527750e-01,-1.659573614597320557e-01
4.912338983333977893e+00,-5.035312723730253626e-02,-5.005498230457305908e-02
7.436589931857008118e+00,1.374133540229541262e-02,1.358078420162200928e-02
1.319732861105894450e+01,-1.306819240607417359e-02,-1.321057975292205811e-02
5.608864660001120050e+00,3.674626571583998469e-02,3.699643909931182861e-02
1.471606880830309017e+01,-3.127084285019034182e-02,-3.126974403858184814e-02
1.859147482885712321e+01,-1.378241856234500504e-02,-1.390090584754943848e-02
3.864931950751806955e+00,-1.846325376977078214e-01,-1.843942403793334961e-01
1.176761801158428078e+01,4.365392570685733276e-02,4.369173943996429443e-02
2.875132304961656615e+00,-1.563219115944586568e-01,-1.559818834066390991e-01
2.248259195489988471e+01,2.136060492706572458e-02,2.142484486103057861e-02
1.384148393609697969e+01,-3.475655994663369441e-02,-3.487114608287811279e-02
5.367961042507221947e+00,1.125015372505716940e-02,1.153247058391571045e-02
1.925134125938388863e+01,-2.674044473503877153e-02,-2.690443396568298340e-02
6.294916266342442057e+00,7.055722676765047163e-02,7.065896689891815186e-02
2.518490209896188503e+01,-1.804102606130111169e-02,-1.799415051937103271e-02
2.222074019675434187e+01,2.380675754332297819e-02,2.391003072261810303e-02
4.184391095689369067e+00,-1.533093756711036981e-01,-1.530616432428359985e-01
2.380756185111632917e+01,-1.021088970513822115e-02,-1.021274924278259277e-02
1.993739286572520797e+01,-2.304017632254639139e-02,-2.293936908245086670e-02
2.374471742916139760e+01,-8.699396343767361664e-03,-8.706077933311462402e-03
2.535248722417502876e+01,-1.534660179622742565e-02,-1.526080071926116943e-02
9.740885408250171684e-01,4.178069011346245976e-01,4.184824228286743164e-01
6.336812552358117578e-01,5.258121258600767511e-01,5.263327956199645996e-01
1.718271237003410334e+01,2.883713624991348159e-02,2.870403230190277100e-02
2.339383607324636927e+01,5.488727760544043861e-04,5.005747079849243164e-04
2.516919099347314770e+01,-1.825957958377511653e-02,-1.821649074554443359e-02
4.315316974762140489e+00,-1.369020360211755383e-01,-1.366191208362579346e-01
1.484175765221295151e+01,-2.776093600629055483e-02,-2.777953445911407471e-02
1.954461522850689548e+01,-2.735024739837119134e-02,-2.737644314765930176e-02
1.246414368825142560e+01,2.228357363686259487e-02,2.224682271480560303e-02
1.392527649870355333e+01,-3.617708471607884724e-02,-3.625886142253875732e-02
1.349583961534486320e+01,-2.521848024479156694e-02,-2.541629970073699951e-02
2.133044421905949761e+01,1.497198009580113370e-02,1.509693264961242676e-02
8.290226663411477404e+00,-4.847041832447387261e-02,-4.864592850208282471e-02
9.175285605943409806e+00,-6.195018275869158125e-02,-6.195728480815887451e-02
5.415094358973418842e+00,1.671383776141141878e-02,1.699431240558624268e-02
5.655997976467317834e+00,4.097981300206011285e-02,4.121790826320648193e-02
1.419236529201200625e+01,-3.818276702898470987e-02,-3.817641735076904297e-02
8.138352643687062127e+00,-3.982248629715432614e-02,-4.000897705554962158e-02
1.599914242321624869e+01,1.663791644128940692e-02,1.681192219257354736e-02
1.141673666038164336e+00,3.594341680679098427e-01,3.601325750350952148e-01
1.456419478857867666e+01,-3.464382217264246056e-02,-3.462103009223937988e-02
7.541330635115224723e+00,5.116411853543736954e-03,4.940733313560485840e-03
1.192996610163451976e+01,4.087267805126410664e-02,4.086656868457794189e-02
8.714426511607255676e+00,-6.324306869600075653e-02,-6.336222589015960693e-02
1.850244523108763772e+01,-1.106200688941468349e-02,-1.115626096725463867e-02
2.534201315384920861e+01,-1.553328777482053738e-02,-1.544976234436035156e-02
1.487841689835332737e+01,-2.662817483353019030e-02,-2.665171027183532715e-02
1.800492689061110596e+01,6.023667731130026223e-03,5.966797471046447754e-03
2.504350214956329168e+01,-1.977747595226363175e-02,-1.976297795772552490e-02
1.351155072554598435e+00,2.838770433638285184e-01,2.845516204833984375e-01
3.016532254360249077e+00,-1.743308131786459880e-01,-1.740354895591735840e-01
2.052394080397122522e+01,-8.384806567535398741e-03,-8.331194519996643066e-03
1.613530533745193196e+01,2.094956218267563300e-02,2.113164961338043213e-02
2.524774652091681659e+01,-1.710637505914436307e-02,-1.704449951648712158e-02
3.896354161729272292e+00,-1.822146114697867358e-01,-1.819801330566406250e-01
2.211599949349612260e+01,2.414985294629932999e-02,2.425216138362884521e-02
2.081721477309423207e+01,6.274894397469423738e-04,7.585436105728149414e-04
8.106930432709596346e+00,-3.784489378223283157e-02,-3.803341090679168701e-02
1.015461118140773955e+01,-1.340797924812823019e-02,-1.327578723430633545e-02
8.950093093938242816e+00,-6.483294937507684541e-02,-6.489749252796173096e-02
4.896627877845245003e+00,-5.266981692972134976e-02,-5.236878991127014160e-02
2.728495320400152302e+00,-1.324977165210246555e-01,-1.321046352386474609e-01
2.576621300204498866e+01,-6.511147538815745608e-03,-6.383404135704040527e-03
1.114441082719789122e+01,3.840247697033211116e-02,3.845514357089996338e-02
1.785305287088669246e+01,1.128427231426435383e-02,1.120382547378540039e-02
1.640763116592329496e+01,2.759116769923351462e-02,2.773055434226989746e-02
2.375519149948722131e+01,-8.955538737067621213e-03,-8.961305022239685059e-03
1.717747533958358108e+00,1.512897225673213719e-01,1.519251316785812378e-01
1.009176675945280977e+01,-1.745947729410813817e-02,-1.732836663722991943e-02
