# Time, Target, Prediction
1.867526739146369508e+01,-1.752467070113033348e-02,-1.776898652315139771e-02
2.226787351322053965e+01,2.360948415332795453e-02,2.352855354547500610e-02
1.004463344298661198e+01,-1.819696616117549501e-02,-1.638629287481307983e-02
2.152945155525010890e+01,2.012756548698241971e-02,2.060151845216751099e-02
7.703678725165461039e+00,-1.161410236195842792e-02,-1.162976771593093872e-02
4.865205666867780110e+00,-5.209817318601595720e-02,-5.196486413478851318e-02
1.003415937266079005e+01,-1.888000064033249978e-02,-1.706927269697189331e-02
2.092195547635245134e+01,5.090862752481316658e-03,6.148226559162139893e-03
5.917849734612861567e+00,6.258795825758788067e-02,6.293290108442306519e-02
9.023411586218996305e+00,-6.493644835121231695e-02,-6.378643214702606201e-02
1.248509182890306768e+01,1.981058390155853235e-02,1.975498348474502563e-02
2.199554768474917310e+01,2.453821914968140963e-02,2.455464750528335571e-02
4.608590948597536818e-01,5.706374183805509315e-01,5.700271129608154297e-01
9.311448520179093080e+00,-5.784767425510524419e-02,-5.641264468431472778e-02
7.478486213160294938e+00,7.053856350718719533e-03,6.949685513973236084e-03
1.660140147166338842e+00,1.580075904458440039e-01,1.590474545955657959e-01
1.456943182374158852e+01,-3.428724589177295501e-02,-3.292854875326156616e-02
1.390956539321481955e+01,-3.710216594469729900e-02,-3.645382076501846313e-02
5.058975967895481318e+00,-2.380563370253043279e-02,-2.354294806718826294e-02
1.088779610421525845e+01,3.116870840621924904e-02,3.241752833127975464e-02
1.832962312254786119e-01,6.784215086718103915e-01,6.780145168304443359e-01
3.514050594836780395e+00,-2.023453930392981881e-01,-2.030896544456481934e-01
1.252175107504344531e+01,1.806859127650432828e-02,1.801929622888565063e-02
8.562552491882840400e+00,-6.180234827993574126e-02,-6.115154176950454712e-02
1.976457070534915417e+01,-2.551284266042599599e-02,-2.506770938634872437e-02
8.248330382108189696e+00,-4.918773969974586657e-02,-4.883848130702972412e-02
1.164716620283733128e+01,4.513622826545760081e-02,4.565244168043136597e-02
2.948450797242408328e+00,-1.745328484132745162e-01,-1.748767197132110596e-01
4.912338983333977893e+00,-4.507179821487567600e-02,-4.489986598491668701e-02
7.436589931857008118e+00,1.056260714580796282e-02,1.044704765081405640e-02
1.319732861105894450e+01,-1.509390759211092295e-02,-1.490729302167892456e-02
5.608864660001120050e+00,4.108221907590046962e-02,4.140294343233108521e-02
1.471606880830309017e+01,-3.070560674071004525e-02,-2.929163724184036255e-02
1.859147482885712321e+01,-1.517732941304220963e-02,-1.549308747053146362e-02
3.864931950751806955e+00,-1.844887236852839063e-01,-1.851237118244171143e-01
1.176761801158428078e+01,4.380528011187001525e-02,4.420237988233566284e-02
2.875132304961656615e+00,-1.652197632597125487e-01,-1.654574424028396606e-01
2.248259195489988471e+01,2.113472328374943476e-02,2.103170007467269897e-02
1.384148393609697969e+01,-3.604705063985117613e-02,-3.548242896795272827e-02
5.367961042507221947e+00,1.626000891187334707e-02,1.658207923173904419e-02
1.925134125938388863e+01,-2.745154480492154742e-02,-2.726364880800247192e-02
6.294916266342442057e+00,7.178901415968483302e-02,7.209406048059463501e-02
2.518490209896188503e+01,-1.773957242980510676e-02,-1.668957620859146118e-02
2.222074019675434187e+01,2.395325253780498584e-02,2.388148754835128784e-02
4.184391095689369067e+00,-1.508043587443419209e-01,-1.513058692216873169e-01
2.380756185111632917e+01,-1.130687279827304395e-02,-1.198834925889968872e-02
1.993739286572520797e+01,-2.266547246715674979e-02,-2.211449295282363892e-02
2.374471742916139760e+01,-9.812687259115479566e-03,-1.051072031259536743e-02
2.535248722417502876e+01,-1.485201574694856343e-02,-1.390501111745834351e-02
9.740885408250171684e-01,4.078390610682611217e-01,4.068453013896942139e-01
6.336812552358117578e-01,5.195853591803547555e-01,5.209444761276245117e-01
