# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,1.050000000000000065e-02
1.000200139987997673e-03,6.999953923499114161e+00,1.049071513001333979e-02
2.000400179975995313e-03,6.999815695106734736e+00,1.048131065804730130e-02
3.000600219963992735e-03,6.999585318098380249e+00,1.047178666895232091e-02
4.000800259951990158e-03,6.999262797933146985e+00,1.046214325069846733e-02
5.001000299939988014e-03,6.998848142253553561e+00,1.045238049437269799e-02
6.001200339927985003e-03,6.998341360885323326e+00,1.044249849417600365e-02
7.001400379915982859e-03,6.997742465837112569e+00,1.043249734742047324e-02
8.001600419903980715e-03,6.997051471300168579e+00,1.042237715452623038e-02
9.001800459891977704e-03,6.996268393647928185e+00,1.041213801901839237e-02
1.000200049987997643e-02,6.995393251435557680e+00,1.040178004752379676e-02
1.100220053986797342e-02,6.994426065399426129e+00,1.039130334976776787e-02
1.200240057985597041e-02,6.993366858456528057e+00,1.038070803857069763e-02
1.300260061984396913e-02,6.992215655703825306e+00,1.036999422984463855e-02
1.400280065983196612e-02,6.990972484417556032e+00,1.035916204258971116e-02
1.500300069981996484e-02,6.989637374052442453e+00,1.034821159889049401e-02
1.600320073980796357e-02,6.988210356240882604e+00,1.033714302391229231e-02
1.700340077979596229e-02,6.986691464792043504e+00,1.032595644589735795e-02
1.800360081978395754e-02,6.985080735690912590e+00,1.031465199616096902e-02
1.900380085977195627e-02,6.983378207097283408e+00,1.030322980908746772e-02
2.000400089975995499e-02,6.981583919344675593e+00,1.029169002212621149e-02
2.100420093974795024e-02,6.979697914939202441e+00,1.028003277578736809e-02
2.200440097973594897e-02,6.977720238558365651e+00,1.026825821363775391e-02
2.300460101972394769e-02,6.975650937049803879e+00,1.025636648229649381e-02
2.400480105971194295e-02,6.973490059429961363e+00,1.024435773143056623e-02
2.500500109969994167e-02,6.971237656882712130e+00,1.023223211375040229e-02
2.600520113968794039e-02,6.968893782757914934e+00,1.021998978500520891e-02
2.700540117967593912e-02,6.966458492569910455e+00,1.020763090397841175e-02
2.800560121966393437e-02,6.963931843995948334e+00,1.019515563248282221e-02
2.900580125965193309e-02,6.961313896874568918e+00,1.018256413535586352e-02
3.000600129963993182e-02,6.958604713203913938e+00,1.016985658045464411e-02
3.100620133962792707e-02,6.955804357139974137e+00,1.015703313865094944e-02
3.200640137961592580e-02,6.952912894994784487e+00,1.014409398382615929e-02
3.300660141960392452e-02,6.949930395234551916e+00,1.013103929286610951e-02
3.400680145959192324e-02,6.946856928477725290e+00,1.011786924565579761e-02
3.500700149957992197e-02,6.943692567493004120e+00,1.010458402507408843e-02
3.600720153956791375e-02,6.940437387197285979e+00,1.009118381698827401e-02
3.700740157955591247e-02,6.937091464653557082e+00,1.007766881024857279e-02
3.800760161954391120e-02,6.933654879068715360e+00,1.006403919668255771e-02
3.900780165953190992e-02,6.930127711791340239e+00,1.005029517108948882e-02
4.000800169951990864e-02,6.926510046309396706e+00,1.003643693123453667e-02
4.100820173950790737e-02,6.922801968247883408e+00,1.002246467784299183e-02
4.200840177949589915e-02,6.919003565366422137e+00,1.000837861459430954e-02
4.300860181948389788e-02,6.915114927556771818e+00,9.994178948116133610e-03
4.400880185947189660e-02,6.911136146840312300e+00,9.979865887978209282e-03
4.500900189945989532e-02,6.907067317365433112e+00,9.965439646686231889e-03
4.600920193944789405e-02,6.902908535404891133e+00,9.950900439675570627e-03
4.700940197943589277e-02,6.898659899353093650e+00,9.936248485304990594e-03
4.800960201942388456e-02,6.894321509723319252e+00,9.921484004850194410e-03
4.900980205941188328e-02,6.889893469144899640e+00,9.906607222497369053e-03
5.001000209939988200e-02,6.885375882360306399e+00,9.891618365336612984e-03
5.101020213938788073e-02,6.880768856222220897e+00,9.876517663355253995e-03
5.201040217937587945e-02,6.876072499690506490e+00,9.861305349431160119e-03
5.301060221936387817e-02,6.871286923829146964e+00,9.845981659325896140e-03
5.401080225935187690e-02,6.866412241803111272e+00,9.830546831677835010e-03
5.501100229933986868e-02,6.861448568875172072e+00,9.815001107995220686e-03
5.601120233932786741e-02,6.856396022402648782e+00,9.799344732649038422e-03
5.701140237931586613e-02,6.851254721834109773e+00,9.783577952865963115e-03
5.801160241930386485e-02,6.846024788706002617e+00,9.767701018721106423e-03
5.901180245929186358e-02,6.840706346639230162e+00,9.751714183130732669e-03
6.001200249927986230e-02,6.835299521335667094e+00,9.735617701844882788e-03
6.101220253926785408e-02,6.829804440574624991e+00,9.719411833439934104e-03
6.201240257925585281e-02,6.824221234209244535e+00,9.703096839311068159e-03
6.301260261924385153e-02,6.818550034162845996e+00,9.686672983664657011e-03
6.401280265923184332e-02,6.812790974425203316e+00,9.670140533510587083e-03
6.501300269921983510e-02,6.806944191048785342e+00,9.653499758654508420e-03
6.601320273920784076e-02,6.801009822144908235e+00,9.636750931689965979e-03
6.701340277919583255e-02,6.794988007879859460e+00,9.619894327990503174e-03
6.801360281918383821e-02,6.788878890470940064e+00,9.602930225701652653e-03
6.901380285917183000e-02,6.782682614182471426e+00,9.585858905732881977e-03
7.001400289915983566e-02,6.776399325321721179e+00,9.568680651749421340e-03
7.101420293914782744e-02,6.770029172234793613e+00,9.551395750164063531e-03
7.201440297913581923e-02,6.763572305302449905e+00,9.534004490128837259e-03
7.301460301912382489e-02,6.757028876935870620e+00,9.516507163526644053e-03
7.401480305911181667e-02,6.750399041572377357e+00,9.498904064962810159e-03
7.501500309909982234e-02,6.743682955671070900e+00,9.481195491756529148e-03
7.601520313908781412e-02,6.736880777708437407e+00,9.463381743932295850e-03
7.701540317907580591e-02,6.729992668173885306e+00,9.445463124211199782e-03
7.801560321906381157e-02,6.723018789565230691e+00,9.427439938002161318e-03
7.901580325905180335e-02,6.715959306384119643e+00,9.409312493393164403e-03
8.001600329903980902e-02,6.708814385131404379e+00,9.391081101142246396e-03
8.101620333902780080e-02,6.701584194302456332e+00,9.372746074668638835e-03
8.201640337901580646e-02,6.694268904382429497e+00,9.354307730043618513e-03
8.301660341900379825e-02,6.686868687841455383e+00,9.335766385981452212e-03
8.401680345899179003e-02,6.679383719129798891e+00,9.317122363830152368e-03
8.501700349897979569e-02,6.671814174672953790e+00,9.298375987562239667e-03
8.601720353896778748e-02,6.664160232866668032e+00,9.279527583765385945e-03
8.701740357895579314e-02,6.656422074071939754e+00,9.260577481632972091e-03
8.801760361894378493e-02,6.648599880609938673e+00,9.241526012954663291e-03
8.901780365893179059e-02,6.640693836756880408e+00,9.222373512106795193e-03
9.001800369891978237e-02,6.632704128738840410e+00,9.203120316042756599e-03
9.101820373890777416e-02,6.624630944726526138e+00,9.183766764283299300e-03
9.201840377889577982e-02,6.616474474829985297e+00,9.164313198906764643e-03
9.301860381888377161e-02,6.608234911093254560e+00,9.144759964539211222e-03
9.401880385887177727e-02,6.599912447488968326e+00,9.125107408344535626e-03
9.501900389885976905e-02,6.591507279912902639e+00,9.105355880014478695e-03
9.601920393884776084e-02,6.583019606178473815e+00,9.085505731758565864e-03
9.701940397883576650e-02,6.574449626011173997e+00,9.065557318293974640e-03
9.801960401882375828e-02,6.565797541042958763e+00,9.045510996835370854e-03
9.901980405881176395e-02,6.557063554806596528e+00,9.025367127084616553e-03
1.000200040987997557e-01,6.548247872729922925e+00,9.005126071220462269e-03
1.010202041387877614e-01,6.539350702130091619e+00,8.984788193888133476e-03
1.020204041787757532e-01,6.530372252207747863e+00,8.964353862188885816e-03
1.030206042187637450e-01,6.521312734041141645e+00,8.943823445669445843e-03
1.040208042587517506e-01,6.512172360580209762e+00,8.923197316311437879e-03
1.050210042987397424e-01,6.502951346640589492e+00,8.902475848520672100e-03
1.060212043387277481e-01,6.493649908897590528e+00,8.881659419116467308e-03
1.070214043787157399e-01,6.484268265880109183e+00,8.860748407320815853e-03
1.080216044187037455e-01,6.474806637964491962e+00,8.839743194747522528e-03
1.090218044586917373e-01,6.465265247368354729e+00,8.818644165391268872e-03
1.100220044986797291e-01,6.455644318144329930e+00,8.797451705616637571e-03
1.110222045386677348e-01,6.445944076173802273e+00,8.776166204147001562e-03
1.120224045786557265e-01,6.436164749160545817e+00,8.754788052053465164e-03
1.130226046186437322e-01,6.426306566624345074e+00,8.733317642743612663e-03
1.140228046586317240e-01,6.416369759894559266e+00,8.711755371950281185e-03
1.150230046986197296e-01,6.406354562103622641e+00,8.690101637720238151e-03
1.160232047386077214e-01,6.396261208180504809e+00,8.668356840402808433e-03
1.170234047785957132e-01,6.386089934844130234e+00,8.646521382638388750e-03
1.180236048185837189e-01,6.375840980596728436e+00,8.624595669347000226e-03
1.190238048585717107e-01,6.365514585717152229e+00,8.602580107716670949e-03
1.200240048985597163e-01,6.355110992254132896e+00,8.580475107191816789e-03
1.210242049385477081e-01,6.344630444019499826e+00,8.558281079461556307e-03
1.220244049785356999e-01,6.334073186581341552e+00,8.535998438447952794e-03
1.230246050185237056e-01,6.323439467257125024e+00,8.513627600294185194e-03
1.240248050585116973e-01,6.312729535106755385e+00,8.491168983352687799e-03
1.250250050984997030e-01,6.301943640925603773e+00,8.468623008173210148e-03
1.260252051384877225e-01,6.291082037237478275e+00,8.445990097490811005e-03
1.270254051784757143e-01,6.280144978287540702e+00,8.423270676213817643e-03
1.280256052184637061e-01,6.269132720035194950e+00,8.400465171411687984e-03
1.290258052584516979e-01,6.258045520146903407e+00,8.377574012302865802e-03
1.300260052984396897e-01,6.246883637988979388e+00,8.354597630242530104e-03
1.310262053384277092e-01,6.235647334620318283e+00,8.331536458710302878e-03
1.320264053784157010e-01,6.224336872785085184e+00,8.308390933297929090e-03
1.330266054184036928e-01,6.212952516905366096e+00,8.285161491696810959e-03
1.340268054583916846e-01,6.201494533073752535e+00,8.261848573685627237e-03
1.350270054983796764e-01,6.189963189045901260e+00,8.238452621117746053e-03
1.360272055383676959e-01,6.178358754233033601e+00,8.214974077908695008e-03
1.370274055783556877e-01,6.166681499694403712e+00,8.191413390023494223e-03
1.380276056183436795e-01,6.154931698129701978e+00,8.167771005464018880e-03
1.390278056583316713e-01,6.143109623871431779e+00,8.144047374256200428e-03
1.400280056983196908e-01,6.131215552877235631e+00,8.120242948437278105e-03
