# Time, Target, Prediction
1.867526739146369508e+01,-3.143579443818252800e-02,-3.193482011556625366e-02
2.226787351322053965e+01,2.927950502127978083e-02,3.033997863531112671e-02
1.004463344298661198e+01,-4.862334780517291871e-02,-4.654760658740997314e-02
2.152945155525010890e+01,2.083869843803669297e-02,2.222058922052383423e-02
7.703678725165461039e+00,-2.161765097099385344e-02,-2.631226927042007446e-02
4.865205666867780110e+00,-1.022207865074645505e-01,-1.003727167844772339e-01
1.003415937266079005e+01,-4.962611568654304306e-02,-4.757352545857429504e-02
2.092195547635245134e+01,-3.287763185262059136e-03,-1.667447388172149658e-03
5.917849734612861567e+00,7.458531591749993639e-02,7.362539321184158325e-02
9.023411586218996305e+00,-1.117900403565841305e-01,-1.128209456801414490e-01
1.248509182890306768e+01,2.218224521652364251e-02,2.095647156238555908e-02
2.199554768474917310e+01,2.943825031278737500e-02,3.074345737695693970e-02
4.608590948597536818e-01,8.801453345671106376e-01,8.806068301200866699e-01
9.311448520179093080e+00,-1.039086387221185293e-01,-1.039949133992195129e-01
7.478486213160294938e+00,6.399848094074816161e-03,1.889742910861968994e-03
1.660140147166338842e+00,2.973746340701036717e-01,2.966952621936798096e-01
1.456943182374158852e+01,-6.446977201516594647e-02,-6.330763548612594604e-02
1.390956539321481955e+01,-6.502679386447657306e-02,-6.546477228403091431e-02
5.058975967895481318e+00,-6.055836603581572775e-02,-5.888587608933448792e-02
1.088779610421525845e+01,2.744816865086850341e-02,2.991267293691635132e-02
1.832962312254786119e-01,9.623413357213416175e-01,9.619181752204895020e-01
3.514050594836780395e+00,-2.958016475019190628e-01,-2.949990034103393555e-01
1.252175107504344531e+01,1.971926222006862434e-02,1.843518763780593872e-02
8.562552491882840400e+00,-1.023862952232739987e-01,-1.053456291556358337e-01
1.976457070534915417e+01,-4.736668733754343524e-02,-4.693119972944259644e-02
8.248330382108189696e+00,-8.066808101552654098e-02,-8.485152572393417358e-02
1.164716620283733128e+01,5.442188405247673499e-02,5.502254515886306763e-02
2.948450797242408328e+00,-2.321810059471716703e-01,-2.329910099506378174e-01
4.912338983333977893e+00,-9.195651204231918008e-02,-9.012022614479064941e-02
7.436589931857008118e+00,1.158725657583521869e-02,7.112391293048858643e-03
1.319732861105894450e+01,-2.927090076421236253e-02,-3.105276077985763550e-02
5.608864660001120050e+00,3.902125078885738257e-02,3.892479091882705688e-02
1.471606880830309017e+01,-5.979566162281428621e-02,-5.836822837591171265e-02
1.859147482885712321e+01,-2.774504058111938384e-02,-2.832502871751785278e-02
3.864931950751806955e+00,-2.812142287251506168e-01,-2.800249159336090088e-01
1.176761801158428078e+01,5.344127827061707914e-02,5.369468778371810913e-02
2.875132304961656615e+00,-2.154195255732694880e-01,-2.164197564125061035e-01
2.248259195489988471e+01,2.648393449049210591e-02,2.726472169160842896e-02
1.384148393609697969e+01,-6.308109035289749533e-02,-6.369482725858688354e-02
5.367961042507221947e+00,9.389204942568064513e-05,8.466690778732299805e-04
1.925134125938388863e+01,-4.820948028180484929e-02,-4.811414331197738647e-02
6.294916266342442057e+00,9.326136715613979333e-02,9.108781069517135620e-02
2.518490209896188503e+01,-3.357963067339273661e-02,-3.226044774055480957e-02
2.222074019675434187e+01,2.958466198951874640e-02,3.069952875375747681e-02
4.184391095689369067e+00,-2.397158377154104680e-01,-2.383379936218261719e-01
2.380756185111632917e+01,-2.012446429224246450e-02,-1.978943496942520142e-02
1.993739286572520797e+01,-4.371171502718479429e-02,-4.307804256677627563e-02
2.374471742916139760e+01,-1.780747639143445693e-02,-1.747062057256698608e-02
2.535248722417502876e+01,-2.965809055622177504e-02,-2.807945758104324341e-02
9.740885408250171684e-01,6.615349453532022306e-01,6.614791154861450195e-01
6.336812552358117578e-01,8.150743885201481298e-01,8.155272006988525391e-01
1.718271237003410334e+01,3.500838687474112920e-02,3.557264059782028198e-02
2.339383607324636927e+01,-3.798188087475533412e-03,-3.503270447254180908e-03
2.516919099347314770e+01,-3.389381761600766818e-02,-3.260099142789840698e-02
