# Time, Target, Prediction
1.600737204971784067e+01,-2.298383409886753728e-02,-2.086686342954635620e-02
1.908674872556120405e+01,2.555534240801476953e-02,2.603382617235183716e-02
8.609685808041652066e+00,-1.106906434696309713e-02,-1.017887145280838013e-02
1.845381561871876386e+01,2.474055463802824970e-02,2.411297708749771118e-02
6.603153192732637677e+00,-2.161407162521665828e-02,-2.395280450582504272e-02
4.170176285579425546e+00,-3.296285186931882660e-02,-2.966139465570449829e-02
8.600708033476511361e+00,-1.184870388823262670e-02,-1.095610111951828003e-02
1.793310469394058515e+01,9.446803458810510562e-03,8.221499621868133545e-03
5.072442629376096690e+00,8.217685354786705143e-02,8.318864554166793823e-02
7.734352787940405705e+00,-7.024705848265989927e-02,-7.023713737726211548e-02
1.070150728171950760e+01,1.683151191586168549e-02,1.720532029867172241e-02
1.885332658686753859e+01,2.775632088481796295e-02,2.784238010644912720e-02
3.950220809376328579e-01,6.665839567820542877e-01,6.702578067779541016e-01
7.981241588481783111e+00,-5.945754125564788051e-02,-5.895406752824783325e-02
6.410131039582106283e+00,-6.849593351632894418e-04,-3.032542765140533447e-03
1.422977268646278048e+00,1.088041824281145153e-01,1.109148487448692322e-01
1.248808442018256670e+01,-3.576668728197206909e-02,-3.623422235250473022e-02
1.192248462257868269e+01,-4.325961812382490834e-02,-4.291142895817756653e-02
4.336265115034534823e+00,-2.134504222949389161e-03,1.011572778224945068e-03
9.332396660535504651e+00,4.146147247241125516e-02,4.190283268690109253e-02
1.571110549613961849e-01,8.456772142966905159e-01,8.487921357154846191e-01
3.012043366676235845e+00,-2.263622988270328207e-01,-2.247293591499328613e-01
1.073292949269750096e+01,1.476335330175602631e-02,1.515030860900878906e-02
7.339330707074200433e+00,-7.176750143584206820e-02,-7.279504090547561646e-02
1.694106060449250606e+01,-2.699615311192254605e-02,-2.738442271947860718e-02
7.069997470119970373e+00,-6.070720989324391442e-02,-6.241729110479354858e-02
9.983285316508228036e+00,5.064281928301807983e-02,5.082891136407852173e-02
2.527243540158621737e+00,-2.190779147082458078e-01,-2.183763384819030762e-01
4.210576271122560499e+00,-2.521151343897314392e-02,-2.193447202444076538e-02
6.374219941321542571e+00,3.342517143668415416e-03,1.010037958621978760e-03
1.131199595214909515e+01,-2.232736892010954780e-02,-2.174274250864982605e-02
4.807598279704437871e+00,6.369446197237543794e-02,6.566610187292098999e-02
1.261377326409454014e+01,-3.095606685332445707e-02,-3.165696188807487488e-02
1.593554985319671324e+01,-2.061677251127931251e-02,-1.834518462419509888e-02
3.312798814608460152e+00,-1.946247338425633466e-01,-1.923095881938934326e-01
1.008652972400734882e+01,4.812380013884239721e-02,4.831179231405258179e-02
2.464399118202634575e+00,-2.119505358459579381e-01,-2.113212943077087402e-01
1.927079310414659474e+01,2.194969479920353198e-02,2.268918603658676147e-02
1.186412908790526544e+01,-4.252775586318813250e-02,-4.212685301899909973e-02
4.601109464706193641e+00,3.955612458270704734e-02,4.215892404317855835e-02
1.650114965080059548e+01,-3.162886361367370225e-02,-3.083796054124832153e-02
5.395642513721172762e+00,8.528988243678266301e-02,8.509384840726852417e-02
2.158705894195297859e+01,-1.806160359221695849e-02,-1.945850998163223267e-02
1.904634874001807177e+01,2.613569177013829251e-02,2.655047923326492310e-02
3.586620938845260120e+00,-1.492206152559708010e-01,-1.463658213615417480e-01
2.040648158663693224e+01,-1.552931334862927421e-02,-1.471705734729766846e-02
