# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,7.000000000000000000e+00
6.284442295598705562e-03,7.051134976639469087e+00,6.999953923506860853e+00
1.256888449119741152e-02,7.101894728068455009e+00,6.999815695122223680e+00
1.885332668679612009e-02,7.152280316643818026e+00,6.999585318121607891e+00
2.513776888239482518e-02,7.202292799842156867e+00,6.999262797964107996e+00
3.142221107799353375e-02,7.251933230320338097e+00,6.998848142292245278e+00
3.770665327359223884e-02,7.301202655975679079e+00,6.998341360931742194e+00
4.399109546919094393e-02,7.350102120005623796e+00,6.997742465891256813e+00
5.027553766478964903e-02,7.398632660967035868e+00,6.997051471362031094e+00
5.655997986038835412e-02,7.446795312835053693e+00,6.996268393717505418e+00
6.284442205598705922e-02,7.494591105061519265e+00,6.995393251512843413e+00
6.912886425158576431e-02,7.542021062632965567e+00,6.994426065484416810e+00
7.541330644718446941e-02,7.589086206128247802e+00,6.993366858549217469e+00
8.169774864278317450e-02,7.635787551775655935e+00,6.992215655804209007e+00
8.798219083838187959e-02,7.682126111509697708e+00,6.990972484525627806e+00
9.426663303398058469e-02,7.728102893027423370e+00,6.989637374168196970e+00
1.005510752295792898e-01,7.773718899844343611e+00,6.988210356364314535e+00
1.068355174251779949e-01,7.818975131349932717e+00,6.986691464923146633e+00
1.131199596207767000e-01,7.863872582862748040e+00,6.985080735829680698e+00
1.194044018163754051e-01,7.908412245685084052e+00,6.983378207243709390e+00
1.256888440119741379e-01,7.952595107157282683e+00,6.981583919498754121e+00
1.319732862075728430e-01,7.996422150711602228e+00,6.979697915100925520e+00
1.382577284031715481e-01,8.039894355925678582e+00,6.977720238727727953e+00
1.445421705987702532e-01,8.083012698575620547e+00,6.975650937226797410e+00
1.508266127943689583e-01,8.125778150688669044e+00,6.973490059614578129e+00
1.571110549899676634e-01,8.168191680595461079e+00,6.971237657074946803e+00
1.633954971855663685e-01,8.210254252981940226e+00,6.968893782957758631e+00
1.696799393811650736e-01,8.251966828940791032e+00,6.966458492777354294e+00
1.759643815767637787e-01,8.293330366022582112e+00,6.963931844210985211e+00
1.822488237723624838e-01,8.334345818286424290e+00,6.961313897097190839e+00
1.885332659679611889e-01,8.375014136350282357e+00,6.958604713434112909e+00
1.948177081635598940e-01,8.415336267440931550e+00,6.955804357377740388e+00
2.011021503591585990e-01,8.455313155443441531e+00,6.952912895240110913e+00
2.073865925547573041e-01,8.494945740950365476e+00,6.949930395487427859e+00
2.136710347503560092e-01,8.534234961310474432e+00,6.946856928738141868e+00
2.199554769459547143e-01,8.573181750677170143e+00,6.943692567760954226e+00
2.262399191415534194e-01,8.611787040056462672e+00,6.940437387472758957e+00
2.325243613371521245e-01,8.650051757354606963e+00,6.937091464936543161e+00
2.388088035327508296e-01,8.687976827425369919e+00,6.933654879359204770e+00
2.450932457283495347e-01,8.725563172116851618e+00,6.930127712089322323e+00
2.513776879239482676e-01,8.762811710318050729e+00,6.926510046614862581e+00
2.576621301195469727e-01,8.799723358004932550e+00,6.922801968560824193e+00
