# Time, Target, Prediction
1.924006149190987669e+00,6.183231529784531944e-01,6.154561638832092285e-01
1.852943610448448553e+01,-4.030157508955466150e-02,-4.030573368072509766e-02
2.337812496770409965e+01,-3.330804339334789144e-02,-3.309288620948791504e-02
2.210189978336713068e+01,1.739043387808836705e-04,-2.655386924743652344e-05
3.074542489615981200e+00,3.224960133191537986e-02,3.141626715660095215e-02
1.230300414453746249e+01,2.232893784775875912e-02,2.148539386689662933e-02
5.612490299376996283e+00,1.312243237154908648e-01,1.304640173912048340e-01
1.078023545868085264e+01,8.169731791371985519e-02,8.196792006492614746e-02
7.154595731143139625e-01,9.940170542178020652e-01,9.940139651298522949e-01
1.223049134997286203e+01,2.874175690149918458e-02,2.789845690131187439e-02
1.967513825860516974e+01,3.490981135053015418e-03,4.085302352905273438e-03
6.095908929807665189e+00,1.728701170216239147e-01,1.722884178161621094e-01
2.263366027684086745e+01,-2.252633930769448387e-02,-2.280032634735107422e-02
1.609784039411052525e+00,7.842498464966549676e-01,7.813089489936828613e-01
4.379772791778788310e+00,-8.563943040319195454e-02,-8.679440617561340332e-02
1.532437058472914337e+01,3.850771142745829795e-02,3.941804170608520508e-02
2.334911985057056771e+00,3.840566525738997039e-01,3.819923996925354004e-01
1.365657630974333436e+01,-4.992977870267203272e-02,-4.989773035049438477e-02
8.595183249134226600e+00,-6.279020042018673697e-02,-6.360533833503723145e-02
1.192110342649723442e+01,5.471004404039899599e-02,5.396347492933273315e-02
7.686356224616875954e-01,9.982981722831245630e-01,9.982635378837585449e-01
7.555833193708288320e+00,4.097314952684415201e-02,3.953787684440612793e-02
1.943342894408214727e+00,6.074607129768567759e-01,6.046188473701477051e-01
2.058396528381483037e+01,3.895685855227856015e-02,3.944841027259826660e-02
2.308323960314139001e+01,-3.278820376150909377e-02,-3.285640478134155273e-02
5.293434003292754042e+00,8.029722848511118560e-02,7.933303713798522949e-02
1.476360497342956890e+01,2.835389350794530802e-03,3.715530037879943848e-03
2.063230714685789735e+01,3.966253667606253058e-02,4.011911153793334961e-02
1.793966537535906625e+01,-3.188470974367601379e-02,-3.222778439521789551e-02
2.189886395927855833e+00,4.665694631613197529e-01,4.641807675361633301e-01
1.974765105316977198e+01,7.316278377939890165e-03,7.935732603073120117e-03
1.866479332100507094e+01,-3.863080360789671736e-02,-3.855547308921813965e-02
2.122207787598331308e+01,3.608374487750466708e-02,3.611880540847778320e-02
9.194622350868257854e+00,-5.178131666567181018e-02,-5.184170603752136230e-02
1.166005736606467202e+01,7.264010975326319619e-02,7.210397720336914062e-02
6.584161746542642746e+00,1.637169929116916167e-01,1.630047261714935303e-01
1.825872167144331115e+01,-3.960405124009421657e-02,-3.976890444755554199e-02
1.734989464623365052e+01,-2.212512417464466020e-03,-2.659976482391357422e-03
1.883882402796011490e+01,-3.464318967171944874e-02,-3.446674346923828125e-02
1.648940948406705687e+01,4.608016913233246858e-02,4.607975482940673828e-02
1.757226721623175791e+01,-1.512640778835737908e-02,-1.558774709701538086e-02
1.232717507605899598e+01,2.018667211273549034e-02,1.934454590082168579e-02
2.244512701097290730e+01,-1.539509994358064481e-02,-1.566553115844726562e-02
7.594506684142740660e+00,3.524691146398937353e-02,3.379657864570617676e-02
2.939185273095393569e+00,8.374582981377767799e-02,8.278885483741760254e-02
1.049985265303106452e+01,6.555641583941296258e-02,6.602731347084045410e-02
3.263075755483942242e+00,-2.721727411868358690e-02,-2.796702086925506592e-02
2.018272782055737480e+01,2.768898566990808663e-02,2.836039662361145020e-02
1.817654050496240625e+00,6.770323190569375038e-01,6.740647554397583008e-01
1.454606658973576572e+01,-1.223221763082629927e-02,-1.144924759864807129e-02
1.885816077317733885e+01,-3.408132740897595186e-02,-3.389376401901245117e-02
1.807985677818396297e+01,-3.615998096874503687e-02,-3.642868995666503906e-02
6.477809648540202581e-01,9.846407093763539509e-01,9.845579862594604492e-01
7.995744147400197122e+00,-1.850497716973142220e-02,-1.992118358612060547e-02
9.064099320651976655e+00,-5.855889584118928459e-02,-5.878701806068420410e-02
2.099970530598520568e+01,4.003055706869326769e-02,4.020321369171142578e-02
2.576621300272391224e+00,2.528210181397961276e-01,2.512787580490112305e-01
2.302522936748971105e+01,-3.208374783989063200e-02,-3.219690918922424316e-02
1.072705940933347790e+01,7.929122745932239147e-02,7.960096001625061035e-02
1.390311981126297525e+01,-4.554939312143109487e-02,-4.523196816444396973e-02
1.020496728846835666e+01,4.085022180628646027e-02,4.147857427597045898e-02
4.510295821995069510e+00,-6.664305975531825688e-02,-6.782424449920654297e-02
1.274291509822936952e+01,-1.482760744626556576e-02,-1.557428389787673950e-02
1.473459985560372765e+01,8.032882880804525973e-04,1.671969890594482422e-03
2.124141462120054058e+01,3.560428903965492248e-02,3.562963008880615234e-02
2.243062445275229688e+00,4.361358619375013124e-01,4.338645040988922119e-01
9.900413551297035042e+00,1.057094677979308721e-02,1.120239496231079102e-02
1.351638490691843941e+01,-4.975379237399783078e-02,-4.989392310380935669e-02
2.186502465445610355e+01,1.155977849509020466e-02,1.141139864921569824e-02
