# Time, Target, Prediction
2.107906653115399465e+01,1.435263214312721379e-02,1.090525090694427490e-02
1.814632683987459671e+01,-4.807905797063455507e-03,5.061179399490356445e-04
2.566147229877804747e+01,-6.303698801086403750e-03,2.055004239082336426e-03
2.384422109721742444e+01,-1.638764591964417608e-02,-1.712508499622344971e-02
1.245890665285776855e+01,1.829570596548839648e-02,1.857021450996398926e-02
1.479462433555528555e+01,-2.802104417857865723e-02,-3.319728374481201172e-02
1.996357804143522330e+01,-2.241786702378042312e-02,-2.476973831653594971e-02
1.257412142644374420e+01,1.177928188279834566e-02,1.172056794166564941e-02
1.945558563062432711e+01,-3.114792945009304051e-02,-3.158020973205566406e-02
1.006034454820426127e+01,-9.900125085456424126e-03,-3.470152616500854492e-03
1.357439514257653634e+01,-3.690811993456340201e-02,-4.042617976665496826e-02
3.173643308860679912e+00,-2.317880747716175860e-01,-2.315801531076431274e-01
1.308211383725464039e+01,-1.664367184983630774e-02,-1.840899884700775146e-02
1.541783151995215917e+01,2.794169684106168300e-04,-3.027096390724182129e-03
2.006831874469520116e+01,-1.951885714703013516e-02,-2.215413749217987061e-02
7.211397419532849185e+00,2.504108860099696701e-02,3.235290944576263428e-02
1.201899569916585797e+01,3.987970047624914832e-02,4.119758307933807373e-02
8.169774855111651135e-01,4.810090198099650771e-01,4.876115918159484863e-01
7.043812294316883715e+00,4.056684317966333109e-02,4.665693640708923340e-02
2.042967417094212479e+01,-7.737314928720095963e-03,-1.100911200046539307e-02
1.079352947102411164e+01,3.732965764357182997e-02,4.108485579490661621e-02
3.864931950376537806e+00,-1.946247338425633466e-01,-1.917673498392105103e-01
1.864384518035949156e+01,-2.212458845391977041e-02,-1.876047253608703613e-02
1.815680091020059450e+01,-5.223649511021409564e-03,5.774199962615966797e-05
3.053191500111704482e+00,-2.266923261634845033e-01,-2.273447662591934204e-01
6.284442196432039607e-01,5.755191206533933901e-01,5.806173682212829590e-01
1.198757348818786639e+01,4.110970689256285282e-02,4.248967766761779785e-02
2.020971869409617128e+01,-1.517768625182862839e-02,-1.812392473220825195e-02
5.792160890360141146e+00,7.640846134330951667e-02,7.553344219923019409e-02
6.132568175955070089e+00,8.649203064691268761e-02,8.669211715459823608e-02
4.739516822597357404e+00,-5.422354297474369506e-02,-5.341762304306030273e-02
1.303498052078765035e+01,-1.419399689725077580e-02,-1.579006016254425049e-02
2.594950923274299015e+01,1.825433737540251532e-03,1.097749173641204834e-02
1.419760232697340996e+01,-4.314207539873905067e-02,-4.827252030372619629e-02
3.503576524129611958e+00,-2.269346735745945698e-01,-2.249076515436172485e-01
2.281252517010663539e+01,1.386557785262908411e-02,1.149572432041168213e-02
1.414523197534342103e+01,-4.354599610525164421e-02,-4.859167337417602539e-02
3.508813559292611295e+00,-2.266514844051032429e-01,-2.246033102273941040e-01
2.541009461095410060e+01,-1.296650531269717861e-02,-5.765810608863830566e-03
2.229405868896974141e+01,2.519861193220305703e-02,2.252610027790069580e-02
1.807300834759261221e+01,-1.866756590666855068e-03,3.661513328552246094e-03
2.265541411521666859e+01,1.803953355648758514e-02,1.559065282344818115e-02
1.429186895990739004e+01,-4.200097976019388779e-02,-4.725356400012969971e-02
1.483128358169627781e+01,-2.657640532322619320e-02,-3.169690072536468506e-02
4.084887427972492269e-01,6.970765215502597867e-01,6.962794065475463867e-01
1.753359372580372266e+01,1.945177023957140455e-02,2.561691403388977051e-02
2.436268757835431487e+01,-2.427233972708567680e-02,-2.282063663005828857e-02
2.611709435795895473e+01,6.434601168618195657e-03,1.569883525371551514e-02
2.113143688278398358e+01,1.586708814852152982e-02,1.243446767330169678e-02
1.261601770774773534e+01,9.374171115566333132e-03,9.188309311866760254e-03
3.833509739398544003e+00,-1.983599507987983679e-01,-1.955243200063705444e-01
3.514050594455609744e+00,-2.263622988270328207e-01,-2.242933362722396851e-01
1.031695927194121065e+00,3.794425107857269941e-01,3.845993876457214355e-01
1.598343131755604318e+01,2.424361621352594254e-02,2.398769557476043701e-02
8.117404502731663030e+00,-5.336064306669036084e-02,-4.147379100322723389e-02
