# Time, Target, Prediction
1.901567467693242008e+01,-2.982770699124295127e-02,-2.780874073505401611e-02
1.925134125926737028e+01,-3.162886361367370225e-02,-3.121934831142425537e-02
1.665377181841990506e+01,3.655946969481551484e-02,4.054018855094909668e-02
1.809395648824460778e+01,-2.711963230677423738e-03,4.342287778854370117e-03
4.147731849178478925e+00,-1.550007681016767336e-01,-1.479760110378265381e-01
3.116035922067692088e+00,-2.298326324668217013e-01,-2.306648492813110352e-01
1.610388312630501773e+01,2.803870624510576906e-02,2.818283438682556152e-02
1.664853478325690617e+01,3.655222941249604979e-02,4.049852490425109863e-02
6.017353402369094439e+00,8.503614148463692346e-02,8.345534652471542358e-02
1.187759574976488786e+01,4.498267159270284005e-02,4.533526301383972168e-02
4.048228181081499955e+00,-1.700357019070590781e-01,-1.628915369510650635e-01
1.454324664773133868e+01,-3.652406387667482546e-02,-4.195795953273773193e-02
1.211326233209983982e+01,3.589067743493501439e-02,3.605699539184570312e-02
1.325493599763360386e+01,-2.498340996628919952e-02,-2.697886526584625244e-02
6.457264356061004129e+00,8.053907486680125793e-02,8.119620382785797119e-02
1.886380065720544863e+01,-2.736052615504101435e-02,-2.432259917259216309e-02
1.771688995650868392e+01,1.254313658701933752e-02,2.029415965080261230e-02
2.329433240510253711e+01,-8.924381361197220031e-04,-1.058667898178100586e-03
1.034838148216920217e+01,1.095748460816374503e-02,1.560854911804199219e-02
2.256114748228268496e+01,2.027224391646598178e-02,1.825907826423645020e-02
5.111346319170281483e+00,5.657057229673816481e-03,6.583780050277709961e-03
1.179380318715690557e+01,4.744617251620475429e-02,4.786400496959686279e-02
2.308485099858257783e+01,5.707324638743571654e-03,5.079597234725952148e-03
4.907101947813322873e+00,-2.606569975408312700e-02,-2.361716330051422119e-02
2.309532506890857562e+01,5.379600347802075341e-03,4.775792360305786133e-03
2.239356235706672393e+01,2.362791549326112572e-02,2.111181616783142090e-02
2.974635972666721084e+00,-2.212632532964356746e-01,-2.245000600814819336e-01
2.453027270357027945e+01,-2.487628793009088318e-02,-2.122478187084197998e-02
1.859671186389250508e+01,-2.077169440223568947e-02,-1.606136560440063477e-02
2.418462838281235250e+01,-2.254368784440315826e-02,-2.031496167182922363e-02
7.153790032739859583e+00,3.048090925980832117e-02,3.760702908039093018e-02
2.190651808690782332e+01,2.784913718582929937e-02,2.392309904098510742e-02
1.110251454564104812e+01,4.852645825935179152e-02,4.993407428264617920e-02
1.805729724210361553e+01,-1.230775962563495848e-03,5.936756730079650879e-03
2.414273210150836135e+01,-2.197983550412101195e-02,-1.990413665771484375e-02
9.400478117666398958e+00,-5.486272419082253299e-02,-4.365617036819458008e-02
1.664329774809390372e+01,3.654353825695112745e-02,4.045535624027252197e-02
1.490983910914126298e+01,-2.333784659097545150e-02,-2.870166301727294922e-02
1.050025550189617185e+01,2.103106455327270405e-02,2.480985224246978760e-02
6.860516063611920679e+00,5.605208076920702165e-02,6.020926684141159058e-02
2.298011029532259997e+01,8.942797507099909532e-03,8.067667484283447266e-03
2.508539843159816929e+00,-1.539075040346190582e-01,-1.650148332118988037e-01
2.026208904572616021e+01,-1.346832148045002016e-02,-1.833452284336090088e-02
6.823856817470929315e+00,5.888770066846493734e-02,6.268919259309768677e-02
1.671661624037589178e+01,3.653347464231984643e-02,4.092049598693847656e-02
1.307687680209163972e+01,-1.637475780824804161e-02,-1.786799728870391846e-02
2.168656261006186625e+01,2.671599949945717770e-02,2.225092053413391113e-02
9.065307867234468020e+00,-6.910585462554716396e-02,-5.582748353481292725e-02
1.532880192218117443e+01,-3.984859463849072317e-03,-8.254900574684143066e-03
2.546770199774708843e+01,-1.151090451604607802e-02,-3.922715783119201660e-03
1.670614217004989399e+01,3.655224341433590401e-02,4.087246954441070557e-02
1.840817859802454137e+01,-1.466987554562391646e-02,-8.928671479225158691e-03
9.342870730873409357e+00,-5.789627977794321173e-02,-4.630324244499206543e-02
1.450658740234034738e+00,1.941908421158577425e-01,1.907429099082946777e-01
8.164537819198653068e+00,-5.617832404896071913e-02,-4.152899980545043945e-02
1.642334227124795021e+01,3.486830570449697686e-02,3.727149963378906250e-02
1.611435719663101551e+01,2.833941045026761030e-02,2.855649590492248535e-02
1.936655603285334237e+01,-3.158899450907064893e-02,-3.195467591285705566e-02
5.043264862051294983e+00,-4.521808660353131976e-03,-3.105759620666503906e-03
2.046109638192012170e+01,-6.631603742048767722e-03,-1.193836331367492676e-02
1.987454844366424211e+01,-2.462887930084339469e-02,-2.799740433692932129e-02
2.038254085447513830e+01,-9.381204101187980496e-03,-1.454046368598937988e-02
2.161848115294288419e+01,2.597634242344231889e-02,2.136170864105224609e-02
1.796303060916963545e+01,2.609453689266534766e-03,1.002544164657592773e-02
7.043812294316883715e+00,4.056684317966333109e-02,4.656523466110229492e-02
1.777449734330167175e+01,1.026039298268318668e-02,1.797543466091156006e-02
1.335443966648058423e+00,2.434204009566644233e-01,2.445081323385238647e-01
3.173643308860679912e+00,-2.317880747716175860e-01,-2.316962778568267822e-01
1.706226056113381873e+01,3.279353317759352293e-02,3.910294175148010254e-02
1.639715709543295574e+01,3.449968736148750076e-02,3.671807050704956055e-02
4.084887427972492269e-01,6.970765215502597867e-01,7.161753177642822266e-01
2.186985884076683107e+01,2.779501608828657822e-02,2.377355098724365234e-02
2.132520718381493907e+01,2.082130807478791215e-02,1.566645503044128418e-02
