# Time, Target, Prediction
2.113143688278398358e+01,1.586708814852152982e-02,1.479385793209075928e-02
1.430234303023338782e+01,-4.184203673175995730e-02,-4.749624431133270264e-02
6.614375410950971812e+00,7.292069278143475941e-02,8.214595168828964233e-02
7.829367568766722130e+00,-3.240786379790290550e-02,-1.581113040447235107e-02
2.081197773784104754e+01,5.756924736817785673e-03,3.986001014709472656e-03
2.471880597018824677e+00,-1.460748500865111932e-01,-1.501481384038925171e-01
1.923563015377837004e+01,-3.158741019795850702e-02,-3.538830578327178955e-02
2.534725018899811388e+01,-1.449100110493249313e-02,-6.361961364746093750e-03
1.378911358425949274e+01,-4.176767849927334048e-02,-4.756301641464233398e-02
1.609864609114201883e+01,2.788653634240250215e-02,3.040464222431182861e-02
1.968601517779628196e+01,-2.841714236776528985e-02,-3.243325650691986084e-02
1.710939387760081232e+01,3.184170184058992409e-02,3.591482341289520264e-02
7.179975208554855826e+00,2.801891915163397945e-02,4.183633625507354736e-02
2.263970300972766836e+01,1.842715537743601015e-02,1.791727542877197266e-02
5.546020237699191391e+00,5.818608214336663115e-02,6.169147789478302002e-02
1.947129673611332379e+01,-3.103357797257066258e-02,-3.506597876548767090e-02
1.880095623599946419e+00,2.625714920120553186e-02,1.837114989757537842e-02
1.942940045555933137e+00,4.262772966056937313e-03,-3.781989216804504395e-03
2.508016139568516678e+01,-2.003314122331300087e-02,-1.273256540298461914e-02
2.561957601747405633e+01,-7.461524018341008160e-03,1.036837697029113770e-03
1.821440829699358233e+01,-7.485339205607819540e-03,-7.658764719963073730e-03
1.699941613917783201e+01,3.390648500957716555e-02,3.811475634574890137e-02
2.356665823357847955e+01,-9.152833194901406622e-03,-8.735910058021545410e-03
9.620433594512352471e+00,-4.152235137398264248e-02,-3.361779451370239258e-02
8.913433847507498342e+00,-7.248366326092883782e-02,-5.942825973033905029e-02
2.770391601309762919e+00,-1.991745751917075591e-01,-1.988389045000076294e-01
7.405167720563809119e+00,6.375438595302920439e-03,2.157311141490936279e-02
6.221597773726052161e+00,8.629138400199649894e-02,9.238822758197784424e-02
1.097682570172907468e+01,4.479967911722734092e-02,4.593530297279357910e-02
1.702560131499282647e+01,3.346487192891488965e-02,3.764776885509490967e-02
1.972791145910026955e+01,-2.768846258767140162e-02,-3.167790174484252930e-02
8.180248924687647971e+00,-5.707501144003143678e-02,-4.062288999557495117e-02
2.422128762895334475e+01,-2.298887034551747380e-02,-1.993487775325775146e-02
2.352999898743748730e+01,-8.089851301106277398e-03,-7.771059870719909668e-03
1.921991904828937336e+01,-3.153467200935371195e-02,-3.531064093112945557e-02
7.886974955559709066e+00,-3.705974631599762148e-02,-2.040675282478332520e-02
