# Time, Target, Prediction
1.867526739133748848e+01,-1.897836197320640263e-03,-3.204599022865295410e-03
2.226787351315474695e+01,3.750172092540691310e-02,3.636747598648071289e-02
1.004463344271526459e+01,-6.658069493143758955e-02,-6.972581148147583008e-02
2.152945155517189946e+01,1.326799316501996173e-02,1.265436410903930664e-02
7.703678724854746918e+00,7.318339624607345106e-02,6.029576063156127930e-02
4.865205666509331728e+00,-1.006841802558869764e-01,-9.881088137626647949e-02
1.003415937238926681e+01,-6.732882914597028423e-02,-7.049386203289031982e-02
2.092195547626402430e+01,-1.671862008692726748e-02,-1.645380258560180664e-02
5.917849734272114581e+00,8.456668312820739275e-02,8.182364702224731445e-02
9.023411585930476875e+00,-7.885342842620009229e-02,-8.600454032421112061e-02
1.248509182867276301e+01,6.509831248209506371e-02,6.322538852691650391e-02
2.199554768467880095e+01,3.138988177457849305e-02,3.037457168102264404e-02
4.608590944272384915e-01,9.243854154523470923e-01,9.073671698570251465e-01
9.311448519895415998e+00,-8.935540335266727030e-02,-9.498582780361175537e-02
7.478486212845793624e+00,1.007722675561575215e-01,8.794569969177246094e-02
1.660140146753991575e+00,7.735470680745450966e-01,7.809825539588928223e-01
1.456943182354633315e+01,-5.995931984662999231e-02,-5.778716504573822021e-02
1.390956539300846728e+01,-3.581151889214528178e-02,-3.394035995006561279e-02
5.058975967540292551e+00,-6.806846082838115264e-02,-6.628304719924926758e-02
1.088779610395809172e+01,1.136334641799610287e-02,8.720993995666503906e-03
1.832962307882955999e-01,7.350053138134993169e-01,7.313650846481323242e-01
3.514050594455609744e+00,-7.982433936848888634e-02,-8.452320098876953125e-02
1.252175107481375527e+01,6.343328518907966063e-02,6.164920330047607422e-02
8.562552491586570724e+00,-3.967763695252671946e-02,-4.946488142013549805e-02
1.976457070524126536e+01,-4.398728609238023585e-02,-4.252108931541442871e-02
8.248330381806635359e+00,-1.057436184992763435e-03,-1.244217157363891602e-02
1.164716620259293656e+01,6.708103934958464798e-02,6.411993503570556641e-02
2.948450796851726619e+00,1.133123567134972087e-01,1.081094890832901001e-01
4.912338982976321766e+00,-9.314981675349728873e-02,-9.126082062721252441e-02
7.436589931541801590e+00,1.054171368373349044e-01,9.265136718750000000e-02
1.319732861084061604e+01,1.773944610578999381e-02,1.782353222370147705e-02
5.608864659655178997e+00,3.393086471506113339e-02,3.344219923019409180e-02
1.471606880811030216e+01,-6.032922577679913217e-02,-5.832132697105407715e-02
1.859147482872950263e+01,2.920537246979203975e-03,1.321822404861450195e-03
3.864931950376537806e+00,-1.418808227874697181e-01,-1.445881724357604980e-01
1.176761801134191110e+01,7.133073227659390836e-02,6.839609146118164062e-02
2.875132304569741226e+00,1.457690436214861551e-01,1.408664584159851074e-01
2.248259195483770156e+01,3.946268320858740269e-02,3.830093145370483398e-02
1.384148393588948167e+01,-3.150594354692490967e-02,-2.975957095623016357e-02
5.367961042157228135e+00,-1.065294095492429205e-02,-9.814351797103881836e-03
1.925134125926737028e+01,-3.094425945709326428e-02,-3.043347597122192383e-02
6.294916266008037553e+00,1.284235493245508286e-01,1.224629282951354980e-01
2.518490209894514820e+01,-3.538752088529421858e-02,-4.196958243846893311e-02
2.222074019668775691e+01,3.672523217122707073e-02,3.560473024845123291e-02
4.184391095319472065e+00,-1.598904046836914228e-01,-1.605335175991058350e-01
2.380756185107642864e+01,3.038972333577923991e-03,1.170560717582702637e-03
1.993739286562022883e+01,-4.470173169649271222e-02,-4.315237700939178467e-02
2.374471742912044192e+01,5.858593095155397064e-03,4.127189517021179199e-03
2.535248722416111278e+01,-3.443465383635469640e-02,-4.135264456272125244e-02
9.740885404011327964e-01,9.918260676753665184e-01,9.905532002449035645e-01
