# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,7.000000000000000000e+00
6.284442295598705562e-03,7.104959613403133645e+00,6.999953923506860853e+00
1.256888449119741152e-02,7.208689531110921145e+00,6.999815695122223680e+00
1.885332668679612009e-02,7.311202139610022854e+00,6.999585318121607891e+00
2.513776888239482518e-02,7.412509671769590192e+00,6.999262797964107996e+00
3.142221107799353375e-02,7.512624208822920480e+00,6.998848142292245278e+00
3.770665327359223884e-02,7.611557682324456842e+00,6.998341360931742194e+00
4.399109546919094393e-02,7.709321876082210423e+00,6.997742465891256813e+00
5.027553766478964903e-02,7.805928428066097879e+00,6.997051471362031094e+00
5.655997986038835412e-02,7.901388832292389530e+00,6.996268393717505418e+00
6.284442205598705922e-02,7.995714440684594138e+00,6.995393251512843413e+00
6.912886425158576431e-02,8.088916464911056536e+00,6.994426065484416810e+00
7.541330644718446941e-02,8.181005978199658912e+00,6.993366858549217469e+00
8.169774864278317450e-02,8.271993917129666585e+00,6.992215655804209007e+00
8.798219083838187959e-02,8.361891083401308933e+00,6.990972484525627806e+00
9.426663303398058469e-02,8.450708145583160302e+00,6.989637374168196970e+00
1.005510752295792898e-01,8.538455640837637972e+00,6.988210356364314535e+00
1.068355174251779949e-01,8.625143976624942255e+00,6.986691464923146633e+00
1.131199596207767000e-01,8.710783432385685643e+00,6.985080735829680698e+00
1.194044018163754051e-01,8.795384161202397522e+00,6.983378207243709390e+00
1.256888440119741379e-01,8.878956191440305901e+00,6.981583919498754121e+00
1.319732862075728430e-01,8.961509428367547159e+00,6.979697915100925520e+00
1.382577284031715481e-01,9.043053655755066700e+00,6.977720238727727953e+00
1.445421705987702532e-01,9.123598537456542701e+00,6.975650937226797410e+00
1.508266127943689583e-01,9.203153618968466176e+00,6.973490059614578129e+00
1.571110549899676634e-01,9.281728328970718422e+00,6.971237657074946803e+00
1.633954971855663685e-01,9.359331980847860777e+00,6.968893782957758631e+00
1.696799393811650736e-01,9.435973774191289465e+00,6.966458492777354294e+00
1.759643815767637787e-01,9.511662796282704946e+00,6.963931844210985211e+00
1.822488237723624838e-01,9.586408023558844249e+00,6.961313897097190839e+00
1.885332659679611889e-01,9.660218323057941703e+00,6.958604713434112909e+00
1.948177081635598940e-01,9.733102453848085034e+00,6.955804357377740388e+00
2.011021503591585990e-01,9.805069068437552104e+00,6.952912895240110913e+00
2.073865925547573041e-01,9.876126714167581255e+00,6.949930395487427859e+00
2.136710347503560092e-01,9.946283834587616113e+00,6.946856928738141868e+00
2.199554769459547143e-01,1.001554877081331263e+01,6.943692567760954226e+00
2.262399191415534194e-01,1.008392976286750731e+01,6.940437387472758957e+00
2.325243613371521245e-01,1.015143495100436866e+01,6.937091464936543161e+00
2.388088035327508296e-01,1.021807237701696280e+01,6.933654879359204770e+00
2.450932457283495347e-01,1.028384998552831320e+01,6.930127712089322323e+00
2.513776879239482676e-01,1.034877562526638428e+01,6.926510046614862581e+00
2.576621301195469727e-01,1.041285705032294473e+01,6.922801968560824193e+00
2.639465723151456777e-01,1.047610192139671526e+01,6.919003565686824508e+00
2.702310145107443828e-01,1.053851780702081875e+01,6.915114927884627782e+00
2.765154567063430879e-01,1.060011218477489159e+01,6.911136147175608535e+00
2.827998989019417930e-01,1.066089244248188805e+01,6.907067317708159848e+00
2.890843410975404981e-01,1.072086587938993141e+01,6.902908535755036823e+00
2.953687832931392032e-01,1.078003970733924710e+01,6.898659899710646748e+00
3.016532254887379083e-01,1.083842105191442151e+01,6.894321510088269100e+00
3.079376676843366134e-01,1.089601695358225264e+01,6.889893469517232916e+00
3.142221098799353185e-01,1.095283436881517680e+01,6.885375882740015108e+00
3.205065520755340236e-01,1.100888017120066742e+01,6.880768856609289941e+00
3.267909942711327287e-01,1.106416115253662014e+01,6.876072500084924322e+00
3.330754364667314338e-01,1.111868402391295696e+01,6.871286924230901150e+00
3.393598786623301389e-01,1.117245541677962528e+01,6.866412242212190264e+00
3.456443208579288440e-01,1.122548188400117652e+01,6.861448569291562549e+00
