# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,2.100000000000000000e+01
1.000200139987997673e-03,6.999953923499114161e+00,2.098307300309496171e+01
2.000400179975995313e-03,6.999815695106734736e+00,2.096589884673749538e+01
3.000600219963992735e-03,6.999585318098380249e+00,2.094847770507138307e+01
4.000800259951990158e-03,6.999262797933146985e+00,2.093080975851042425e+01
5.001000299939988014e-03,6.998848142253553561e+00,2.091289519373332340e+01
6.001200339927985003e-03,6.998341360885323326e+00,2.089473420367836454e+01
7.001400379915982859e-03,6.997742465837112569e+00,2.087632698753786187e+01
8.001600419903980715e-03,6.997051471300168579e+00,2.085767375075243635e+01
9.001800459891977704e-03,6.996268393647928185e+00,2.083877470500525320e+01
1.000200049987997643e-02,6.995393251435557680e+00,2.081963006821585438e+01
1.100220053986797342e-02,6.994426065399426129e+00,2.080024006453404795e+01
1.200240057985597041e-02,6.993366858456528057e+00,2.078060492433340656e+01
1.300260061984396913e-02,6.992215655703825306e+00,2.076072488420479800e+01
1.400280065983196612e-02,6.990972484417556032e+00,2.074060018694957463e+01
1.500300069981996484e-02,6.989637374052442453e+00,2.072023108157267401e+01
1.600320073980796357e-02,6.988210356240882604e+00,2.069961782327551347e+01
1.700340077979596229e-02,6.986691464792043504e+00,2.067876067344874969e+01
1.800360081978395754e-02,6.985080735690912590e+00,2.065765989966481797e+01
1.900380085977195627e-02,6.983378207097283408e+00,2.063631577567030106e+01
2.000400089975995499e-02,6.981583919344675593e+00,2.061472858137816999e+01
2.100420093974795024e-02,6.979697914939202441e+00,2.059289860285976559e+01
2.200440097973594897e-02,6.977720238558365651e+00,2.057082613233671964e+01
2.300460101972394769e-02,6.975650937049803879e+00,2.054851146817265573e+01
2.400480105971194295e-02,6.973490059429961363e+00,2.052595491486460588e+01
2.500500109969994167e-02,6.971237656882712130e+00,2.050315678303450184e+01
2.600520113968794039e-02,6.968893782757914934e+00,2.048011738942016891e+01
2.700540117967593912e-02,6.966458492569910455e+00,2.045683705686652942e+01
2.800560121966393437e-02,6.963931843995948334e+00,2.043331611431624850e+01
2.900580125965193309e-02,6.961313896874568918e+00,2.040955489680048274e+01
3.000600129963993182e-02,6.958604713203913938e+00,2.038555374542938381e+01
3.100620133962792707e-02,6.955804357139974137e+00,2.036131300738234629e+01
3.200640137961592580e-02,6.952912894994784487e+00,2.033683303589819502e+01
3.300660141960392452e-02,6.949930395234551916e+00,2.031211419026515586e+01
3.400680145959192324e-02,6.946856928477725290e+00,2.028715683581064866e+01
3.500700149957992197e-02,6.943692567493004120e+00,2.026196134389092762e+01
3.600720153956791375e-02,6.940437387197285979e+00,2.023652809188053681e+01
3.700740157955591247e-02,6.937091464653557082e+00,2.021085746316161291e+01
3.800760161954391120e-02,6.933654879068715360e+00,2.018494984711301043e+01
3.900780165953190992e-02,6.930127711791340239e+00,2.015880563909928114e+01
4.000800169951990864e-02,6.926510046309396706e+00,2.013242524045939774e+01
4.100820173950790737e-02,6.922801968247883408e+00,2.010580905849545630e+01
4.200840177949589915e-02,6.919003565366422137e+00,2.007895750646109789e+01
4.300860181948389788e-02,6.915114927556771818e+00,2.005187100354975982e+01
4.400880185947189660e-02,6.911136146840312300e+00,2.002454997488285571e+01
4.500900189945989532e-02,6.907067317365433112e+00,1.999699485149771760e+01
4.600920193944789405e-02,6.902908535404891133e+00,1.996920607033531425e+01
4.700940197943589277e-02,6.898659899353093650e+00,1.994118407422799066e+01
4.800960201942388456e-02,6.894321509723319252e+00,1.991292931188680981e+01
4.900980205941188328e-02,6.889893469144899640e+00,1.988444223788892984e+01
5.001000209939988200e-02,6.885375882360306399e+00,1.985572331266471124e+01
5.101020213938788073e-02,6.880768856222220897e+00,1.982677300248461094e+01
5.201040217937587945e-02,6.876072499690506490e+00,1.979759177944609405e+01
5.301060221936387817e-02,6.871286923829146964e+00,1.976818012146018688e+01
5.401080225935187690e-02,6.866412241803111272e+00,1.973853851223796596e+01
5.501100229933986868e-02,6.861448568875172072e+00,1.970866744127694048e+01
5.601120233932786741e-02,6.856396022402648782e+00,1.967856740384702263e+01
5.701140237931586613e-02,6.851254721834109773e+00,1.964823890097672532e+01
5.801160241930386485e-02,6.846024788706002617e+00,1.961768243943886603e+01
