# Time, Target, Prediction
1.822488236731958011e+01,-4.244683302698274395e-03,-4.471547901630401611e-03
2.206362914179779011e+01,1.580241561574186396e-02,1.601014658808708191e-02
5.153242600474271740e+00,1.918764541334393517e-02,1.926361396908760071e-02
1.071497394357912825e+01,1.965439674178987017e-02,1.989850401878356934e-02
1.697846799852583644e+01,1.973295138744493929e-02,1.993840932846069336e-02
2.911791550710733922e+00,-8.762452726083132248e-02,-8.717873692512512207e-02
1.605151277467502524e+01,1.501084559865422871e-02,1.525077223777770996e-02
1.052644067771116632e+01,1.356220354670338579e-02,1.375149190425872803e-02
1.578442398136208169e+01,9.413157693685241315e-03,9.588360786437988281e-03
1.780591955427966866e+01,5.441167888846271984e-03,5.394004285335540771e-03
2.508539843159816929e+00,-5.069749841724551648e-02,-5.012238025665283203e-02
1.239606223090178183e+01,1.307803213835197556e-02,1.306727528572082520e-02
1.595724614174104872e+01,1.320421080041965164e-02,1.342634856700897217e-02
5.074687073029288342e+00,1.328229586365542100e-02,1.333928853273391724e-02
2.309008803374558028e+01,3.401490429311000881e-03,3.342576324939727783e-03
2.457740602003727304e+01,-1.428297770953528001e-02,-1.457133144140243530e-02
1.227037338698980840e+01,1.685346977649082589e-02,1.691113412380218506e-02
2.327338426445054154e+01,8.772683499145388899e-05,-3.243982791900634766e-05
1.794731950368063522e+01,2.152604529841048876e-03,2.043500542640686035e-03
2.213694763407977462e+01,1.553113908903025475e-02,1.572882384061813354e-02
5.483175815743204673e+00,3.990755957816101429e-02,4.004735127091407776e-02
2.262399190423867523e+01,1.096222975433734474e-02,1.105428114533424377e-02
1.818298608601558897e+01,-3.304427672301567254e-03,-3.514632582664489746e-03
7.939345307189697998e+00,-1.979389197179829557e-02,-2.033202350139617920e-02
2.533677611867211610e+01,-8.630044385898861387e-03,-8.752301335334777832e-03
1.759643814775970938e+01,1.009259245623518250e-02,1.013080775737762451e-02
1.810443055857060202e+01,-1.509115005769651793e-03,-1.686729490756988525e-03
2.363473969069746516e+01,-6.159297216017886080e-03,-6.378311663866043091e-03
2.144565899256391717e+01,1.324708302909525723e-02,1.346806064248085022e-02
1.154242549933295692e+01,3.024026532804524950e-02,3.053441643714904785e-02
1.041646293928818956e+01,9.563560902594369501e-03,9.710684418678283691e-03
2.068105185876607166e+01,4.486284784104182296e-04,4.685856401920318604e-04
2.407988767955237464e+01,-1.195567301917393674e-02,-1.223732158541679382e-02
1.131199595291100479e+00,2.170211929536293161e-01,2.165985554456710815e-01
2.547293903291008732e+01,-6.716152157486427084e-03,-6.788440048694610596e-03
1.466369845648031323e+01,-1.879645462536968029e-02,-1.911981403827667236e-02
2.208457728244978568e+01,1.573711896710728100e-02,1.594217494130134583e-02
1.870145256715248294e+01,-1.337288234428627223e-02,-1.373197883367538452e-02
2.046633341708311704e+01,-3.925919562906866021e-03,-3.989607095718383789e-03
2.477117632106823208e+01,-1.383101020559586100e-02,-1.410176604986190796e-02
1.134865519830199609e+01,3.040017971546036743e-02,3.070633113384246826e-02
1.163145509710393810e+01,2.962687977112087728e-02,2.990934252738952637e-02
6.137805211118069870e+00,5.637987635032537526e-02,5.654704570770263672e-02
2.454598380905927613e+01,-1.428435717968633972e-02,-1.457421109080314636e-02
